test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
78,0,1.0,1.0,1.0,5.0,3.0,4.0,4.0,849.0,7.0,21.0,62.0,0.75,1.0,97.0,1.0,2.0,60.0,9.0,5.14705882352941,0.0,0.0,0.0,1.0,1.0,4.0,0.5,0.5,4,5477225575051.661
85,0,8.0,4.0,1.0,2.0,0.0,3.0,3.0,279.0,7.0,8.0,24.0,0.35,0.0,91.0,1.0,3.0,32.0,4.0,4.80952380952381,0.0,1.0,0.0,36.0,1.0,4.0,0.5,0.5,1,1.8500219044931057
86,0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,116.0,1.0,7.0,0.0,0.79,0.0,78.0,2.0,2.0,13.0,3.0,3.64705882352941,1.0,0.0,0.0,0.0,1.0,0.0,0.51,0.49,3,3000000000000.0
95,0,1.0,4.0,1.0,4.0,0.0,8.0,4.0,1049.0,6.0,22.0,23.0,1.37,0.0,95.0,1.0,1.0,53.0,6.0,4.21296296296296,0.0,0.0,0.0,0.0,1.0,5.0,0.5,0.5,2,2000000000000.0
96,0,0.0,12.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,0.0,5.0,0.2,0.0,75.0,1.0,0.0,10.0,2.0,3.05882352941176,1.0,1.0,0.0,0.0,1.0,2.0,0.51,0.49,2,1000000000000.0
104,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,0.0,0.1,0.0,87.0,2.0,0.0,29.0,1.0,5.16666666666667,1.0,1.0,0.0,0.0,1.0,2.0,0.5,0.5,3,2000000000000.0
134,0,1.0,0.0,1.0,5.0,0.0,1.0,3.0,419.0,6.0,35.0,74.0,0.28,1.0,98.0,1.0,2.0,65.0,2.0,8.11940298507463,0.0,0.0,0.0,378.0,1.0,5.0,0.51,0.49,3,1414213562373.095
147,0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,155.0,1.0,4.0,0.0,0.73,0.0,90.0,3.0,0.0,28.0,1.0,3.32142857142857,0.0,1.0,0.0,0.0,1.0,0.0,0.51,0.49,4,1414213562373.095
166,0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,24.0,2.0,23.0,16.0,0.05,0.0,88.0,3.0,0.0,40.0,2.0,4.97368421052632,0.0,1.0,0.0,37.0,1.0,0.0,0.5,0.5,3,3605551275463.9893
172,0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,121.0,2.0,0.0,16.0,0.38,0.0,92.0,1.0,0.0,2.0,2.0,3.92307692307692,1.0,1.0,0.0,13.0,1.0,2.0,0.51,0.49,4,3162277660168.3794
