test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
37,0,1.0,1.0,2.0,11.0,1.0,2.0,261.0,16.0,17.0,10.0,0.32,0.0,98.0,3.0,4.0,30.0,2.0,3.43564356435644,0.0,3.92079207920792,0.0,0.0,0.875,0.0,2.0,2.0,0.57,0.43,2
56,0,3.0,1.0,2.0,20.0,1.0,4.0,349.0,25.0,23.0,32.0,5.833000000000011,1.0,191.0,4.0,3.0,78.0,3.0,2.4,0.0,1.66666666666667,0.0,0.0,0.0,0.0,2.0,4.0,0.57,0.43,5
163,0,3.0,0.0,2.0,1.0,4.0,2.0,134.0,4.0,1.0,7.0,0.56,0.0,22.0,1.0,0.0,1.0,2.0,3.39130434782609,1.0,4.65217391304348,1.0,0.0,1.0,0.0,3.0,4.0,0.55,0.45,1
192,0,4.0,0.0,1.0,0.0,1.0,2.0,56.0,2.0,10.0,4.0,0.22,0.0,29.0,1.0,1.0,1.0,1.0,3.13793103448276,0.0,3.62068965517241,1.0,0.0,1.0,0.0,2.0,1.0,0.57,0.43,1
195,0,2.0,0.0,1.0,1.0,0.0,2.0,19.0,3.0,0.0,2.0,0.06,0.0,7.0,1.0,0.0,5.0,2.0,2.60869565217391,0.0,3.97826086956522,2.0,0.0,1.0,0.0,1.0,2.0,0.86,0.14,1
214,0,0.0,0.0,1.0,0.0,5.0,2.0,307.0,1.0,0.0,25.0,0.65,0.0,49.0,2.0,0.0,7.0,1.0,2.04081632653061,0.0,3.20408163265306,1.0,0.0,1.0,0.0,3.0,7.0,0.54,0.46,1
223,0,1.0,0.0,1.0,0.0,1.0,3.0,167.0,2.0,97.0,3.0,0.08,2.0,111.0,2.0,0.0,92.0,3.0,8.38260869565217,1.0,8.49565217391304,1.0,0.0,0.0,1.0,4.0,8.0,0.51,0.49,2
256,0,5.0,0.0,1.0,3.0,1.0,2.0,283.0,2.0,2.0,30.0,0.33,0.0,108.0,3.0,3.0,11.075000000000045,2.0,9.75,1.0,3.73148148148148,1.0,0.0,0.333333333333333,0.0,4.0,7.0,0.59,0.41,1
345,0,5.0,2.0,1.0,58.0,1.0,3.0,482.0,22.0,50.0,6.0,0.37,1.0,205.0,4.0,2.0,96.0,2.0,6.10091743119266,0.0,7.44495412844037,0.0,0.0,0.0,0.0,4.0,5.0,0.56,0.44,5
356,0,1.0,0.0,1.0,1.0,0.0,2.0,30.0,1.0,3.0,2.0,0.32,1.0,11.0,1.0,0.0,1.0,2.0,3.09090909090909,0.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,0.77,0.23,1
