Antecedent,Antecedent Coverage %,Confidence,Lift
RatioCommentToCode > 1.65,0.19507,0.97424,1.16791
-0.18 < MAJOR_LINE <= 0.225 & 0.96 < AvgEssential <= 1.124,0.2508,0.95446,1.14421
0.895 < RatioCommentToCode <= 1.65,0.19781,0.94688,1.13512
MaxNesting_Mean <= 0.035,0.23892,0.94455,1.13232
0.53 < RatioCommentToCode <= 0.895,0.20375,0.94395,1.1316
0.225 < MAJOR_LINE <= 0.82,0.1302,0.94035,1.12729
-1 < CountClassCoupled <= 2.3,0.37095,0.93596,1.12203
PercentLackOfCohesion <= 5 & -0.042 < MaxNesting_Min <= 0.0145,0.17999,0.93401,1.11969
1.12 < CountInput_Mean <= 2.21,0.22385,0.93265,1.11806
1.06 < MINOR_LINE <= 1.77,0.15212,0.92793,1.1124
