Antecedent,Antecedent Coverage %,Confidence,Lift
0.505 < RatioCommentToCode <= 0.86 & -0.061 < OWN_COMMIT <= 0.016,0.12079,0.98513,1.24794
16.4 < CountLineComment <= 27.6 & -0.79 < CountDeclClassMethod <= 0.09,0.19668,0.96804,1.22629
RatioCommentToCode > 1.765,0.20117,0.96205,1.21871
-0.2 < CountClassCoupled <= 2.1 & 0.675 < CountDeclClass <= 1.08,0.1639,0.95342,1.20778
0.86 < RatioCommentToCode <= 1.765,0.18096,0.95037,1.20391
1.06 < CountInput_Mean <= 2.28,0.19847,0.93665,1.18653
16.4 < CountLineComment <= 27.6,0.25864,0.93056,1.17881
MINOR_LINE <= 1.09,0.24562,0.93053,1.17878
0.505 < RatioCommentToCode <= 0.86,0.20296,0.92699,1.17429
1.09 < MINOR_LINE <= 1.85,0.14234,0.91798,1.16288
