,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
7,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,8.0,1.0,0.67,0.0,100.0,6.0,0.0,17.0,2.0,2.0,0.0,0.0,2.0,217.0,0.6875,0.0,2.0,2.0
185,1.0,0.0,1.0,1.0,6.0,2.0,114.0,1.0,9.0,0.0,1.6,1.0,96.0,3.0,9.0,15.0,1.0,2.69230769230769,1.0,0.0,0.0,47.0,0.3,0.0,3.0,6.0
187,7.0,0.0,1.0,0.0,2.0,2.0,323.0,11.0,4.0,13.0,2.3,1.0,100.0,5.0,1.0,19.0,2.0,3.5,0.0,0.0,0.0,106.0,0.380952380952381,3.0,5.0,5.0
238,2.0,14.0,1.0,0.0,7.0,2.0,1660.0,14.0,41.0,3.0,4.1,0.0,100.0,2.0,34.0,57.0,3.0,10.3222222222222,0.0,0.0,0.0,1022.0,0.294117647058824,2.0,4.0,8.0
264,0.0,3.0,1.0,0.0,5.0,1.0,362.0,1.0,0.0,10.0,1.0,6.0,91.0,2.0,1.0,9.0,1.0,7.69642857142857,1.0,1.0,0.0,17.0,0.222222222222222,0.0,3.0,4.0
279,0.0,0.0,1.0,0.0,7.0,2.0,227.0,2.0,8.0,3.0,9.8,0.0,79.0,6.0,2.0,12.0,1.0,3.88,0.0,1.0,0.0,0.0,0.333333333333333,0.0,5.0,4.0
291,7.0,0.0,1.0,0.0,6.0,2.0,650.0,18.0,23.0,8.0,5.5,0.0,96.0,4.0,43.0,35.0,2.0,2.93827160493827,0.0,0.0,0.0,952.0,0.315789473684211,0.0,5.0,5.0
292,6.0,0.0,1.0,2.0,6.0,2.0,492.0,7.0,17.0,6.0,0.65,0.0,95.0,5.0,12.0,29.0,2.0,0.5,0.0,0.0,0.0,585.0,0.37037037037037,3.0,4.0,6.0
365,0.0,0.0,1.0,0.0,7.0,2.0,315.0,8.0,10.0,8.0,13.6,1.0,100.0,5.0,34.0,5.0,2.0,3.09090909090909,0.0,0.0,0.0,167.0,0.285714285714286,0.0,4.0,5.0
371,3.0,0.0,1.0,0.0,6.0,1.0,244.0,2.0,5.0,7.0,1.69,0.0,84.0,6.0,1.0,6.0,1.0,0.5,0.0,1.0,0.0,30.0,0.4,0.0,5.0,2.0
396,20.0,1.0,1.0,1.0,5.0,2.0,520.0,17.0,14.0,17.0,2.2,1.0,100.0,6.0,10.0,11.0,3.0,3.32051282051282,0.0,0.0,0.0,442.0,0.454545454545455,0.0,3.0,3.0
416,1.0,1.0,1.0,0.0,6.0,2.0,162.0,2.0,10.0,4.0,1.6,0.0,95.0,4.0,238.0,20.0,2.0,3.25,0.0,1.0,0.0,255.0,0.285714285714286,0.0,4.0,2.0
468,0.0,13.0,1.0,0.0,6.0,1.0,82.0,1.0,1.0,1.0,2.73,0.0,87.0,5.0,4.0,1.0,1.0,5.0,0.0,2.0,0.0,56.0,0.428571428571429,0.0,1.0,2.0
474,5.0,0.0,1.0,0.0,7.0,2.0,33.0,1.0,0.0,0.0,1.43,2.0,100.0,1.0,0.0,14.0,2.0,3.0,3.0,7.0,1.0,63.0,0.2,0.0,1.0,1.0
493,12.0,5.0,2.0,0.0,6.0,3.0,434.0,7.0,6.0,10.0,7.8,1.0,92.0,2.0,3.0,20.0,2.0,16.051724137931,0.0,1.0,0.0,137.0,0.227272727272727,1.0,4.0,5.0
515,8.0,7.0,1.0,0.0,2.0,2.0,635.0,11.0,11.0,8.0,2.3,0.0,94.0,3.0,4.0,30.0,3.0,3.74285714285714,0.0,0.0,0.0,263.0,0.391304347826087,1.0,4.0,5.0
516,2.0,1.0,1.0,1.0,4.0,1.0,141.0,3.0,2.0,3.0,2.4,0.0,92.0,1.0,2.0,8.0,2.0,2.73076923076923,0.0,0.0,0.0,52.0,0.333333333333333,0.0,3.0,2.0
