,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
538,3.0,0.0,1.0,0.0,4.0,2.0,204.0,4.0,1.0,13.0,5.0,0.0,87.0,1.0,1.0,28.0,0.68,15.1034482758621,0.0,1.0,0.0,78.0,0.153846153846154,0.0,4.0,2.0
493,12.0,5.0,2.0,0.0,6.0,3.0,434.0,7.0,6.0,4.0,5.0,1.0,92.0,2.0,3.0,20.0,0.48,16.051724137931,0.0,1.0,0.0,137.0,0.227272727272727,1.0,4.0,2.0
291,7.0,0.0,1.0,0.0,6.0,2.0,650.0,18.0,23.0,8.0,5.0,0.0,96.0,4.0,43.0,0.81,2.0,2.93827160493827,0.0,0.0,0.0,952.0,0.315789473684211,0.0,5.0,35.0
468,0.0,0.0,1.0,0.0,3.0,1.0,82.0,1.0,1.0,1.0,1.0,0.0,87.0,5.0,4.0,2.73,1.0,5.0,0.0,2.0,0.0,56.0,0.428571428571429,0.0,1.0,2.0
563,0.0,0.0,1.0,0.0,9.0,2.0,113.0,3.0,1.0,0.0,6.0,1.0,93.0,2.0,0.0,22.0,0.81,3.44444444444444,0.0,1.0,0.0,25.0,0.461538461538462,0.0,4.0,2.0
584,0.0,0.0,2.0,0.0,5.0,3.0,49.0,1.0,0.0,2.0,3.0,1.0,30.0,2.0,3.0,9.0,0.48,4.6,3.0,2.0,0.0,51.0,0.375,0.0,3.0,1.0
7,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,8.0,1.0,0.22,0.0,100.0,3.0,0.0,17.0,2.0,2.0,0.0,0.0,0.0,217.0,0.6875,0.0,2.0,2.0
185,1.0,0.0,1.0,1.0,6.0,2.0,114.0,1.0,9.0,0.0,6.0,1.0,96.0,3.0,9.0,15.0,0.73,2.69230769230769,1.0,0.0,0.0,47.0,0.3,0.0,3.0,1.0
474,0.0,0.0,1.0,0.0,7.0,2.0,33.0,1.0,0.0,0.0,1.0200000000000002,2.0,100.0,1.0,0.0,8.0,2.0,3.0,3.0,7.0,1.0,63.0,0.2,0.0,1.0,1.0
365,0.0,0.0,1.0,0.0,7.0,2.0,315.0,8.0,10.0,8.0,2.0,1.0,100.0,5.0,34.0,5.0,5.0,3.09090909090909,0.0,0.0,0.0,167.0,0.285714285714286,0.0,4.0,1.09
578,0.0,0.0,1.0,0.0,5.0,1.0,191.0,1.0,0.0,12.0,0.9700000000000004,0.0,93.0,1.0,0.0,5.0,2.0,4.85185185185185,1.0,1.0,0.0,8.0,0.333333333333333,0.0,2.0,1.0
610,10.0,1.0,1.0,2.0,8.0,2.0,610.0,1.0,6.0,12.0,8.0,0.0,94.0,1.0,1.0,37.0,1.09,8.31481481481481,0.0,0.0,0.0,242.0,0.375,3.0,3.0,1.0
569,3.0,1.0,3.0,0.0,11.0,6.0,192.0,1.0,3.0,4.0,0.41,4.0,79.0,1.0,2.0,28.0,2.0,5.76923076923077,2.0,1.0,0.0,76.0,0.263157894736842,0.0,3.0,0.0
802,0.0,0.0,17.0,1.0,12.0,26.0,43.0,1.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,1.0,0.35,16.0,16.0,6.0,5.0,13.0,0.5,0.0,2.0,0.0
416,1.0,1.0,1.0,0.0,6.0,2.0,162.0,2.0,10.0,4.0,0.17,0.0,95.0,4.0,238.0,11.0,2.0,3.25,0.0,1.0,0.0,255.0,0.285714285714286,0.0,4.0,0.0
1020,0.0,0.0,1.0,0.0,4.0,2.0,27.0,1.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,15.0,0.38,1.5,1.0,2.0,0.0,7.0,0.333333333333333,0.0,3.0,0.0
1168,1.0,0.0,1.0,0.0,4.0,1.0,88.0,2.0,2.0,1.0,2.0,1.0,86.0,5.0,0.0,9.0,1.0,1.46666666666667,1.0,1.0,0.0,10.0,0.4,0.0,1.0,0.43
1234,0.0,0.0,1.0,0.0,2.0,1.0,30.0,2.0,1.0,1.0,0.75,1.0,100.0,5.0,0.0,4.0,2.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0
1236,2.0,1.0,1.0,0.0,3.0,1.0,105.0,8.0,3.0,2.0,36.0,2.0,100.0,2.0,0.0,2.0,2.0,1.61538461538462,0.0,0.0,0.0,7.0,0.4,0.0,5.0,0.42
742,9.0,6.0,1.0,15.0,3.0,2.0,307.0,11.0,0.0,12.0,0.36,0.0,82.0,2.0,7.0,7.0,2.0,3.28169014084507,0.0,0.0,0.0,119.0,0.266666666666667,0.0,2.0,6.0
279,0.0,0.0,1.0,0.0,7.0,2.0,227.0,2.0,8.0,3.0,0.6200000000000002,0.0,79.0,6.0,2.0,12.0,1.0,3.88,0.0,1.0,0.0,0.0,0.333333333333333,0.0,5.0,1.0
396,20.0,1.0,1.0,1.0,5.0,2.0,520.0,17.0,14.0,17.0,0.22,1.0,100.0,6.0,10.0,5.0,3.0,3.32051282051282,0.0,0.0,0.0,442.0,0.454545454545455,0.0,3.0,3.0
534,2.0,0.0,1.0,0.0,5.0,2.0,495.0,6.0,0.0,16.0,0.22,0.0,93.0,1.0,0.0,7.0,2.0,2.4,0.0,1.0,0.0,8.0,0.375,0.0,4.0,1.0
516,2.0,1.0,1.0,1.0,4.0,1.0,141.0,3.0,2.0,3.0,0.32,0.0,92.0,1.0,2.0,7.0,3.0,2.73076923076923,0.0,0.0,0.0,52.0,0.333333333333333,0.0,3.0,0.0
588,0.0,0.0,1.0,0.0,6.0,4.0,80.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,5.0,0.83,10.0,4.0,3.0,0.0,5.0,0.2,0.0,2.0,1.0
187,7.0,0.0,1.0,0.0,4.0,2.0,323.0,11.0,4.0,13.0,0.22,1.0,100.0,5.0,1.0,4.0,2.0,3.5,0.0,0.0,0.0,106.0,0.380952380952381,3.0,5.0,5.0
371,3.0,0.0,1.0,0.0,6.0,1.0,244.0,2.0,5.0,7.0,3.0,0.0,84.0,6.0,1.0,6.0,2.0,2.38888888888889,0.0,1.0,0.0,30.0,0.4,0.0,5.0,1.69
292,,,,,,,,,,,,,,,,,,,,,,,,,,
549,0.0,0.0,2.0,1.0,9.0,3.0,363.0,4.0,10.0,4.0,0.22,1.0,92.0,1.0,1.0,7.0,3.0,3.3125,1.0,1.0,0.0,359.0,0.346153846153846,3.0,5.0,3.0
631,2.0,4.0,1.0,5.0,6.0,2.0,578.0,9.0,11.0,17.0,0.32,0.0,100.0,1.0,1.0,7.0,2.0,5.75,0.0,0.0,0.0,470.0,0.485714285714286,4.0,3.0,7.0
264,,,,,,,,,,,,,,,,,,,,,,,,,,
809,9.0,0.0,1.0,0.0,7.0,2.0,509.0,9.0,2.0,1.0,0.22,0.0,100.0,3.0,1.0,11.0,2.0,3.82539682539683,0.0,0.0,0.0,202.0,0.238095238095238,3.0,2.0,6.0
515,8.0,7.0,1.0,0.0,7.0,2.0,635.0,11.0,11.0,8.0,0.17,0.0,94.0,3.0,4.0,5.0,3.0,3.74285714285714,0.0,0.0,0.0,263.0,0.391304347826087,1.0,4.0,1.0
238,2.0,14.0,1.0,0.0,7.0,2.0,1660.0,14.0,41.0,15.0,0.27,0.0,100.0,2.0,34.0,5.0,3.0,10.3222222222222,0.0,0.0,0.0,1022.0,0.294117647058824,2.0,4.0,8.0
