test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,min,max,mean,OWN_LINE,CountLineComment,Del_lines,CountOutput_Mean,MAJOR_COMMIT,CountPath_Min,MaxNesting_Mean,Added_lines,CountDeclInstanceMethod,AvgCyclomaticStrict
40.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,1.0,1.0,13.0,5.0,0.89,0.0,41.0,1.0,0.0,7.0,3.0,3.83333333333333,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.8695652173913043,0.3329007138221934,,,,,,,,,,
41.0,47.0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,30.0,75.0,2.69,0.0,97.0,2.0,3.0,18.0,6.0,7.01204819277108,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,0.1297037630104083,1.1297037630104083,0.1819772758097188,,,,,,,,,,
56.0,9.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,5.0,20.0,21.0,77.0,0.17,0.0,94.0,1.0,1.0,50.0,6.0,4.16831683168317,0.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,0.40818588833307823,1.28894116779862,0.9675907612910628,,,,,,,,,,
65.0,51.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,1.0,7.0,6.0,16.0,0.13,0.0,86.0,2.0,0.0,27.0,1.0,5.52173913043478,1.0,1.0,0.0,9.0,0.888888888888889,0.0,3.0,1.0,0.12499999999999996,1.125,0.5234375,,,,,,,,,,
104.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,1.0,4.0,2.0,21.0,0.84,0.0,89.0,3.0,0.0,25.0,1.0,3.24,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.22008458337533715,0.7422904649882937,0.3536884579907949,,,,,,,,,,
147.0,14.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.9,0.0,83.0,1.0,3.0,27.0,2.0,4.37037037037037,0.0,0.0,0.0,10.0,0.9,0.0,3.0,1.0,0.009607686148919131,1.0096076861489192,0.061881198948229625,,,,,,,,,,
148.0,52.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,21.0,0.11,0.0,85.0,1.0,2.0,13.0,4.0,2.95652173913043,0.0,0.0,0.0,5.0,0.8,0.0,3.0,1.0,0.0,1.0,0.42045454545454536,,,,,,,,,,
225.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,66.0,0.06,0.0,92.0,1.0,1.0,43.0,0.0,3.84931506849315,0.0,0.0,0.0,2.0,0.8,0.0,3.0,1.0,0.2361635095005207,1.0332115838869305,0.7267232569903985,,,,,,,,,,
230.0,26.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,6.0,3.0,11.0,37.0,0.18,1.0,88.0,2.0,1.0,45.0,2.0,3.02380952380952,0.0,0.0,0.0,3.0,0.777777777777778,0.0,3.0,2.0,0.07999985526950171,0.27769108684132804,0.19345636913131664,,,,,,,,,,
282.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,6.0,17.0,0.41,0.0,87.0,3.0,0.0,3.0,2.0,2.83333333333333,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.9,,,,,,,,,,
287.0,0.0,1.0,0.0,1.0,2.0,0.0,7.0,2.0,1.0,0.0,1.0,9.0,11.39,0.0,76.0,4.0,0.0,7.0,1.0,3.1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.43709868028638643,0.9410430779479377,0.6259109129702957,,,,,,,,,,
379.0,77.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.26,1.0,25.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.038176085300462195,0.7190005167763492,0.2845433878906787,,,,,,,,,,
502.0,25.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,3.0,1.0,0.9,0.0,62.0,2.0,1.0,8.0,3.0,4.16666666666667,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.052420893248395856,0.7093914358070963,0.2626992344495716,,,,,,,,,,
505.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,11.0,1.08,0.0,66.0,3.0,0.0,12.0,2.0,3.28571428571429,1.0,1.0,0.0,3.0,0.666666666666667,0.0,3.0,0.0,0.031224979983987187,1.0312249799839872,0.08349849278329766,,,,,,,,,,
725.0,48.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,16.0,26.0,0.16,1.0,83.0,1.0,1.0,21.0,3.0,4.59375,0.0,0.0,0.0,8.0,0.875,0.0,2.0,0.0,0.0,1.0,0.3333333333333333,,,,,,,,,,
727.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,19.0,1.45,0.0,88.0,1.0,12.0,6.0,2.0,1.63157894736842,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,18.87964755905211,19.6239429761461,19.241578054368397,,,,,,,,,,
729.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,17.0,0.34,0.0,65.0,1.0,2.0,12.0,2.0,3.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.30128205128205127,,,,,,,,,,
757.0,14.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,6.0,13.0,0.16,0.0,74.0,1.0,0.0,2.0,1.0,7.42857142857143,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.3984375,,,,,,,,,,
771.0,33.0,1.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,4.0,10.0,24.0,0.22,0.0,91.0,2.0,0.0,23.0,4.0,2.45161290322581,0.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,1.0,0.42045454545454536,,,,,,,,,,
773.0,30.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,4.0,4.0,17.0,0.1,0.0,77.0,2.0,0.0,18.0,2.0,4.54545454545455,0.0,0.0,0.0,9.0,1.0,0.0,2.0,0.0,0.0,1.0,0.3984375,,,,,,,,,,
816.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,8.0,22.0,0.35,1.0,78.0,1.0,1.0,14.0,2.0,6.46666666666667,2.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.48639501837427496,1.3325370816704887,1.0134075510617646,,,,,,,,,,
913.0,14.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,15.0,26.0,2.79,0.0,89.0,1.0,1.0,8.0,3.0,2.46428571428571,0.0,0.0,0.0,5.0,0.6,0.0,3.0,0.0,0.16653322658126496,1.166533226581265,0.21880673938057546,,,,,,,,,,
914.0,59.0,2.0,0.0,1.0,4.0,2.0,1.0,4.0,1.0,0.0,1.0,7.0,2.71,0.0,57.0,2.0,1.0,16.0,1.0,4.44444444444444,1.0,1.0,0.0,2.0,0.5,0.0,3.0,1.0,0.16012810248198556,1.1601281024819856,0.21240161528129606,,,,,,,,,,
983.0,87.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.56,1.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.42045454545454536,,,,,,,,,,
991.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,4.0,0.0,2.5,0.0,70.0,2.0,0.0,3.0,3.0,1.83333333333333,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.1610128149183723,2.69918214041722,2.4072224726537046,,,,,,,,,,
1009.0,8.0,0.0,0.0,1.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,11.0,0.95,6.0,0.0,6.0,3.0,12.0,1.0,0.545454545454545,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.11097265973788825,0.6553503390973482,0.4426997228292474,,,,,,,,,,
1011.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.49,0.0,0.0,3.0,0.0,4.0,3.0,1.75,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.42045454545454536,,,,,,,,,,
