test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,min,max,mean,OWN_LINE,CountLineComment,Del_lines,CountOutput_Mean,MAJOR_COMMIT,CountPath_Min,MaxNesting_Mean,Added_lines,CountDeclInstanceMethod,AvgCyclomaticStrict
39.0,44.0,6.0,1.0,4.0,5.0,3.0,4.0,2.0,6.0,21.0,59.0,133.0,0.77,0.0,97.0,1.0,2.0,59.0,9.0,4.74534161490683,0.0,0.0,0.0,11.0,0.5,0.0,3.0,1.0,0.549716057499231,1.176896101146962,0.9068885770058418,,,,,,,,,,
41.0,8.0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,30.0,75.0,0.54,0.0,97.0,2.0,3.0,18.0,6.0,7.01204819277108,0.0,1.0,2.0,3.0,1.0,0.0,3.0,2.0,0.0,1.0,0.5,,,,,,,,,,
46.0,49.0,5.0,2.0,4.0,1.0,0.0,4.0,3.0,5.0,10.0,21.0,35.0,0.41,0.0,89.0,1.0,3.0,27.0,4.0,4.82692307692308,0.0,1.0,0.0,5.0,0.3,0.0,3.0,2.0,0.5496210051495978,1.2488569751507803,0.9847373357787743,,,,,,,,,,
56.0,37.0,0.0,4.0,4.0,1.0,0.0,9.0,2.0,5.0,20.0,21.0,77.0,1.44,0.0,94.0,1.0,1.0,50.0,6.0,4.16831683168317,0.0,0.0,0.0,4.0,0.7,0.0,2.0,2.0,0.5496210051495979,1.2488569751507803,0.9847373357787743,,,,,,,,,,
65.0,28.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,16.0,0.13,0.0,86.0,2.0,0.0,27.0,1.0,5.52173913043478,1.0,1.0,0.0,9.0,1.1,0.0,3.0,1.0,0.007017543859648923,0.7649122807017545,0.6741232780983413,,,,,,,,,,
104.0,50.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,4.0,2.0,21.0,0.84,0.0,89.0,3.0,0.0,25.0,1.0,3.24,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.4411533842457844,0.9049616538148604,,,,,,,,,,
127.0,46.0,4.0,0.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,13.0,27.0,0.41,0.0,90.0,1.0,0.0,1.0,2.0,3.66666666666667,1.0,1.0,0.0,1.0,1.1,0.0,3.0,1.0,0.2789313050464818,0.9537058461943813,0.6523280418537936,,,,,,,,,,
147.0,25.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.25,0.0,83.0,1.0,3.0,27.0,2.0,4.37037037037037,0.0,0.0,0.0,10.0,1.1,0.0,3.0,0.0,5.723096571472632e-17,0.7600010801500984,0.31228304745175595,,,,,,,,,,
148.0,29.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,21.0,0.11,0.0,85.0,1.0,2.0,13.0,2.0,2.95652173913043,0.0,0.0,0.0,5.0,0.8,0.0,2.0,1.0,0.0,1.0,0.8444444444444444,,,,,,,,,,
149.0,14.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,26.0,0.47,0.0,92.0,1.0,2.0,12.0,2.0,2.74074074074074,1.0,1.0,0.0,13.0,1.1,0.0,2.0,0.0,0.06832781446725253,0.8314009048002294,0.4490586906036145,,,,,,,,,,
154.0,69.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,6.0,11.0,21.0,0.22,0.0,87.0,2.0,0.0,13.0,2.0,3.22222222222222,0.0,1.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.8421052631578948,0.7436079305846253,,,,,,,,,,
157.0,69.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,8.0,27.0,0.25,0.0,82.0,2.0,0.0,14.0,1.0,2.35714285714286,0.0,1.0,2.0,10.0,0.9,0.0,2.0,0.0,0.0,1.0,0.5,,,,,,,,,,
203.0,61.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,23.0,50.0,0.36,0.0,95.0,2.0,0.0,24.0,1.0,2.6,1.0,1.0,0.0,11.0,0.6,0.0,3.0,1.0,0.549612980497539,1.2525851450350431,0.9878832972393301,,,,,,,,,,
218.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,8.0,12.0,30.0,0.24,0.0,89.0,2.0,2.0,25.0,7.0,3.53846153846154,0.0,0.0,0.0,17.0,1.1,0.0,3.0,1.0,0.5805207058098419,1.1254119946329477,0.8625221975336459,,,,,,,,,,
225.0,34.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,66.0,0.06,0.0,92.0,1.0,1.0,43.0,2.0,3.84931506849315,0.0,0.0,0.0,10.0,0.5,0.0,3.0,1.0,0.5496210051495979,1.2488569751507803,0.9847373357787743,,,,,,,,,,
226.0,34.0,0.0,30.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.04,0.0,0.0,1.0,1.0,10.0,1.0,1.9,0.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,1.2405429916427315,0.5152975066293086,,,,,,,,,,
230.0,24.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,6.0,3.0,11.0,37.0,0.18,1.0,88.0,2.0,1.0,45.0,2.0,3.02380952380952,0.0,0.0,0.0,18.0,0.5,0.0,3.0,2.0,0.5501081632803909,1.2399038354377927,0.9772655096789666,,,,,,,,,,
246.0,89.0,5.0,0.0,1.0,3.0,0.0,1.0,2.0,4.0,13.0,38.0,76.0,0.15,0.0,95.0,1.0,1.0,70.0,4.0,3.09574468085106,0.0,1.0,2.0,17.0,0.529411764705882,0.0,3.0,1.0,0.0,1.0,0.5,,,,,,,,,,
326.0,10.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,37.0,93.0,0.33,0.0,96.0,2.0,2.0,15.0,3.0,11.659793814433,0.0,0.0,2.0,4.0,1.0,0.0,3.0,2.0,0.0,1.0,0.5,,,,,,,,,,
359.0,89.0,2.0,0.0,2.0,1.0,18.0,1.0,2.0,7.0,7.0,1.0,29.0,0.19,0.0,100.0,2.0,5.0,6.0,2.0,2.42105263157895,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.5,,,,,,,,,,
389.0,46.0,0.0,3.0,1.0,3.0,0.0,0.0,2.0,4.0,5.0,6.0,41.0,0.19,0.0,90.0,2.0,2.0,3.0,3.0,1.36734693877551,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.5,,,,,,,,,,
393.0,13.0,4.0,6.0,4.0,15.0,0.0,0.0,2.0,3.0,3.0,19.0,44.0,0.09,0.0,94.0,1.0,1.0,12.0,2.0,4.49122807017544,0.0,1.0,0.0,6.0,0.2,0.0,2.0,0.0,0.5496210051495978,1.2488569751507803,0.9847373357787743,,,,,,,,,,
427.0,39.0,9.0,10.0,4.0,5.0,2.0,1.0,2.0,1.0,0.0,22.0,24.0,0.18,0.0,91.0,1.0,0.0,10.0,3.0,4.13953488372093,0.0,1.0,0.0,11.0,1.1,0.0,2.0,0.0,0.5507630146410292,1.1944524680395718,0.9026458840416153,,,,,,,,,,
503.0,23.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,10.0,28.0,36.0,39.0,0.14,0.0,93.0,1.0,2.0,40.0,2.0,4.15942028985507,0.0,0.0,0.0,11.0,0.7,0.0,3.0,0.0,0.5496210051495979,1.2488569751507803,0.9847373357787743,,,,,,,,,,
505.0,34.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,11.0,0.16,0.0,66.0,3.0,0.0,12.0,4.0,3.28571428571429,1.0,1.0,0.0,3.0,0.666666666666667,0.0,3.0,0.0,0.0,1.0,0.42045454545454536,,,,,,,,,,
725.0,25.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,16.0,26.0,0.16,0.0,83.0,1.0,1.0,21.0,2.0,4.59375,0.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0006747638326584723,0.7105263157894738,0.6272192243265277,,,,,,,,,,
726.0,47.0,5.0,1.0,4.0,5.0,0.0,1.0,2.0,4.0,10.0,37.0,67.0,0.15,0.0,95.0,1.0,0.0,39.0,4.0,2.90361445783133,0.0,1.0,0.0,13.0,0.9,0.0,2.0,1.0,0.5496169654440892,1.179492775359129,0.9060853167245477,,,,,,,,,,
737.0,23.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,30.0,0.12,0.0,62.0,1.0,7.0,8.0,2.0,5.38235294117647,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.4638501094227998,0.80798126367785,,,,,,,,,,
771.0,19.0,1.0,2.0,2.0,6.0,0.0,0.0,2.0,1.0,4.0,10.0,24.0,0.22,0.0,91.0,2.0,0.0,23.0,2.0,2.45161290322581,0.0,0.0,0.0,8.0,1.1,0.0,2.0,0.0,0.059912071922898755,0.737371678676066,0.44797643903230444,,,,,,,,,,
832.0,57.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,4.0,1.0,32.0,50.0,0.1,0.0,93.0,1.0,0.0,16.0,2.0,2.71428571428571,0.0,1.0,0.0,25.0,0.8,0.0,3.0,2.0,0.27482706565963533,0.9288454995067119,0.6582974933977375,,,,,,,,,,
834.0,23.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,2.0,26.0,35.0,0.1,1.0,90.0,2.0,0.0,18.0,2.0,2.875,0.0,1.0,2.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,0.5,,,,,,,,,,
866.0,20.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,4.0,16.0,19.0,12.0,0.12,2.0,91.0,1.0,0.0,48.0,2.0,6.78571428571429,3.0,1.0,0.0,4.0,0.7,0.0,2.0,2.0,0.5496210051495979,1.2488569751507803,0.9847373357787743,,,,,,,,,,
884.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,9.0,23.0,37.0,0.4,0.0,93.0,4.0,3.0,6.0,4.0,2.39130434782609,1.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,0.7684156517112751,0.3096430177858386,,,,,,,,,,
886.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,5.0,14.0,22.0,0.39,0.0,90.0,4.0,3.0,13.0,1.0,2.37037037037037,0.0,0.0,0.0,2.0,0.8,0.0,3.0,1.0,0.0,0.43862135322178175,0.22589902542021964,,,,,,,,,,
913.0,57.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,15.0,26.0,0.18,0.0,89.0,1.0,1.0,8.0,3.0,2.46428571428571,0.0,0.0,0.0,5.0,0.9,0.0,3.0,0.0,0.0,0.8210526315789476,0.7243197805419993,,,,,,,,,,
914.0,19.0,2.0,0.0,1.0,4.0,2.0,1.0,4.0,1.0,0.0,1.0,7.0,0.18,0.0,57.0,2.0,1.0,16.0,1.0,4.44444444444444,1.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,0.8644676081751848,0.37551797495003536,,,,,,,,,,
991.0,55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,4.0,0.0,0.46,0.0,70.0,5.0,0.0,3.0,1.0,1.83333333333333,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.4638501094227998,0.80798126367785,,,,,,,,,,
1009.0,8.0,0.0,0.0,2.0,0.0,2.0,6.0,3.0,1.0,0.0,0.0,11.0,0.25,6.0,0.0,6.0,3.0,12.0,1.0,0.545454545454545,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.5,,,,,,,,,,
1093.0,86.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,8.0,0.0,6.0,37.0,0.21,2.0,85.0,5.0,0.0,6.0,2.0,3.94594594594595,0.0,2.0,0.0,0.0,1.1,0.0,2.0,2.0,0.3263157894736846,1.3263157894736848,1.2245057216916961,,,,,,,,,,
1105.0,23.0,0.0,0.0,3.0,1.0,0.0,15.0,3.0,1.0,0.0,0.0,1.0,0.71,10.0,0.0,5.0,0.0,2.0,1.0,2.0,2.0,18.0,1.0,1.0,0.4,0.0,3.0,0.0,0.36571988450109705,1.175945607545491,0.9110371890347929,,,,,,,,,,
1134.0,96.0,2.0,0.0,1.0,3.0,0.0,4.0,2.0,1.0,8.0,13.0,16.0,0.42,2.0,82.0,3.0,2.0,5.0,2.0,3.69230769230769,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.5,,,,,,,,,,
1169.0,53.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,5.0,3.0,4.0,0.24,2.0,77.0,2.0,0.0,4.0,4.0,2.45454545454545,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.42045454545454536,,,,,,,,,,
1318.0,78.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,5.0,0.38,1.0,80.0,6.0,0.0,7.0,1.0,1.8,0.0,2.0,0.0,0.0,0.7,0.0,4.0,0.0,0.07368421052631592,1.073684210526316,0.9718741427443275,,,,,,,,,,
1326.0,66.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.7,0.0,75.0,6.0,0.0,2.0,1.0,1.25,0.0,2.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5122694606379583,,,,,,,,,,
1390.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,11.0,35.0,0.06,4.0,81.0,4.0,1.0,13.0,1.0,4.55813953488372,2.0,1.0,2.0,3.0,1.0,0.0,5.0,1.0,0.0,1.0,0.5,,,,,,,,,,
1496.0,16.0,1.0,0.0,2.0,15.0,0.0,0.0,4.0,1.0,6.0,19.0,5.0,0.07,2.0,85.0,1.0,0.0,2.0,8.0,6.83333333333333,0.0,2.0,0.0,0.0,0.3,0.0,1.0,1.0,0.7188876117666388,1.2539383272585904,0.9943948551950482,,,,,,,,,,
1504.0,51.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,7.0,6.0,6.0,0.95,0.0,86.0,2.0,1.0,0.0,1.0,1.84615384615385,1.0,1.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.8842105263157897,0.7838292222589708,,,,,,,,,,
1582.0,38.0,5.0,0.0,4.0,5.0,3.0,1.0,2.0,3.0,2.0,12.0,9.0,0.24,0.0,88.0,1.0,0.0,8.0,2.0,3.25,0.0,0.0,0.0,0.0,0.7,0.0,2.0,2.0,0.5691135836107954,1.474743357352132,1.0085948760547927,,,,,,,,,,
1583.0,11.0,6.0,0.0,4.0,1.0,1.0,1.0,2.0,4.0,0.0,9.0,28.0,0.36,0.0,86.0,1.0,0.0,5.0,3.0,2.44117647058824,0.0,1.0,0.0,0.0,0.5,0.0,2.0,1.0,0.5501345449773212,1.3661515806572488,0.9433587925006806,,,,,,,,,,
1601.0,51.0,6.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,6.0,7.0,0.27,0.0,63.0,1.0,0.0,11.0,2.0,4.61538461538461,2.0,1.0,0.0,4.0,0.8,0.0,4.0,1.0,0.009551199871766523,0.7908031030313001,0.38566265484137147,,,,,,,,,,
1712.0,35.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,7.0,0.27,0.0,68.0,3.0,0.0,2.0,1.0,1.375,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5733821790809959,0.46673329247851375,,,,,,,,,,
1721.0,89.0,0.0,1.0,1.0,1.0,0.0,5.0,4.0,2.0,10.0,6.0,3.0,0.39,2.0,81.0,3.0,0.0,4.0,2.0,3.78571428571429,0.0,1.0,0.0,0.0,1.1,0.0,2.0,4.0,0.3263157894736846,1.3263157894736848,1.2245057216916961,,,,,,,,,,
1722.0,14.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,15.0,9.0,3.0,0.22,0.0,90.0,2.0,3.0,4.0,1.0,3.83333333333333,1.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.5,,,,,,,,,,
1735.0,79.0,0.0,0.0,3.0,7.0,5.0,0.0,2.0,1.0,3.0,6.0,26.0,0.15,0.0,90.0,1.0,0.0,3.0,4.0,3.41379310344828,0.0,0.0,0.0,0.0,0.8,0.0,3.0,3.0,0.368685839338033,1.3596593959074343,0.8497204391991582,,,,,,,,,,
1765.0,11.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,5.0,0.4,0.0,58.0,2.0,0.0,10.0,3.0,3.66666666666667,2.0,1.0,0.0,2.0,0.5,0.0,2.0,0.0,0.0,1.0,0.42045454545454536,,,,,,,,,,
41.0,9.0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,139.0,0.76,0.0,97.0,1.0,2.0,59.0,9.0,4.73053892215569,0.0,0.0,2.0,,0.5,,,1.0,0.0,1.0,0.5,0.533424283765348,,,,,,,,,
43.0,55.0,1.0,0.0,3.0,6.0,1.0,2.0,1.0,2.0,7.0,31.0,77.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,,0.5,,,2.0,0.3298391554808592,1.1011441204205288,0.7119339711194848,0.6,,,,,,,,,
48.0,97.0,6.0,3.0,1.0,1.0,21.0,4.0,3.0,6.0,8.0,22.0,38.0,0.39,0.0,89.0,1.0,3.0,27.0,4.0,4.87272727272727,0.0,1.0,0.0,,0.666666666666667,,,3.0,0.4666666666666667,1.4666666666666666,1.211111111111111,0.496396396396396,,,,,,,,,
58.0,65.0,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,78.0,1.43,0.0,94.0,1.0,1.0,50.0,6.0,4.24038461538461,0.0,0.0,2.0,,0.625,,,1.0,0.0,1.0,0.5,0.66008316008316,,,,,,,,,
153.0,90.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.24,0.0,83.0,1.0,3.0,27.0,2.0,4.40740740740741,0.0,0.0,0.0,,0.75,,,4.0,0.4970181457404532,1.438123054618065,0.8689339706181045,0.8,,,,,,,,,
212.0,33.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30.0,65.0,0.41,0.0,96.0,2.0,0.0,25.0,1.0,2.4,1.0,1.0,0.0,,1.0,,,4.0,0.6114457557269879,1.5719816821445063,1.0059688498172696,1.1,,,,,,,,,
228.0,58.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,4.0,9.0,13.0,30.0,0.26,0.0,89.0,2.0,2.0,25.0,8.0,3.775,0.0,0.0,0.0,,0.857142857142857,,,1.0,1.0695389764380614,1.5729648001117655,1.352148474997319,0.5,,,,,,,,,
236.0,79.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,63.0,0.06,0.0,92.0,2.0,1.0,42.0,1.0,4.08571428571429,0.0,0.0,3.0,,0.5,,,1.0,1.0,2.0,1.5,0.351648351648352,,,,,,,,,
243.0,19.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,10.0,36.0,0.16,1.0,87.0,2.0,1.0,43.0,2.0,3.24390243902439,0.0,0.0,2.0,,0.5,,,2.0,0.0,1.0,0.5,0.419354838709677,,,,,,,,,
259.0,20.0,5.0,0.0,1.0,3.0,12.0,1.0,2.0,4.0,13.0,38.0,76.0,0.15,0.0,95.0,1.0,1.0,71.0,4.0,3.12765957446809,0.0,1.0,0.0,,0.5,,,1.0,0.13333333333333341,0.8666666666666665,0.6555555555555556,0.69479090242113,,,,,,,,,
262.0,32.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,16.0,39.0,0.21,0.0,92.0,1.0,2.0,18.0,3.0,4.83720930232558,1.0,1.0,2.0,,0.5,,,1.0,0.0,1.0,0.5,0.463840399002494,,,,,,,,,
