project,test_idx,candidate_id,min,max,mean,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,OWN_LINE,CountLineComment,Del_lines,CountOutput_Mean,MAJOR_COMMIT,CountPath_Min,MaxNesting_Mean,Added_lines,CountDeclInstanceMethod,AvgCyclomaticStrict
activemq@0,39,19,1.1588059217565772,1.440237132334198,1.268107370573883,6.0,1.0,1.0,5.0,3.0,17.0,2.0,6.0,21.0,7.0,9.0,0.77,0.0,97.0,1.0,2.0,59.0,9.0,4.74534161490683,0.0,0.0,0.0,1.0,0.454545454545455,0.0,3.0,1.0,,,,,,,,,,
activemq@0,41,0,0.5555555555555556,1.5555555555555558,0.9515873015873016,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,30.0,75.0,0.54,0.0,97.0,2.0,3.0,2.0,6.0,7.01204819277108,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,,,,,,,,,,
activemq@0,46,2,0.2158353060221092,0.6883570357624443,0.47642152172451047,5.0,2.0,1.0,1.0,0.0,4.0,3.0,5.0,10.0,7.0,35.0,0.41,0.0,100.0,1.0,3.0,27.0,4.0,4.82692307692308,0.0,1.0,0.0,5.0,1.0,0.0,3.0,2.0,,,,,,,,,,
activemq@0,65,0,0.014411529223378697,1.0144115292233786,0.0666850420226892,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,16.0,0.84,0.0,86.0,2.0,0.0,27.0,1.0,5.52173913043478,1.0,1.0,0.0,9.0,0.888888888888889,0.0,3.0,1.0,,,,,,,,,,
activemq@0,92,17,0.07917212258631252,0.6124446174414734,0.3413531916414602,0.0,0.0,1.0,5.0,0.0,1.0,2.0,5.0,33.0,64.0,143.0,0.29,0.0,98.0,1.0,2.0,63.0,2.0,6.19774011299435,0.0,0.0,0.0,22.0,1.0,0.0,3.0,2.0,,,,,,,,,,
activemq@0,104,18,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,4.0,2.0,21.0,0.84,1.0,89.0,3.0,0.0,25.0,1.0,3.24,41.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,,,
activemq@0,147,0,0.0,0.6947368421052633,0.6138607987524609,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.25,0.0,83.0,1.0,3.0,27.0,2.0,4.37037037037037,0.0,0.0,0.0,10.0,1.0,0.0,3.0,1.0,,,,,,,,,,
activemq@0,148,0,0.0,0.7578947368421053,0.6679403014751979,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,21.0,0.11,0.0,85.0,1.0,2.0,13.0,2.0,2.95652173913043,0.0,0.0,0.0,5.0,1.0,0.0,3.0,1.0,,,,,,,,,,
activemq@0,154,0,0.0,0.8421052631578948,0.7436079305846253,0.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,6.0,11.0,21.0,0.22,0.0,87.0,2.0,0.0,13.0,2.0,3.22222222222222,0.0,1.0,0.0,6.0,1.0,0.0,2.0,0.0,,,,,,,,,,
activemq@0,203,0,0.0057416267942582,0.688995215311005,0.6090149244759768,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,23.0,50.0,0.36,0.0,95.0,2.0,0.0,24.0,1.0,2.6,1.0,1.0,0.0,11.0,1.0,0.0,3.0,1.0,,,,,,,,,,
activemq@0,218,0,0.007237344698645164,0.780185758513932,0.6875909023266571,0.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,8.0,12.0,30.0,0.24,0.0,89.0,2.0,2.0,25.0,2.0,3.53846153846154,0.0,0.0,0.0,17.0,1.0,0.0,3.0,1.0,,,,,,,,,,
activemq@0,219,15,0.010836630985671985,0.813130081235423,0.32375271219106583,7.0,4.0,1.0,2.0,0.0,1.0,2.0,12.0,7.0,22.0,58.0,0.17,0.0,94.0,2.0,1.0,50.0,2.0,3.94736842105263,0.0,0.0,0.0,39.0,1.0,0.0,3.0,0.0,,,,,,,,,,
activemq@0,225,0,0.0,0.7578947368421053,0.6679403014751979,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,66.0,0.06,0.0,92.0,1.0,1.0,43.0,2.0,3.84931506849315,0.0,0.0,0.0,10.0,1.0,0.0,3.0,1.0,,,,,,,,,,
activemq@0,230,0,0.0,0.7719298245614035,0.6803062547214849,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,11.0,37.0,0.18,1.0,88.0,2.0,1.0,45.0,2.0,3.02380952380952,0.0,0.0,0.0,18.0,1.0,0.0,3.0,2.0,,,,,,,,,,
activemq@0,246,7,0.43523610856626244,0.8991485856371418,0.6663014689424881,0.0,0.0,1.0,3.0,0.0,1.0,2.0,4.0,13.0,38.0,76.0,0.42,0.0,95.0,1.0,1.0,70.0,4.0,3.09574468085106,0.0,1.0,0.0,17.0,1.0,0.0,3.0,1.0,,,,,,,,,,
activemq@0,282,1,0.0,0.7851851851851851,0.09076109076109076,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,6.0,17.0,0.41,0.0,81.0,4.0,0.0,3.0,2.0,2.83333333333333,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,
activemq@0,287,5,0.029629629629629638,0.7629629629629631,0.2751322751322752,1.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,9.0,0.7,0.0,73.0,3.0,0.0,7.0,2.0,3.1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,,,
activemq@0,359,2,0.2091053476433836,0.7601415565863697,0.43474509455107074,2.0,0.0,2.0,1.0,18.0,1.0,2.0,7.0,7.0,1.0,1.0,0.84,0.0,100.0,2.0,5.0,6.0,2.0,2.42105263157895,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,,,,,,,,,,
activemq@0,379,0,0.0,1.0,0.375,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.32,1.0,25.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,
activemq@0,389,2,0.05882352941176466,0.8627450980392156,0.5297557619539043,0.0,3.0,1.0,3.0,0.0,0.0,2.0,4.0,5.0,6.0,16.0,0.19,0.0,90.0,2.0,2.0,3.0,3.0,1.36734693877551,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,,,,
activemq@0,393,0,0.0,0.947368421052632,0.8456256570800389,4.0,6.0,1.0,15.0,0.0,0.0,2.0,3.0,3.0,19.0,44.0,0.09,0.0,94.0,1.0,1.0,12.0,2.0,4.49122807017544,0.0,1.0,0.0,6.0,1.0,0.0,2.0,0.0,,,,,,,,,,
activemq@0,427,0,0.22222222222222224,1.2222222222222223,0.6182539682539684,9.0,10.0,1.0,5.0,2.0,1.0,2.0,1.0,0.0,22.0,24.0,0.18,0.0,91.0,1.0,0.0,0.0,3.0,4.13953488372093,0.0,1.0,0.0,11.0,1.0,0.0,2.0,0.0,,,,,,,,,,
activemq@0,431,3,0.0,0.6148148148148147,0.14407814407814407,0.0,10.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,12.0,23.0,0.6,0.0,100.0,1.0,0.0,3.0,3.0,5.78787878787879,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,
activemq@0,461,3,0.0,0.6666666666666666,0.06054351565187478,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,16.0,0.33,0.0,43.0,2.0,0.0,0.0,2.0,6.86666666666667,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,
activemq@0,500,0,0.0,0.7777777777777779,0.1817460317460317,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,0.0,1.0,0.63,0.0,75.0,3.0,1.0,5.0,1.0,3.75,1.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,,,,,,,,,,
activemq@0,503,7,1.0712899004100571,1.639545753704171,1.3032463101621032,2.0,0.0,1.0,2.0,1.0,1.0,3.0,10.0,28.0,36.0,39.0,2.6,0.0,93.0,1.0,2.0,0.0,2.0,4.15942028985507,0.0,0.0,0.0,11.0,1.0,0.0,3.0,0.0,,,,,,,,,,
activemq@0,505,0,0.0,0.8421052631578948,0.7436079305846253,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,11.0,0.16,0.0,66.0,3.0,0.0,12.0,2.0,3.28571428571429,1.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,,,,,,,,,,
activemq@0,695,1,0.0,0.6666666666666667,0.21929824561403516,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,16.0,0.35,0.0,62.0,2.0,0.0,12.0,2.0,2.1875,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,
