project,test_idx,candidate_id,min,max,mean,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
activemq@0,41,0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,30.0,75.0,0.54,0.0,97.0,2.0,1.0,18.0,6.0,7.01204819277108,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0
activemq@0,46,0,0.23222689652591033,0.527000686046533,0.3544726083250308,5.0,2.0,1.0,1.0,0.0,4.0,3.0,5.0,10.0,21.0,10.0,0.29,0.0,89.0,1.0,3.0,27.0,4.0,4.82692307692308,0.0,1.0,0.0,5.0,1.0,0.0,3.0,2.0
activemq@0,56,0,0.2564801495151467,1.0801563925247357,0.5283574108949622,0.0,4.0,1.0,1.0,0.0,9.0,2.0,5.0,20.0,21.0,77.0,1.44,0.0,94.0,1.0,0.0,50.0,6.0,2.7,0.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0
activemq@0,65,0,0.014484651683942067,0.5476207902599161,0.1162734877591539,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,16.0,0.29,0.0,86.0,2.0,0.0,27.0,1.0,5.52173913043478,1.0,1.0,0.0,3.0,0.888888888888889,0.0,3.0,1.0
activemq@0,92,0,0.2915997249562995,0.9060484719094862,0.5246352505301969,0.0,0.0,1.0,5.0,0.0,1.0,2.0,5.0,33.0,64.0,143.0,0.29,0.0,98.0,1.0,2.0,63.0,2.0,6.19774011299435,0.0,0.0,0.0,5.0,1.0,0.0,3.0,2.0
activemq@0,104,0,0.040732803701927826,0.6521046989901641,0.26174948005139737,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,4.0,2.0,3.0,0.84,0.0,89.0,3.0,0.0,25.0,1.0,3.2,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
activemq@0,147,0,0.026206627316027152,0.6301806871919282,0.13113360472992813,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.18,0.0,83.0,1.0,3.0,27.0,2.0,4.37037037037037,0.0,0.0,0.0,10.0,1.0,0.0,3.0,1.0
activemq@0,148,0,0.042387220858565375,0.8669950981667783,0.2635492095176643,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,21.0,0.48,0.0,85.0,1.0,2.0,13.0,2.0,2.95652173913043,0.0,0.0,0.0,5.0,1.1,0.0,3.0,1.0
activemq@0,149,0,0.0073424635877147966,0.5902918703714882,0.13472976811097453,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,26.0,0.34,0.0,92.0,1.0,2.0,12.0,2.0,2.74074074074074,1.0,1.0,0.0,13.0,1.0,0.0,2.0,0.0
activemq@0,154,0,0.016999161751229733,0.7133070987763029,0.1622492921008406,0.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,6.0,11.0,21.0,0.33,0.0,87.0,2.0,0.0,13.0,2.0,3.22222222222222,0.0,1.0,0.0,6.0,1.1,0.0,2.0,0.0
activemq@0,157,0,0.00493035443052369,0.5837274629607979,0.2383727133043838,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,8.0,27.0,0.35,0.0,82.0,2.0,0.0,8.0,1.0,2.35714285714286,0.0,1.0,0.0,10.0,0.9,0.0,2.0,0.0
activemq@0,203,0,0.06411074756778874,0.7879228771985904,0.20130745750702866,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,23.0,50.0,0.36,0.0,75.0,2.0,0.0,24.0,1.0,2.6,1.0,1.0,0.0,11.0,1.0,0.0,3.0,1.0
activemq@0,218,0,0.10224888784906902,0.5465879106287233,0.2789244384440465,0.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,8.0,12.0,18.0,0.24,0.0,89.0,2.0,2.0,25.0,2.0,3.53846153846154,0.0,0.0,0.0,17.0,1.0,0.0,3.0,1.0
activemq@0,225,0,0.06360752878769968,0.465858446946269,0.15293298121504392,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,66.0,0.31,0.0,75.0,1.0,1.0,43.0,2.0,3.84931506849315,0.0,0.0,0.0,10.0,1.0,0.0,3.0,1.0
activemq@0,230,0,0.13986572896981628,0.5274698919543983,0.28297603511013547,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,11.0,15.0,0.25,1.0,88.0,2.0,1.0,45.0,2.0,3.02380952380952,0.0,0.0,0.0,18.0,1.0,0.0,3.0,2.0
activemq@0,246,0,0.5652478528521204,0.8710128462088638,0.7291679623891795,5.0,0.0,1.0,3.0,0.0,1.0,2.0,4.0,13.0,38.0,76.0,0.28,0.0,95.0,1.0,1.0,70.0,1.0,3.09574468085106,0.0,1.0,0.0,4.0,1.1,0.0,3.0,1.0
activemq@0,379,0,0.013248650372849398,0.7717072304192334,0.0805880312732194,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,8.0,0.72,1.0,25.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
activemq@0,393,0,0.013299498762310654,0.6862026168276139,0.20140571215444372,4.0,6.0,1.0,15.0,0.0,0.0,2.0,3.0,3.0,19.0,44.0,0.09,0.0,94.0,1.0,1.0,12.0,2.0,4.49122807017544,0.0,1.0,0.0,4.0,1.1,0.0,2.0,0.0
activemq@0,431,0,0.31204339745228277,0.8368924144565401,0.5218027357458521,0.0,10.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,12.0,5.0,0.6,0.0,83.0,1.0,0.0,7.0,3.0,5.78787878787879,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
activemq@0,503,0,0.01850591207115488,0.6524549631264572,0.3255491245001951,2.0,0.0,1.0,2.0,1.0,1.0,3.0,10.0,28.0,36.0,7.0,0.28,0.0,82.0,1.0,2.0,40.0,2.0,4.15942028985507,0.0,0.0,0.0,11.0,1.0,0.0,3.0,0.0
activemq@0,505,0,0.06366607442116183,0.6319108371839527,0.2996579680318459,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,11.0,0.45,0.0,66.0,3.0,0.0,4.0,2.0,3.28571428571429,1.0,1.0,0.0,3.0,0.666666666666667,0.0,3.0,0.0
activemq@0,725,0,0.02656491154270297,0.7683859941259231,0.1794292608391858,0.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,16.0,26.0,0.35,0.0,83.0,1.0,1.0,21.0,2.0,4.59375,0.0,0.0,0.0,8.0,1.1,0.0,2.0,0.0
activemq@0,727,0,0.02044629286851849,0.6488574291235094,0.14758557739086434,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,19.0,0.29,0.0,88.0,1.0,0.0,6.0,2.0,3.3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
