project,test_idx,candidate_id,min,max,mean,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
activemq@0,39,0,1.0917270852873537,1.654269241088514,1.4235435906132121,6.0,1.0,1.0,5.0,3.0,4.0,2.0,6.0,21.0,9.0,133.0,0.77,0.0,77.0,1.0,2.0,59.0,9.0,4.74534161490683,0.0,0.0,0.0,11.0,1.0,0.0,3.0,1.0
activemq@0,41,0,2.316559690951847,2.985805197888596,2.5725127983295417,0.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,30.0,75.0,0.54,0.0,97.0,2.0,3.0,3.0,6.0,7.01204819277108,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0
activemq@0,46,0,0.10537683251412934,0.6869121398801804,0.40702301089271686,5.0,2.0,1.0,1.0,0.0,4.0,3.0,5.0,10.0,21.0,15.0,0.41,0.0,89.0,1.0,3.0,27.0,4.0,4.82692307692308,0.0,1.0,0.0,5.0,0.9,0.0,3.0,2.0
activemq@0,65,0,0.07897163768549792,0.7283405010417171,0.2651083297800837,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,16.0,0.42,0.0,86.0,2.0,0.0,27.0,1.0,2.8,1.0,1.0,0.0,9.0,0.888888888888889,0.0,3.0,1.0
activemq@0,92,0,0.07917212258631252,0.6124446174414734,0.3413531916414602,0.0,0.0,1.0,5.0,0.0,1.0,2.0,5.0,33.0,64.0,143.0,0.29,0.0,98.0,1.0,2.0,63.0,2.0,6.19774011299435,0.0,0.0,0.0,22.0,1.0,0.0,3.0,2.0
activemq@0,104,0,0.3698630067622215,0.9585830562920848,0.5837688295683781,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.84,0.0,89.0,3.0,0.0,25.0,1.0,3.24,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
activemq@0,147,0,0.03464624683787895,0.762654571601401,0.172016139974626,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,8.0,0.35,0.0,83.0,1.0,3.0,27.0,2.0,4.37037037037037,0.0,0.0,0.0,10.0,0.9,0.0,3.0,1.0
activemq@0,148,0,0.037579636925652006,0.8612541774541361,0.2584657672385134,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,21.0,0.47,0.0,85.0,1.0,2.0,13.0,2.0,2.95652173913043,0.0,0.0,0.0,5.0,1.1,0.0,3.0,1.0
activemq@0,154,0,0.05541606946688798,0.5782888362273906,0.2975700944330951,0.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,6.0,11.0,8.0,0.22,0.0,87.0,2.0,0.0,13.0,2.0,3.22222222222222,0.0,1.0,0.0,6.0,1.0,0.0,2.0,0.0
activemq@0,218,0,0.007237344698645164,0.780185758513932,0.6875909023266571,0.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,8.0,12.0,30.0,0.24,0.0,89.0,2.0,2.0,25.0,2.0,3.53846153846154,0.0,0.0,0.0,17.0,1.0,0.0,3.0,1.0
activemq@0,219,0,0.010836630985671985,0.813130081235423,0.32375271219106583,7.0,4.0,1.0,2.0,0.0,1.0,2.0,12.0,7.0,22.0,58.0,0.17,0.0,94.0,2.0,1.0,50.0,2.0,3.94736842105263,0.0,0.0,0.0,39.0,1.0,0.0,3.0,0.0
activemq@0,225,0,0.014079069167775226,0.7579366915529923,0.17339410725802784,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,66.0,0.24,0.0,92.0,1.0,1.0,43.0,2.0,3.84931506849315,0.0,0.0,0.0,10.0,1.1,0.0,3.0,1.0
activemq@0,230,0,1.592393698087447e-17,0.6536327605487219,0.11296952415581472,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,11.0,37.0,0.17,1.0,88.0,2.0,1.0,45.0,2.0,3.02380952380952,0.0,0.0,0.0,18.0,1.0,0.0,3.0,2.0
activemq@0,246,0,0.038986545923709544,0.49574439810576787,0.14037198387885733,5.0,0.0,1.0,3.0,0.0,1.0,2.0,4.0,13.0,38.0,76.0,0.29,0.0,74.0,1.0,1.0,70.0,4.0,3.09574468085106,0.0,1.0,0.0,17.0,0.9,0.0,3.0,1.0
activemq@0,287,0,0.5000000000000002,1.5000000000000004,1.1000000000000003,1.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,9.0,0.7,0.0,76.0,2.0,0.0,2.0,2.0,3.1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
activemq@0,326,0,0.19945185083987751,0.7664034245426029,0.43348884821641415,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,37.0,93.0,0.34,0.0,96.0,2.0,2.0,3.0,3.0,11.659793814433,0.0,0.0,0.0,4.0,1.0,0.0,3.0,2.0
activemq@0,359,0,0.26523617133263505,0.7647586828493457,0.5064109733671547,2.0,0.0,2.0,1.0,18.0,1.0,2.0,7.0,4.0,1.0,12.0,0.44,0.0,100.0,2.0,5.0,6.0,2.0,2.42105263157895,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
activemq@0,379,0,0.0045583385433387675,0.6640147040893962,0.1879529929134453,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.73,1.0,25.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
activemq@0,389,0,0.35286251397166596,1.0280196837286264,0.8326799472175653,0.0,3.0,1.0,3.0,0.0,0.0,2.0,4.0,0.0,6.0,41.0,0.19,0.0,90.0,2.0,2.0,3.0,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
activemq@0,393,0,0.09824194079310514,0.8558037911833472,0.3085989070505617,4.0,6.0,1.0,15.0,0.0,0.0,2.0,3.0,3.0,19.0,44.0,0.09,0.0,94.0,1.0,1.0,8.0,2.0,4.49122807017544,0.0,1.0,0.0,3.0,0.5,0.0,2.0,0.0
activemq@0,427,0,0.032444252068122945,0.7816958786684459,0.5199201207115969,9.0,10.0,1.0,5.0,2.0,1.0,2.0,1.0,0.0,22.0,10.0,0.18,0.0,91.0,1.0,0.0,10.0,1.0,4.13953488372093,0.0,1.0,0.0,11.0,1.0,0.0,2.0,0.0
activemq@0,500,0,0.051095137140984896,0.8986426135676064,0.22276415894093524,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,0.0,1.0,0.63,0.0,71.0,3.0,1.0,7.0,1.0,2.9,1.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0
activemq@0,502,0,0.00946669237329342,0.823949564068257,0.3349128095814863,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,0.76,0.0,62.0,2.0,1.0,8.0,1.0,4.16666666666667,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0
activemq@0,503,0,0.11416853171843595,0.5699461721451642,0.3003537184168144,2.0,0.0,1.0,2.0,1.0,1.0,1.0,10.0,28.0,36.0,39.0,0.21,0.0,93.0,1.0,2.0,40.0,2.0,4.15942028985507,0.0,0.0,0.0,11.0,1.0,0.0,3.0,0.0
activemq@0,505,0,0.05695601365594741,0.8047711126134663,0.2112954666108483,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,11.0,0.4,0.0,66.0,3.0,0.0,12.0,2.0,3.28571428571429,1.0,1.0,0.0,3.0,0.8,0.0,3.0,0.0
