project,test_idx,candidate_id,min,max,mean,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE
activemq@2,78,0,4.613208753354689,5.329316480710629,4.971737149471185,6.0,1.0,1.0,5.0,3.0,4.0,2.0,23.0,7.0,21.0,62.0,0.75,0.0,56.0,1.0,2.0,60.0,9.0,5.14705882352941,0.0,0.0,0.0,1.0,0.9592509970089732,4.0
activemq@2,80,0,1.9309730689341247,2.6069247823474493,2.2004970678994504,1.0,0.0,1.0,6.0,1.0,2.0,1.0,20.0,2.0,7.0,5.237500000000068,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0
activemq@2,85,0,1.0309865341153917,1.5954218867957008,1.2631837403083728,8.0,4.0,1.0,2.0,0.0,3.0,3.0,25.0,7.0,8.0,24.0,0.35,0.0,91.0,1.0,3.0,3.0,4.0,4.80952380952381,0.0,1.0,0.0,36.0,0.9776471807628528,4.0
activemq@2,86,0,0.3906602136501075,1.3906602136501074,0.6744163744821684,0.0,0.0,1.0,0.0,0.0,4.0,2.0,116.0,1.0,7.0,7.0,0.79,0.0,78.0,2.0,2.0,13.0,3.0,3.64705882352941,1.0,0.0,0.0,0.0,0.9819267900241352,3.0
activemq@2,95,0,1.7083333333333335,2.708333333333333,1.9063670411985019,1.0,4.0,1.0,4.0,0.0,8.0,2.0,1049.0,6.0,22.0,23.0,1.37,0.0,95.0,1.0,1.0,9.0,6.0,4.21296296296296,0.0,0.0,0.0,0.0,0.642458100558659,5.0
activemq@2,96,0,0.02711065573770495,0.572889344262295,0.10182971014492757,0.0,12.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,1.0,5.0,0.7053750000000002,0.0,75.0,1.0,0.0,10.0,2.0,3.05882352941176,1.0,1.0,0.0,0.0,0.533980582524272,2.0
activemq@2,104,0,0.29637075015821696,0.8804637435372379,0.4887116073091713,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,6.0,0.1,0.0,95.0,2.0,0.0,29.0,1.0,5.16666666666667,1.0,1.0,0.0,2.0,0.9509786040940764,2.0
activemq@2,134,0,1.8239165596513351,2.3954037025605084,2.0542508860846818,1.0,0.0,1.0,5.0,0.0,1.0,2.0,22.0,6.0,35.0,74.0,0.28,0.0,98.0,1.0,2.0,7.0,2.0,8.11940298507463,0.0,0.0,0.0,378.0,0.977272727272727,5.0
activemq@2,147,0,0.47080566849545824,1.2089366018756407,0.7335726740167992,0.0,0.0,1.0,1.0,0.0,4.0,2.0,20.0,1.0,4.0,3.0,0.73,0.0,90.0,3.0,0.0,28.0,1.0,3.32142857142857,0.0,1.0,0.0,1.0,0.9559392486011196,1.0
activemq@2,166,0,0.5120655038477872,1.012764344892934,0.6748563642847969,0.0,0.0,1.0,1.0,1.0,0.0,2.0,24.0,2.0,23.0,4.0,0.05,0.0,88.0,3.0,0.0,40.0,2.0,4.97368421052632,0.0,1.0,0.0,37.0,0.9942199550128537,3.0
