test_idx,instance_order,y_true,y_pred,proba1,feature,weight,abs_weight,rank,value
1492,0,0,1,0.58,MAJOR_COMMIT,-0.16264198836097113,0.16264198836097113,1,3.0
1492,0,0,1,0.58,CountDeclClassMethod,-0.05626887634949226,0.05626887634949226,2,0.0
1492,0,0,1,0.58,CountDeclMethodProtected,0.034352863079940225,0.034352863079940225,3,0.0
1492,0,0,1,0.58,CountClassCoupled,0.02464606712291028,0.02464606712291028,4,0.0
1492,0,0,1,0.58,CountDeclMethodPublic,-0.02235169202016612,0.02235169202016612,5,0.0
1492,0,0,1,0.58,OWN_COMMIT,0.019370325234316,0.019370325234316,6,0.6
1492,0,0,1,0.58,CountDeclInstanceVariable,0.01761489435850156,0.01761489435850156,7,0.0
1492,0,0,1,0.58,MINOR_COMMIT,0.016804315992328362,0.016804315992328362,8,0.0
1492,0,0,1,0.58,CountDeclClassVariable,0.015272004792771824,0.015272004792771824,9,0.0
1492,0,0,1,0.58,CountClassBase,0.010927040700625052,0.010927040700625052,10,0.0
1493,1,0,0,0.49,MINOR_COMMIT,-0.06028591266469258,0.06028591266469258,1,0.0
1493,1,0,0,0.49,CountDeclClassMethod,0.053601627053255725,0.053601627053255725,2,0.0
1493,1,0,0,0.49,MAJOR_COMMIT,-0.048318010143254535,0.048318010143254535,3,1.0
1493,1,0,0,0.49,OWN_COMMIT,-0.04144871298527825,0.04144871298527825,4,1.0
1493,1,0,0,0.49,CountDeclMethodProtected,-0.03659600817797264,0.03659600817797264,5,0.0
1493,1,0,0,0.49,CountClassCoupled,-0.03257485470972387,0.03257485470972387,6,1.0
1493,1,0,0,0.49,CountDeclMethodPublic,0.02576768862035778,0.02576768862035778,7,0.0
1493,1,0,0,0.49,CountDeclInstanceVariable,-0.019934706888303715,0.019934706888303715,8,0.0
1493,1,0,0,0.49,CountClassDerived,-0.018209682530224206,0.018209682530224206,9,1.0
1493,1,0,0,0.49,CountDeclClassVariable,-0.017264651215815895,0.017264651215815895,10,0.0
1494,2,0,1,0.82,MAJOR_COMMIT,-0.11700630889899592,0.11700630889899592,1,2.0
1494,2,0,1,0.82,CountDeclClassMethod,-0.05792066355573019,0.05792066355573019,2,0.0
1494,2,0,1,0.82,CountDeclMethodProtected,0.0348239907947288,0.0348239907947288,3,0.0
1494,2,0,1,0.82,CountClassCoupled,0.029871646435638086,0.029871646435638086,4,2.0
1494,2,0,1,0.82,CountDeclMethodDefault,-0.02518919572958792,0.02518919572958792,5,31.0
1494,2,0,1,0.82,CountDeclInstanceVariable,0.02038701320138925,0.02038701320138925,6,0.0
1494,2,0,1,0.82,OWN_COMMIT,0.018488319936726647,0.018488319936726647,7,0.5
1494,2,0,1,0.82,CountDeclMethodPublic,-0.01587540484308134,0.01587540484308134,8,0.0
1494,2,0,1,0.82,CountClassBase,0.012599547435765066,0.012599547435765066,9,0.0
1494,2,0,1,0.82,CountDeclClassVariable,0.010547798983756516,0.010547798983756516,10,0.0
1495,3,0,1,0.6,CountDeclClassMethod,-0.05639047598911292,0.05639047598911292,1,0.0
1495,3,0,1,0.6,MAJOR_COMMIT,0.047449303075837584,0.047449303075837584,2,1.0
1495,3,0,1,0.6,OWN_COMMIT,0.045378228106723734,0.045378228106723734,3,1.0
1495,3,0,1,0.6,MINOR_COMMIT,0.041544906627459015,0.041544906627459015,4,0.0
1495,3,0,1,0.6,CountDeclMethodProtected,0.030482114715878562,0.030482114715878562,5,0.0
1495,3,0,1,0.6,CountClassCoupled,0.030171865797327606,0.030171865797327606,6,2.0
1495,3,0,1,0.6,CountDeclInstanceVariable,0.022950815878986137,0.022950815878986137,7,0.0
1495,3,0,1,0.6,CountDeclMethodPrivate,0.01907021267738822,0.01907021267738822,8,0.0
1495,3,0,1,0.6,CountDeclMethodPublic,-0.017723988290976184,0.017723988290976184,9,0.0
1495,3,0,1,0.6,CountDeclMethodDefault,-0.01572234161452884,0.01572234161452884,10,7.0
1496,4,0,1,0.54,CountDeclClassMethod,-0.06365397500573661,0.06365397500573661,1,0.0
1496,4,0,1,0.54,OWN_COMMIT,0.05295881915935243,0.05295881915935243,2,1.0
1496,4,0,1,0.54,MAJOR_COMMIT,0.042903344537115806,0.042903344537115806,3,1.0
1496,4,0,1,0.54,CountDeclMethodProtected,0.035380514145435436,0.035380514145435436,4,0.0
1496,4,0,1,0.54,CountClassCoupled,0.02852570374740048,0.02852570374740048,5,2.0
1496,4,0,1,0.54,CountDeclInstanceVariable,0.021862401679213196,0.021862401679213196,6,0.0
1496,4,0,1,0.54,CountDeclMethodPublic,-0.01578817566905719,0.01578817566905719,7,0.0
1496,4,0,1,0.54,AvgEssential,-0.012676873770108179,0.012676873770108179,8,1.0
1496,4,0,1,0.54,CountDeclClassVariable,0.012567494414170882,0.012567494414170882,9,0.0
1496,4,0,1,0.54,CountInput_Min,0.009818885630422445,0.009818885630422445,10,0.0
1497,5,0,1,0.59,CountDeclClassMethod,-0.05818946330086415,0.05818946330086415,1,0.0
1497,5,0,1,0.59,MAJOR_COMMIT,0.047466176071243135,0.047466176071243135,2,1.0
1497,5,0,1,0.59,OWN_COMMIT,0.04658954810613253,0.04658954810613253,3,1.0
1497,5,0,1,0.59,CountClassCoupled,0.03378109908124488,0.03378109908124488,4,2.0
1497,5,0,1,0.59,CountDeclMethodProtected,0.029568508170115887,0.029568508170115887,5,0.0
1497,5,0,1,0.59,CountDeclInstanceVariable,0.020422455761654034,0.020422455761654034,6,0.0
1497,5,0,1,0.59,CountDeclMethodDefault,-0.0199785683471841,0.0199785683471841,7,4.0
1497,5,0,1,0.59,CountDeclMethodPublic,-0.017388869493202706,0.017388869493202706,8,0.0
1497,5,0,1,0.59,AvgEssential,-0.011837215959462648,0.011837215959462648,9,1.0
1497,5,0,1,0.59,CountDeclClass,-0.008589635282664508,0.008589635282664508,10,1.0
1498,6,0,1,0.74,MAJOR_COMMIT,-0.11801022102217473,0.11801022102217473,1,2.0
1498,6,0,1,0.74,CountDeclClassMethod,-0.057414438947218156,0.057414438947218156,2,0.0
1498,6,0,1,0.74,CountDeclMethodDefault,-0.03808324159805796,0.03808324159805796,3,38.0
1498,6,0,1,0.74,CountDeclMethodProtected,0.031956779007128254,0.031956779007128254,4,0.0
1498,6,0,1,0.74,CountClassCoupled,0.03184969967655411,0.03184969967655411,5,1.0
1498,6,0,1,0.74,CountDeclMethodPublic,-0.029599029163069845,0.029599029163069845,6,0.0
1498,6,0,1,0.74,MINOR_COMMIT,-0.028296007614961288,0.028296007614961288,7,0.0
