,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
32,0.0,0.0,0.0,1.0,18.0,0.0,4.0,1.0,0.0,0.0,0.07999999999999996,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5652173913043477,0.0,1.0,0.0,0.0,0.664705882352941,0.0,3.0,2.0
575,0.0,6.0,6.0,37.0,15.0,0.0,55.0,6.0,1.0,4.0,0.13,0.0,94.0,2.0,0.0,15.0,2.0,3.16666666666667,1.0,6.52380952380952,1.0,1.0,0.73469387755102,0.0,0.888888888888889,0.0,3.0,6.0
633,0.0,11.0,20.999999999999996,28.0,20.0,0.0,33.0,11.0,0.0,0.0,0.08999999999999997,0.0,95.0,1.0,4.0,20.0,2.0,4.57894736842105,1.0,3.63157894736842,1.0,1.0,0.941176470588235,0.0,1.0,0.0,1.0,0.0
578,8.0,15.0,0.933333333333333,9.0,6.0,0.0,45.0,2.0,7.0,3.0,0.10999999999999999,2.0,94.0,5.0,1.0,14.0,2.0,4.25641025641026,1.0,3.87179487179487,1.0,1.0,0.666666666666667,0.0,0.9333333333333329,0.0,2.0,8.0
765,0.0,59.0,99.0,34.0,7.0,0.0,56.0,59.0,0.0,29.0,0.040000000000000036,0.0,25.0,1.0,0.0,34.0,2.0,4.84375,0.0,5.41875,1.0,1.0,0.681818181818182,0.0,0.0,0.0,5.0,0.0
678,0.0,13.0,89.0,317.0,8.0,0.0,99.0,2.0,0.0,2.0,0.050000000000000044,0.0,100.0,2.0,0.0,89.0,1.0,5.8,0.0,3.8625,1.0,1.0,0.507739938080495,0.0,0.763048016701461,0.0,1.0,13.0
769,40.0,15.0,55.0,0.0,3.0,2.0,281.99999999999994,4.0,5.0,2.0,0.20000000000000007,1.0,96.0,4.0,1.0,40.0,2.0,4.67708333333333,0.0,7.90625,0.0,1.0,1.11881188118812,0.0,0.445103857566766,0.0,4.0,15.0
782,0.0,65.0,14.0,0.0,0.0,0.0,156.0,14.0,1.0,0.0,0.09999999999999998,0.0,99.0,4.0,5.0,65.0,2.0,3.46478873239437,1.0,4.72769953051643,1.0,1.0,0.442982456140351,0.0,0.614654002713704,0.0,4.0,14.0
793,10.0,7.999999999999999,29.000000000000004,0.0,1.0000000000000004,2.0,270.0,8.0,9.0,0.0,0.45000000000000007,0.0,100.0,3.0,5.0,31.0,2.0,8.43564356435644,0.0,3.58415841584158,1.0,1.0,0.381818181818182,0.0,0.8,0.0,5.0,10.0
775,0.0,0.0,12.0,0.0,0.0,0.0,91.0,26.0,2.0,3.0,0.14,0.0,80.0,5.0,2.0,48.0,2.0,2.98648648648649,0.0,4.67567567567568,2.0,1.0,0.346534653465347,0.0,0.539617486338798,0.0,3.0,12.0
816,10.0,5.0,1.0,2.0,1.0000000000000004,0.0,103.0,5.0,2.0,2.0,0.10999999999999999,1.0,95.0,3.0,0.0,26.0,2.0,3.33707865168539,0.0,5.86516853932584,1.0,1.0,0.568421052631579,0.0,0.66403162055336,0.0,7.0,10.0
476,0.0,4.0,41.0,0.0,6.0,8.000000000000002,1130.0,1.0,0.0,5.0,2.15,0.0,83.0,1.0,1.0,41.0,2.0,9.36283185840708,0.0,2.99115044247788,1.0,1.0,0.216,0.0,0.504424778761062,0.0,1.0,4.0
956,27.0,6.0,5.0,3.0,3.0,2.0,297.0,3.0,0.0,13.0,0.27,1.0,89.0,2.0,0.0,18.0,3.0,3.93333333333333,0.0,5.18888888888889,0.0,1.0,1.24468085106383,0.0,1.0,0.0,3.0,5.0
988,6.0,15.0,47.0,1.0,1.0000000000000004,1.0,168.0,15.0,0.0,54.0,0.14,0.0,100.0,2.0,5.0,19.0,2.0,4.51960784313725,0.0,4.83333333333333,0.0,0.0,1.02542372881356,0.0,0.66798418972332,0.0,3.0,6.0
1016,0.0,1.0,32.0,471.0,1.0000000000000004,3.0,471.00000000000006,1.0,0.0,3.0,0.24,1.0,52.0,1.0,0.0,32.0,1.0,4.47572815533981,0.0,9.68932038834951,0.0,1.0,0.12380952380952398,0.0,0.337278106508876,0.0,1.0,3.0
748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
