CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,1.0,0.0,4.0,4.0,0.3,1.0,100.0,3.0,0.0,14.0,2.0,6.53,0.0,9.4,1.0,1.0,1.62,0.0,522.0,1.0,0.0,1.0,0.0,1
3.0,2.0,0.0,2.0,5.0,0.17,0.0,90.0,2.0,1.0,15.0,2.0,6.71,0.0,7.32,1.0,1.0,1.33,0.0,766.0,0.8,0.0,1.0,2.0,0
8.0,1.0,15.0,6.0,0.0,0.43,1.0,81.0,3.0,0.0,27.0,1.0,6.07,3.0,8.53,2.0,1.0,1.72,0.0,514.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,1.43,0.0,100.0,3.0,0.0,0.0,1.0,3.0,0.0,2.33,2.0,1.0,0.67,0.0,39.0,1.0,0.0,1.0,0.0,0
0.0,3.0,0.0,0.0,0.0,0.71,0.0,0.0,1.0,0.0,1.0,2.0,1.5,0.0,2.5,1.0,1.0,2.25,0.0,47.0,1.0,0.0,1.0,0.0,0
0.0,1.0,2.0,1.0,0.0,0.13,1.0,69.0,1.0,0.0,26.0,2.0,4.28,0.0,4.93,1.0,1.0,0.17,0.0,1215.0,0.75,0.0,2.0,0.0,1
0.0,1.0,2.0,1.0,0.0,0.12,3.0,55.0,1.0,0.0,12.0,2.0,4.67,1.0,7.56,1.0,1.0,0.5,0.0,325.0,0.5,0.0,2.0,0.0,0
0.0,3.0,3.0,3.0,0.0,0.23,3.0,54.0,1.0,0.0,8.0,2.0,3.33,1.0,7.0,1.0,1.0,1.33,0.0,259.0,0.5,0.0,1.0,1.0,0
0.0,1.0,2.0,7.0,0.0,0.89,2.0,0.0,2.0,0.0,3.0,1.0,4.67,3.0,7.67,6.0,1.0,0.83,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,4.0,0.0,7.0,0.0,0.22,10.0,0.0,0.0,0.0,0.0,0.0,8.33,6.0,16.67,3.0,2.0,2.25,1.0,0.0,0.0,0.0,2.0,0.0,0
