Antecedent,Antecedent Coverage %,Confidence,Lift
-0.26 < CountDeclInstanceVariable <= 0.09 & 0.932 < AvgCyclomaticModified <= 1.022,0.32871,0.99855,1.04185
CountInput_Mean <= 0.52,0.20927,0.99772,1.04099
CountClassCoupled <= 0.38,0.20736,0.9977,1.04097
2 < CountClassCoupled <= 4,0.19446,0.99754,1.04081
0.52 < CountInput_Mean <= 1.19,0.19064,0.99749,1.04075
-4.55 < Del_lines <= 1.15,0.43,0.99556,1.03873
0.38 < CountClassCoupled <= 2,0.20688,0.99538,1.03855
CountClassBase <= 0.595,0.19924,0.9952,1.03837
RatioCommentToCode > 3.69,0.19828,0.99518,1.03834
-0.112 < AvgLineBlank <= 0.032,0.56522,0.9907,1.03367
