,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE
2122,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,
203,0,0,1,0,1,0,1,1,2,12,50,0.35,0,93,1,5,14,2,2.80769230769231,0,1.19230769230769,0,0,0.724852071005917,1.0,0
204,0,0,1,1,0,0,2,1,8,8,20,0.12,0,82,2,2,9,2,3.53333333333333,0,3.96666666666667,0,0,0.636075949367089,1.0,2
148,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,
181,0,2,1,1,2,0,1,13,29,12,14,0.04,0,75,3,6,22,2,3.73913043478261,0,3.41304347826087,0,0,0.472118959107807,0.333333333333333,2
205,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,
2154,0,0,1,2,0,1,5,1,2,8,6,0.1,4,71,2,0,26,2,9.75,1,14.25,2,0,0.55448717948718,0.0,1
303,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,
901,0,0,1,0,0,0,1,1,0,1,34,0.13,0,0,1,4,8,2,3.23529411764706,1,1.38235294117647,1,0,0.280193236714976,0.05,3
75,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,
328,1,1,1,3,2,0,2,1,7,1,71,0.08,0,97,3,11,13,3,6.0875,0,2.95,0,0,0.536423841059603,0.666666666666667,3
2190,,,,,,,,,,,,,,,,,,,,,,,,,,
816,,,,,,,,,,,,,,,,,,,,,,,,,,
941,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,0,0,1,4,4,4,2,1,0,7,8,0.56,0,89,1,0,1,1,8.125,1,3.5,1,0,0.440217391304348,0.05,3
1047,,,,,,,,,,,,,,,,,,,,,,,,,,
849,0,0,1,1,0,0,3,1,0,8,10,0.17,0,73,3,1,5,1,4.2,1,4.5,1,0,0.194690265486726,0.05,0
853,,,,,,,,,,,,,,,,,,,,,,,,,,
852,,,,,,,,,,,,,,,,,,,,,,,,,,
835,,,,,,,,,,,,,,,,,,,,,,,,,,
856,,,,,,,,,,,,,,,,,,,,,,,,,,
2254,,,,,,,,,,,,,,,,,,,,,,,,,,
855,,,,,,,,,,,,,,,,,,,,,,,,,,
858,,,,,,,,,,,,,,,,,,,,,,,,,,
885,,,,,,,,,,,,,,,,,,,,,,,,,,
2282,,,,,,,,,,,,,,,,,,,,,,,,,,
2289,,,,,,,,,,,,,,,,,,,,,,,,,,
886,,,,,,,,,,,,,,,,,,,,,,,,,,
2283,,,,,,,,,,,,,,,,,,,,,,,,,,
2293,,,,,,,,,,,,,,,,,,,,,,,,,,
2290,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,,,,,,,,,,,,,,,,,,,,,,,,,,
2301,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,0,1,1,1,0,4,1,1,2,8,34,0.99,0,89,1,2,6,3,4.43243243243243,0,2.43243243243243,0,0,0.617234468937876,0.4,6
1925,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,0,0,1,1,0,0,1,1,3,1,5,0.08,8,68,2,3,8,1,3.75,1,10.5,1,0,1.0,0.05,0
1142,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,,,,,,,,,,,,,,,,,,,,,,,,,,
990,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,0,0,1,1,1,3,4,1,1,1,10,0.17,7,86,5,0,9,1,2.72727272727273,0,12.2727272727273,1,0,0.563192904656319,0.05,3
2437,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,,,,,,,,,,,,,,,,,,,,,,,,,,
2591,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,0,0,1,0,0,0,2,1,2,0,21,0.11,0,0,1,2,13,2,2.43478260869565,0,4.43478260869565,1,0,0.449781659388646,0.05,1
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,,,,,,,,,,,,,,,,,,,,,,,,,,
