,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,effort
2122,10.0,17.0,1.0,13.0,1.0,0.0,3.0,17.0,4.0,37.0,28.0,0.06,1.0,93.0,3.0,2.0,32.0,2.0,21.2,1.0,7.98076923076923,0.0,0.0,0.981990521327014,0.1,1.0,0.011963640518331764
101,1.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,6.0,7.0,27.0,0.09,0.0,91.0,2.0,0.0,31.0,1.0,1.0,1.0,7.91176470588235,1.0,0.0,1.1,0.333333333333333,2.0,0.0011158094863490398
132,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,65.0,4.42,0.0,0.0,1.0,20.0,4.0,2.0,3.70769230769231,1.0,1.41538461538462,1.0,0.0,0.341614906832298,1.0,3.0,0.056052847483577195
147,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.0,0.11,0.0,0.0,7.0,2.0,28.0,2.0,0.046875,0.0,0.40625,0.0,0.0,1.0,1.0,2.0,0.003657119253255292
148,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,65.0,0.09,0.0,6.0,1.0,2.0,29.0,2.0,0.984615384615385,0.0,1.35384615384615,1.0,1.0,1.0,1.0,3.0,0.00013800861922674823
153,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,71.0,0.09,0.0,88.0,1.0,0.0,25.0,2.0,0.2,1.0,3.59722222222222,1.0,0.0,0.267241379310345,0.666666666666667,3.0,0.0003548310541674482
181,1.0,2.0,1.0,1.0,2.0,0.0,1.0,13.0,29.0,12.0,14.0,0.04,0.0,75.0,3.0,0.0,22.0,2.0,3.73913043478261,0.0,3.41304347826087,0.0,0.0,0.472118959107807,0.333333333333333,2.0,0.0023869656350621327
193,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,67.0,0.1,0.0,94.0,1.0,3.0,28.0,2.0,3.6865671641791,0.0,2.35820895522388,1.0,0.0,1.1,1.0,1.0,0.0003023604322128781
199,0.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,9.0,43.0,1.0,0.4,12.0,60.0,1.0,2.0,29.0,2.0,3.0,17.0,11.6,0.0,0.0,0.578005115089514,0.5,2.0,0.2528048180405472
203,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,12.0,50.0,0.35,0.0,93.0,1.0,5.0,14.0,1.0,2.80769230769231,0.0,1.19230769230769,0.0,0.0,0.724852071005917,1.0,1.0,4.3328671511355665e-05
204,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,8.0,8.0,20.0,0.12,1.0,82.0,2.0,2.0,9.0,2.0,3.53333333333333,0.0,3.96666666666667,0.0,0.0,0.636075949367089,1.0,2.0,6.765544766895726e-05
205,2.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,6.0,12.0,27.0,0.17,0.0,87.0,2.0,0.0,20.0,9.0,4.02777777777778,0.0,6.08333333333333,1.0,0.0,1.0,0.5,1.0,0.00271385562832116
215,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,65.0,0.12,0.0,1.0,1.0,4.0,18.0,2.0,1.89393939393939,1.0,28.3,1.0,0.0,0.334365325077399,0.5,4.0,0.06974589064896364
218,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,7.0,6.0,19.0,4.14,0.0,83.0,3.0,0.0,8.0,2.0,4.53846153846154,0.0,12.4,0.0,0.0,0.252747252747253,0.5,2.0,0.024262527662000877
255,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,53.0,114.0,2.33,0.0,98.0,2.0,39.0,2.0,1.0,4.07017543859649,1.0,2.23684210526316,1.0,0.0,1.0,0.666666666666667,3.0,0.044258498199002294
279,1.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,11.0,2.0,14.0,0.06,0.0,95.0,2.0,17.0,48.0,2.0,0.6,0.0,3.825,0.0,0.0,0.240831295843521,0.5,5.0,0.11557548682980068
286,4.0,23.0,1.0,1.0,0.0,1.0,3.0,7.0,4.0,10.0,38.0,0.13,1.0,40.0,2.0,1.0,43.0,2.0,3.36170212765957,0.0,12.0,0.0,0.0,1.0,0.2,3.0,0.11434482235794097
287,2.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,4.0,6.0,12.0,0.11,0.0,84.0,2.0,1.0,7.0,2.0,3.88888888888889,0.0,8.88888888888889,15.0,0.0,0.440318302387268,1.0,2.0,0.03739385715785315
2154,0.0,0.0,1.0,2.0,0.0,1.0,5.0,1.0,2.0,8.0,6.0,0.76,4.0,71.0,2.0,0.0,26.0,2.0,9.75,1.0,14.25,2.0,0.0,0.55448717948718,0.666666666666667,1.0,3.522929027521826e-05
312,0.0,0.0,1.0,1.0,0.0,0.0,2.0,27.0,0.0,8.0,60.0,0.1,0.0,89.0,0.0,0.0,25.0,1.0,3.93333333333333,1.0,4.55,1.0,0.0,1.0,1.0,0.0,0.027090193251190997
