test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
57,0,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,26.0,2.0,32.0,151.0,0.0,3.0,19.0,1.0,2.0,0.0,2.08474576271186,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.52,0.48,1,4.38418993659639
115,0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,132.0,4.0,9.0,13.0,25.0,0.0,3.0,0.0,19.0,2.0,0.0,5.02631578947368,1.0,1.0,0.0,0.333333333333333,0.0,3.0,2.0,0.5,0.5,5,7416198487095.663
141,0,0.0,0.0,3.0,0.0,1.0,6.0,5.0,44.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,14.25,2.0,1.0,0.0,1.0,0.0,3.0,3.0,0.5,0.5,1,3.0352084176436547
152,0,1.0,1.0,1.0,2.0,9.0,0.0,1.0,115.0,2.0,7.0,40.0,101.0,0.0,4.0,2.0,28.0,2.0,0.0,1.88181818181818,1.0,1.0,0.0,1.0,0.0,4.0,5.0,0.5,0.5,2,9486832980505.139
195,0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,76.0,3.0,8.0,8.0,7.0,0.0,2.0,0.0,18.0,5.0,0.0,4.36363636363636,0.0,1.0,0.0,1.0,0.0,2.0,5.0,0.5,0.5,2,1000000000000.0
203,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,22.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,6.0,1.0,4.0,7.0,5.0,1.0,0.0,0.5,0.0,3.0,4.0,0.51,0.49,1,1000000000000.0
216,0,1.0,0.0,1.0,1.0,51.0,1.0,1.0,102.0,5.0,1.0,2.0,56.0,0.0,2.0,0.0,5.0,2.0,0.0,2.41176470588235,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.59,0.41,1,0.035913554637431344
310,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,45.0,1.0,0.0,18.0,36.0,0.0,1.0,0.0,22.0,2.0,1.0,2.83333333333333,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.51,0.49,1,4000000000000.0
491,0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,164.0,1.0,0.0,25.0,91.0,0.0,3.0,0.0,17.0,2.0,0.0,2.03092783505155,1.0,1.0,0.0,0.5,0.0,3.0,1.0,0.53,0.47,2,6000000000000.0
589,0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,300.0,1.0,4.0,17.0,89.0,0.0,3.0,0.0,21.0,1.0,0.0,2.52577319587629,1.0,1.0,0.0,0.666666666666667,0.0,3.0,2.0,0.51,0.49,2,5000000000000.0
599,0,0.0,2.0,1.0,0.0,0.0,8.0,1.0,1598.0,1.0,11.0,0.0,181.0,0.0,3.0,27.0,94.0,2.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.5,0.5,5,9964814130788.242
601,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,104.0,2.0,0.0,13.0,52.0,0.0,5.0,0.0,11.0,2.0,0.0,1.88679245283019,1.0,1.0,0.0,0.8,0.0,3.0,5.0,0.5,0.5,1,0.3372453797381838
637,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,97.0,1.0,1.0,12.0,47.0,0.0,4.0,0.0,12.0,2.0,0.0,1.95833333333333,1.0,1.0,0.0,0.666666666666667,0.0,1.0,3.0,0.52,0.48,1,0.3372453797381838
655,0,7.0,0.0,1.0,2.0,4.0,2.0,1.0,175.0,7.0,0.0,35.0,49.0,1.0,3.0,0.0,31.0,5.0,0.0,2.25641025641026,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.5,0.5,5,4582575694955.84
755,0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,86.0,5.0,7.0,7.0,7.0,2.0,2.0,2.0,16.0,3.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0,0.5,0.5,4,3741657386773.9414
770,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,62.0,7.0,9.0,6.0,8.0,1.0,3.0,1.0,10.0,4.0,0.0,3.73333333333333,1.0,1.0,0.0,0.5,0.0,2.0,5.0,0.5,0.5,3,3162277660168.3794
897,0,1.0,0.0,2.0,0.0,17.0,6.0,1.0,133.0,1.0,0.0,0.0,17.0,0.0,1.0,0.0,9.0,2.0,0.0,3.61111111111111,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.53,0.47,1,2000000000000.0
939,0,3.0,0.0,2.0,2.0,70.0,5.0,3.0,495.0,4.0,0.0,4.0,78.0,0.0,2.0,0.0,0.0,2.0,0.0,3.39506172839506,0.0,1.0,0.0,0.75,0.0,4.0,7.0,0.52,0.48,1,3.7096991771200223
946,0,2.0,0.0,1.0,1.0,18.0,4.0,1.0,106.0,1.0,0.0,0.0,17.0,0.0,1.0,0.0,5.0,1.0,0.0,2.63157894736842,1.0,1.0,0.0,1.0,0.0,2.0,5.0,0.54,0.46,1,3000000000000.0
1669,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,42.0,2.0,2.0,0.0,35.0,0.0,6.0,0.0,5.0,1.0,0.0,1.83333333333333,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.66,0.34,1,0.015950794987613426
2829,0,1.0,0.0,1.0,1.0,0.0,6.0,4.0,62.0,1.0,1.0,0.0,5.0,5.0,2.0,0.0,3.0,1.0,0.0,8.85714285714286,1.0,1.0,0.0,0.5,0.0,3.0,2.0,0.5,0.5,1,2.0234722784291033
2936,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,35.0,1.0,8.0,38.0,76.0,0.0,3.0,0.0,38.0,1.0,0.0,1.63095238095238,0.0,1.0,0.0,0.714285714285714,0.0,3.0,1.0,0.51,0.49,1,0.6744907594763676
2994,0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,37.0,3.0,6.0,11.0,20.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.5,0.0,4.0,3.0,0.57,0.43,1,3.0352084176436547
3867,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,56.0,1.0,5.0,1.0,13.0,0.0,1.0,4.0,22.0,2.0,0.0,8.1578947368421,1.0,1.0,0.0,0.6,0.0,2.0,3.0,0.5,0.5,2,2828427124746.19
3877,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,42.0,1.0,0.0,17.0,47.0,0.0,5.0,2.0,1.0,2.0,0.0,1.85106382978723,1.0,1.0,0.0,0.5,0.0,1.0,4.0,0.55,0.45,1,4.721435316334574
3912,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,55.0,1.0,5.0,1.0,3.0,0.0,1.0,3.0,22.0,2.0,0.0,8.0,1.0,1.0,0.0,0.5,0.0,2.0,5.0,0.5,0.5,3,2828427124746.19
3919,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,48.0,1.0,1.0,16.0,46.0,0.0,5.0,0.0,14.0,2.0,0.0,1.72340425531915,1.0,1.0,0.0,0.5,0.0,4.0,2.0,0.51,0.49,1,1000000000000.0
3926,0,1.0,0.0,2.0,1.0,3.0,5.0,5.0,95.0,1.0,1.0,4.0,4.0,2.0,3.0,0.0,19.0,1.0,1.0,10.8461538461538,1.0,1.0,0.0,0.666666666666667,0.0,2.0,0.0,0.5,0.5,4,6082762530298.22
4145,0,10.0,0.0,1.0,6.0,0.0,1.0,3.0,99.0,3.0,10.0,25.0,51.0,0.0,5.0,0.0,0.0,2.0,0.0,4.12676056338028,0.0,1.0,0.0,0.428571428571429,0.0,4.0,7.0,0.51,0.49,1,7.4193983542400455
4147,0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,47.0,1.0,4.0,2.0,6.0,1.0,3.0,0.0,19.0,2.0,1.0,7.81818181818182,1.0,1.0,0.0,0.75,0.0,1.0,5.0,0.5,0.5,2,2236067977499.7896
4304,0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,97.0,1.0,7.0,10.0,167.0,0.0,1.0,2.0,0.0,4.0,0.0,2.59659090909091,1.0,1.0,0.0,0.625,0.0,2.0,8.0,0.5,0.5,2,10.875836703488181
4555,0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,22.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,17.4,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.56,0.44,1,0.6744907594763677
