,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
42,0.0,258.0,0.666666666666667,5.0,7.0,0.9199999999999999,0.0,78.0,1.0,0.0,14.0,2.0,6.8125,0.0,3.875,0.0,1.0,1.15,0.0,258.0,0.666666666666667,0.0,2.0,5.0
63,0.0,0.842105263157895,0.33333333333333304,5.0,6.0,3.03,0.0,7.105427357601002e-15,2.0,1.0,14.0,2.0,3.05263157894737,0.0,0.8421052631578951,0.0,1.0,0.0,0.0,2.0,0.333333333333333,0.0,6.0,5.0
73,0.0,93.0,0.5,9.0,8.0,0.6299999999999999,0.0,77.0,3.0,8.0,13.0,2.0,4.78947368421053,0.0,3.84210526315789,0.0,1.0,0.785714285714286,0.0,93.0,0.5,0.0,1.0,8.0
79,4.0,24.0,0.6000000000000001,2.0,6.0,0.73,0.0,84.0,3.0,4.0,9.0,4.0,11.5714285714286,1.0,3.19047619047619,1.0,1.0,0.739130434782609,0.0,24.0,0.6,0.0,1.0,6.0
95,0.0,0.0,0.5,18.0,2.0,0.33000000000000007,0.0,80.0,2.0,0.0,18.0,1.0,5.53846153846154,1.0,5.38461538461539,1.0,1.0,1.86666666666667,0.0,4.0,0.5,0.0,5.0,2.0
65,33.0,48.0,0.5714285714285712,0.0,7.0,0.53,0.0,88.0,2.0,1.0,33.0,2.0,17.8736842105263,0.0,3.95789473684211,1.0,1.0,0.5,0.0,48.0,0.571428571428571,0.0,5.0,7.0
1126,0.0,136.0,40.99999999999999,0.33333333333333304,7.10769230769231,0.6699999999999999,0.0,7.105427357601002e-15,1.0,0.0,136.0,1.0,4.72307692307692,0.0,7.10769230769231,1.0,1.0,0.434782608695652,0.0,41.0,0.333333333333333,0.0,3.0,4.0
175,0.0,0.0,0.0,74.0,0.346153846153846,1.43,0.0,100.0,1.0,0.0,2.000000000000001,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,74.0,0.346153846153846,8.0,5.0,14.0
1189,0.0,0.0,24.0,0.6666666666666667,6.625,0.3700000000000001,0.0,66.0,2.0,0.0,24.0,3.0,4.125,0.0,6.625,0.0,1.0,2.5833333333333304,0.0,2.0,0.666666666666667,0.0,1.0,2.0
43,5.0,70.0,0.2999999999999998,19.0,28.0,0.74,0.0,64.0,1.0,0.0,19.0,1.0,5.96428571428571,2.0,4.78571428571429,1.0,1.0,0.6,0.0,70.0,0.3,0.0,4.0,2.0
1363,0.0,0.0,13.0,0.33333333333333304,4.0,0.47,0.0,60.0,2.0,1.0,9.0,3.0,3.2,0.0,4.8,0.0,1.0,1.22222222222222,0.0,13.0,0.333333333333333,0.0,2.0,2.0
299,31.0,3.0,16.999999999999996,0.3999999999999999,5.0,0.25,2.0,88.0,2.0,4.0,31.0,2.0,5.91666666666667,1.0,9.83333333333333,1.0,1.0,1.4,0.0,16.999999999999993,0.4,0.0,3.0,8.0
125,0.88135593220339,22.0,58.99999999999999,6.0,0.333333333333333,3.48,0.0,7.105427357601002e-15,1.0,1.0,22.0,1.0,0.8813559322033901,0.0,0.4237288135593218,0.0,1.0,0.0,0.0,72.0,0.333333333333333,0.0,5.0,5.0
1127,0.0,32.0,0.5,0.0,15.0,0.73,0.0,7.105427357601002e-15,1.0,0.0,32.0,1.0,3.4375,0.0,5.375,1.0,1.0,0.944444444444444,0.0,15.0,0.5,0.0,3.0,1.0
1397,0.0,3.0,0.5,9.16666666666667,3.0,0.6499999999999999,3.0,50.0,2.0,2.0,8.0,1.0,3.16666666666667,2.0,9.16666666666667,1.0,1.0,1.11111111111111,0.0,4.0,0.5,0.0,1.0,2.0
339,0.0,51.0,0.33333333333333304,16.999999999999996,6.4,0.22999999999999998,0.0,65.0,2.0,6.0,17.0,1.0,6.5,1.0,6.4,0.0,1.0,1.58333333333333,0.0,51.0,0.333333333333333,0.0,3.0,3.0
