Antecedent,Antecedent Coverage %,Confidence,Lift
MAJOR_COMMIT <= 0.32,0.20848,0.98929,1.1972
0.32 < MAJOR_COMMIT <= 0.96,0.10893,0.98361,1.19032
CountLineComment <= 13,0.10938,0.97959,1.18546
0.8 < CountClassCoupled <= 4.45,0.2692,0.96849,1.17203
0.03 < MAJOR_LINE <= 0.73,0.11964,0.96642,1.16952
MAJOR_LINE <= 0.03,0.26027,0.96055,1.16241
CountClassCoupled <= 0.8,0.17277,0.95349,1.15387
13 < CountLineComment <= 38,0.32277,0.94606,1.14488
0.96 < MAJOR_COMMIT <= 1.53,0.28839,0.94272,1.14084
4.45 < CountClassCoupled <= 8.7,0.17188,0.93766,1.13472
