Antecedent,Antecedent Coverage %,Confidence,Lift
MAJOR_COMMIT <= 0.33,0.19866,0.99101,1.18646
1.01 < MAJOR_COMMIT <= 1.51,0.075,0.98214,1.17584
0.75 < CountClassCoupled <= 3.95,0.23616,0.96975,1.16101
3.95 < CountClassCoupled <= 7.25,0.18036,0.96535,1.15573
-0.02 < MAJOR_LINE <= 0.64,0.2933,0.9589,1.14802
CountLineComment <= 21.8,0.1817,0.95577,1.14427
MAJOR_LINE <= -0.02,0.10357,0.95259,1.14046
0.33 < MAJOR_COMMIT <= 1.01,0.32188,0.95146,1.1391
PercentLackOfCohesion <= 12.5,0.20134,0.95122,1.13882
CountClassCoupled <= 0.75,0.17902,0.94763,1.13452
