Antecedent,Antecedent Coverage %,Confidence,Lift
MAJOR_COMMIT <= 0.35,0.20848,0.98501,1.16928
0.9 < CountClassCoupled <= 3.8,0.20313,0.98242,1.1662
0.01 < MAJOR_LINE <= 0.72,0.12054,0.96296,1.1431
CountLineComment <= 20.8,0.15045,0.95549,1.13423
0.35 < MAJOR_COMMIT <= 1,0.29063,0.95545,1.13419
MAJOR_LINE <= 0.01,0.26696,0.95485,1.13347
CountInput_Mean <= 1.6,0.19732,0.94344,1.11993
MaxInheritanceTree <= 0.914,0.14598,0.9419,1.1181
CountClassCoupled <= 0.9,0.19955,0.94183,1.11802
RatioCommentToCode > 1.88,0.13304,0.9396,1.11537
