Antecedent,Antecedent Coverage %,Confidence,Lift
MAJOR_COMMIT <= 0.36,0.20268,0.98899,1.174
0.36 < MAJOR_COMMIT <= 0.945,0.09107,0.98039,1.16379
0.8 < CountClassCoupled <= 4.05,0.21964,0.97561,1.15812
-0.02 < MAJOR_LINE <= 0.68,0.29509,0.97126,1.15295
CountClassCoupled <= 0.8,0.20446,0.96507,1.1456
CountLineComment <= 15,0.11205,0.96414,1.14451
0.945 < MAJOR_COMMIT <= 1.36,0.31161,0.96275,1.14285
MAJOR_LINE <= -0.02,0.10223,0.9607,1.14042
4.05 < CountClassCoupled <= 7.7,0.17991,0.95285,1.1311
0.876 < OWN_COMMIT <= 1.01,0.30848,0.95224,1.13038
