Antecedent,Antecedent Coverage %,Confidence,Lift
0.33 < MAJOR_COMMIT <= 0.97,0.11339,0.99606,1.1906
MAJOR_COMMIT <= 0.33,0.2058,0.99132,1.18493
1 < CountClassCoupled <= 4.45,0.22857,0.97266,1.16262
0.04 < MAJOR_LINE <= 0.8,0.14063,0.96508,1.15356
4.45 < CountClassCoupled <= 8.05,0.20179,0.96239,1.15035
MAJOR_LINE <= 0.04,0.24643,0.95652,1.14333
CountClassCoupled <= 1,0.18705,0.95227,1.13825
CountLineComment <= 18.8,0.15937,0.94678,1.13169
CountClassBase <= 0.892,0.14152,0.94322,1.12743
0.97 < MAJOR_COMMIT <= 1.55,0.28527,0.9421,1.12609
