Antecedent,Antecedent Coverage %,Confidence,Lift
1.5 < PercentLackOfCohesion <= 25,0.15112,0.99684,1.10402
Added_lines <= -22.5,0.08608,0.99444,1.10137
CountDeclClassMethod <= -0.71,0.08321,0.99425,1.10116
OWN_COMMIT <= 0.04,0.20995,0.99089,1.09743
MINOR_LINE <= 0.98,0.09995,0.99043,1.09692
RatioCommentToCode > 2.33,0.19847,0.99036,1.09685
PercentLackOfCohesion <= 1.5,0.25538,0.98876,1.09508
-22.5 < Added_lines <= 15,0.40459,0.98818,1.09443
-2.16 < CountDeclClassVariable <= 0.12,0.5055,0.9877,1.0939
MAJOR_LINE <= -0.03,0.10952,0.9869,1.09301
