Antecedent,Antecedent Coverage %,Confidence,Lift
0.005 < OWN_COMMIT <= 0.24,0.11975,1.0,1.0723
AvgEssential <= 0.776,0.11645,1.0,1.0723
OWN_COMMIT <= 0.005,0.28619,0.99835,1.07053
-12.8 < Added_lines <= 7,0.40123,0.9953,1.06726
0.05 < CountClassCoupled <= 2.4,0.23762,0.99405,1.06591
MINOR_LINE <= 1.03,0.27534,0.99315,1.06495
RatioCommentToCode > 3.06,0.19943,0.99291,1.06469
2.4 < CountClassCoupled <= 4.85,0.18906,0.99252,1.06427
AvgLineComment > 2.085,0.18529,0.98982,1.06138
1.215 < CountInput_Min <= 2.065,0.18812,0.98747,1.05886
