Antecedent,Antecedent Coverage %,Confidence,Lift
CountDeclMethodPrivate <= -0.68,0.0791,0.99422,1.1122
CountInput_Mean <= 1.06,0.20027,0.98858,1.1059
CountLineComment <= 16.6,0.19845,0.98848,1.10578
RatioCommentToCode > 2.34,0.19662,0.98837,1.10566
CountDeclClassVariable <= -0.66,0.07499,0.9878,1.10503
Added_lines <= -47.5,0.07499,0.9878,1.10503
CountClassCoupled <= 0.85,0.2085,0.98684,1.10395
CountDeclClassMethod <= -0.53,0.09282,0.98522,1.10214
-47.5 < Added_lines <= 14.5,0.40924,0.98436,1.10117
MAJOR_LINE <= -0.02,0.11385,0.98394,1.1007
