test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed
41,0,6.0,1.0,1.0,90.0,3.0,4.0,2.0,7.0,21.0,62.0,139.0,0.76,0.0,97.0,1.0,31.0,59.0,9.0,4.73053892215569,0.0,0.0,0.0,0.533424283765348,0.5,1.0,0.8402674134898708,0.15973258651012934,2
43,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,31.0,77.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,41.0,1.0,0.0,0.568445475638051,0.5,2.0,0.840267791431601,0.15973220856839873,1
48,0,6.0,29.0,1.0,1.0,0.0,4.0,3.0,6.0,8.0,22.0,38.0,0.39,0.0,89.0,1.0,3.0,27.0,4.0,4.87272727272727,0.0,0.0,0.0,0.496396396396396,0.666666666666667,3.0,0.7656854325569745,0.2343145674430255,2
58,0,0.0,4.0,1.0,92.0,0.0,8.0,2.0,5.0,22.0,21.0,78.0,1.43,0.0,94.0,1.0,1.0,50.0,6.0,34.9,0.0,0.0,0.0,0.66008316008316,0.625,1.0,0.8402674194137749,0.15973258058622525,2
153,0,0.0,0.0,1.0,1.0,15.0,2.0,2.0,1.0,7.0,12.0,20.0,0.24,0.0,83.0,1.0,24.0,27.0,2.0,4.40740740740741,0.0,0.0,0.0,0.383474576271186,0.75,1.0,0.799576799302462,0.20042320069753805,2
212,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30.0,65.0,0.41,0.0,96.0,2.0,0.0,25.0,1.0,2.4,1.0,17.0,0.0,0.61100569259962,1.0,1.0,0.6968424468382334,0.3031575531617667,1
228,0,0.0,16.0,2.0,1.0,0.0,3.0,3.0,4.0,9.0,13.0,30.0,0.26,0.0,89.0,2.0,2.0,25.0,2.0,3.775,0.0,0.0,1.0,0.584239130434783,0.857142857142857,1.0,0.5258930971613072,0.4741069028386927,2
236,0,0.0,26.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,63.0,0.06,0.0,92.0,2.0,1.0,42.0,1.0,4.08571428571429,0.0,0.0,0.0,0.351648351648352,0.5,1.0,0.6844327083655152,0.3155672916344845,1
243,0,1.0,15.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,10.0,36.0,0.16,1.0,87.0,2.0,18.0,43.0,2.0,3.24390243902439,0.0,0.0,0.0,0.419354838709677,0.5,2.0,0.6858753562587528,0.31412464374124727,2
259,0,5.0,0.0,1.0,3.0,0.0,1.0,2.0,4.0,13.0,38.0,76.0,0.15,0.0,95.0,1.0,32.0,71.0,4.0,3.12765957446809,2.0,1.0,0.0,0.69479090242113,0.5,1.0,0.8330710258971941,0.1669289741028057,2
262,0,1.0,0.0,1.0,1.0,17.0,0.0,2.0,16.0,3.0,16.0,39.0,0.21,0.0,92.0,1.0,2.0,18.0,3.0,4.83720930232558,1.0,1.0,0.0,0.463840399002494,0.5,1.0,0.8291494911628073,0.1708505088371926,2
523,0,18.0,0.0,1.0,2.0,29.0,1.0,3.0,10.0,29.0,37.0,39.0,0.14,0.0,93.0,1.0,2.0,42.0,2.0,4.25714285714286,0.0,0.0,0.0,0.417142857142857,0.666666666666667,1.0,0.8402673893935213,0.15973261060647867,2
739,0,1.0,0.0,1.0,1.0,7.0,0.0,3.0,3.0,5.0,11.0,37.0,0.13,0.0,85.0,2.0,0.0,24.0,2.0,2.83720930232558,1.0,34.0,0.0,0.460820895522388,1.0,1.0,0.8464046533901611,0.15359534660983876,2
746,0,5.0,1.0,1.0,5.0,0.0,1.0,2.0,4.0,10.0,44.0,78.0,0.15,0.0,96.0,1.0,0.0,41.0,4.0,2.95744680851064,41.0,1.0,0.0,0.659197012138189,0.666666666666667,2.0,0.8402673433042437,0.15973265669575634,1
776,0,0.0,0.0,1.0,0.0,32.0,0.0,1.0,5.0,0.0,40.0,84.0,0.21,0.0,97.0,1.0,0.0,0.0,1.0,2.51190476190476,1.0,1.0,0.0,0.816037735849057,1.0,0.0,0.8403636288819286,0.15963637111807163,2
779,0,4.0,1.0,1.0,1.0,19.0,1.0,2.0,6.0,3.0,18.0,42.0,0.19,0.0,91.0,1.0,30.0,31.0,5.0,3.4,0.0,0.0,0.0,0.589158345221113,1.0,2.0,0.8381610539209646,0.16183894607903546,2
789,0,3.0,0.0,1.0,3.0,39.0,0.0,2.0,1.0,7.0,12.0,25.0,0.12,0.0,92.0,1.0,0.0,25.0,2.0,2.6,0.0,0.0,0.0,0.706744868035191,1.0,0.0,0.8506116946136778,0.14938830538632228,2
855,0,2.0,3.0,1.0,56.0,0.0,0.0,3.0,4.0,1.0,33.0,50.0,0.1,0.0,93.0,1.0,0.0,16.0,2.0,2.76785714285714,0.0,1.0,0.0,0.463030303030303,0.8,2.0,0.8402564750153809,0.1597435249846189,1
857,0,2.0,22.0,2.0,1.0,0.0,0.0,3.0,4.0,2.0,26.0,35.0,0.1,1.0,90.0,2.0,0.0,18.0,2.0,2.875,0.0,6.0,0.0,0.584040747028862,1.0,4.0,0.6513814555802173,0.3486185444197826,2
893,0,8.0,10.0,1.0,1.0,0.0,1.0,3.0,4.0,16.0,19.0,12.0,0.12,2.0,91.0,1.0,0.0,49.0,2.0,6.85714285714286,3.0,1.0,0.0,0.86970684039088,1.0,2.0,0.6273282842151737,0.37267171578482616,2
911,0,1.0,0.0,1.0,2.0,33.0,1.0,2.0,3.0,9.0,25.0,39.0,0.39,0.0,93.0,4.0,3.0,6.0,4.0,2.4375,1.0,1.0,0.0,0.492779783393502,1.0,2.0,0.8401523299937707,0.15984767000622926,2
913,0,1.0,0.0,1.0,1.0,21.0,1.0,2.0,9.0,5.0,20.0,36.0,0.36,0.0,93.0,4.0,3.0,14.0,2.0,2.07142857142857,0.0,0.0,0.0,0.470212765957447,0.5,3.0,0.7127914092212226,0.2872085907787773,2
