Antecedent,Antecedent Coverage %,Confidence,Lift
0.4928 < OWN_COMMIT <= 0.5118,0.33269,1.0,1.04359
25.6 < CountLineComment <= 35.8,0.2194,1.0,1.04359
2.58 < CountClassCoupled <= 4.26,0.20403,1.0,1.04359
1.25 < Del_lines <= 5.2,0.18483,1.0,1.04359
-0.18 < CountDeclMethodProtected <= 0.24,0.3663,0.99869,1.04222
35.8 < CountLineComment <= 53.4,0.20211,0.99762,1.04111
0.58 < CountInput_Mean <= 1.4,0.20019,0.9976,1.04108
CountInput_Mean <= 0.58,0.19827,0.99758,1.04106
RatioCommentToCode > 2.675,0.19731,0.99757,1.04105
0.94 < CountClassCoupled <= 2.58,0.20691,0.99536,1.03874
