Antecedent,Antecedent Coverage %,Confidence,Lift
MAJOR_LINE <= 0.1 & -12.6 < Added_lines <= 9.4,0.13676,1.0,1.83453
MAJOR_LINE <= 0.1 & -0.09 < AvgLineBlank <= 0.48,0.08431,0.98256,1.80253
MAJOR_LINE <= 0.1 & -0.23 < CountDeclMethodPrivate <= 0.36,0.1,0.98039,1.79856
CountClassCoupled <= 2.8 & -12.6 < Added_lines <= 9.4,0.0902,0.97826,1.79465
27.5 < CountLineComment <= 68 & 0.916 < CountOutput_Min <= 1.056 & -0.34 < CountDeclMethodProtected <= 0.23,0.07647,0.96795,1.77573
0.95 < AvgLineComment <= 3.25 & -0.072 < CountClassDerived <= 0.094 & -0.335 < CountDeclClassMethod <= 0.1,0.05735,0.96581,1.77181
MAJOR_LINE <= 0.1 & -0.335 < CountDeclClassMethod <= 0.1,0.12059,0.95935,1.75996
MAJOR_LINE <= 0.1 & 0.916 < CountOutput_Min <= 1.056,0.09608,0.95918,1.75965
0.9215 < OWN_LINE <= 0.957 & 1.55 < CountDeclMethodPublic <= 5.6,0.0902,0.95109,1.7448
27.5 < CountLineComment <= 68 & -12.6 < Added_lines <= 9.4,0.18431,0.94947,1.74183
