Antecedent,Antecedent Coverage %,Confidence,Lift
CountClassCoupled <= 1.4 & 0.95 < Added_lines <= 6.25,0.13137,0.99627,1.41927
2.5 < CountInput_Mean <= 4.14 & 0.95 < Added_lines <= 6.25,0.15098,0.99351,1.41533
-0.18 < CountDeclMethodPrivate <= 0.32 & 0.95 < Added_lines <= 6.25,0.25686,0.98664,1.40555
-0.315 < CountDeclMethodDefault <= 0.045 & 0.95 < Added_lines <= 6.25,0.31667,0.97059,1.38268
-0.24 < CountDeclInstanceVariable <= 1.16 & -0.18 < CountDeclMethodPrivate <= 0.32,0.12255,0.968,1.37899
0.85 < MAJOR_LINE <= 1.046 & -0.21 < CountDeclClassMethod <= 0.28 & -3.75 < CountDeclMethodProtected <= 0.35,0.11275,0.96522,1.37503
MaxNesting_Mean <= 0.245 & -0.21 < CountDeclClassMethod <= 0.28,0.09118,0.95161,1.35565
CountOutput_Min <= 0.495 & -0.24 < CountDeclInstanceVariable <= 1.16,0.07843,0.94375,1.34445
0.95 < Added_lines <= 6.25,0.60098,0.93067,1.32581
CountInput_Min <= 0.13 & -0.21 < CountDeclClassMethod <= 0.28,0.0902,0.92391,1.31619
