test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
210,0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,3.0,0.67,0.0,10.0,60.0,2.0,0.0,11.5,2.0,3.4,1.0,2.9,1.0,1.0,0.416666666666667,0.0,1.0,1.0,0.0,3.0,3.0,0.67,0.33,1,0.08431134493456005
256,0,8.0,0.0,1.0,0.0,0.0,0.0,171.0,14.0,14.0,15.0,0.08,1.0,16.490310668945312,93.0,1.0,2.0,5.991163969039917,2.0,5.80645161290323,0.0,5.62672811059908,0.0,1.0,0.280172413793103,0.0,145.0,0.821428571428571,0.0,1.0,1.0,0.5,0.5,2,35.1969968436006
270,0,6.0,0.0,1.0,18.0,7.0,0.0,70.0,3.0,0.0,31.0,0.13,1.0,52.0,75.9990348815918,1.0,0.0,3.498779296875,3.0,5.72881355932203,1.0,4.15254237288136,1.0,1.0,0.333333333333333,0.0,0.999755859375,1.0,0.0,1.0,2.0,0.5,0.5,3,44000244140625.0
1016,0,6.0,0.0,1.0,1.0,0.0,8.0,1029.0,1.0,0.0,5.0,2.03,0.0,43.49255931377411,85.0,1.0,0.0,39.0,2.0,9.93457943925234,0.0,2.98130841121495,1.0,1.0,0.226890756302521,0.0,203.0,0.925925925925926,0.0,1.0,1.0,0.5,0.5,1,10.708795475215025
468,0,1.0,0.0,1.0,4.0,37.0,0.0,57.0,8.0,1.0,7.0,0.12,0.0,11.0,52.494140625,2.0,0.0,17.0,2.0,3.33333333333333,1.0,6.10416666666667,1.0,1.0,0.842105263157895,0.0,0.9833984375,0.666666666666667,0.0,4.0,2.0,0.5,0.5,2,75016601562500.0
474,0,1.0,1.0,1.0,1.0,5.0,0.0,33.0,2.0,0.0,0.0,0.26,0.0,4.0,87.0,6.0,1.0,12.5,2.0,4.11111111111111,2.0,7.0,2.0,1.0,0.75,0.0,1.0,1.0,0.0,4.0,3.0,0.51,0.49,1,0.5901794145419212
477,0,1.5,19.0,1.0,8.0,9.0,0.0,40.0,7.0,3.0,10.0,0.09,0.0,53.0,100.0,5.0,2.0,8.999268591403961,4.0,2.69354838709677,0.0,3.37096774193548,0.0,1.0,0.414285714285714,0.0,19.0,0.454545454545455,0.0,4.0,4.0,0.5,0.5,2,1500000000000.0
496,0,26.0,0.0,1.0,22.0,1.0,2.0,216.0,2.0,7.0,10.0,0.6100292646884917,2.0,54.0,95.0,2.0,1.0,12.498046875,2.0,7.76363636363636,2.0,1.9339133522727274,1.0,1.0,1.22413793103448,0.0,1068.0,1.0,0.0,1.0,3.0,0.5,0.5,3,5.841256166416417
522,0,21.0,0.0,1.0,9.0,28.0,0.0,31.0,11.0,0.0,0.0,0.09,0.0,10.0,95.0,1.0,4.0,18.0,2.0,4.44736842105263,1.0,3.52631578947368,1.0,1.0,0.901960784313726,0.0,252.49985575675964,1.0,0.0,1.0,0.0,0.5,0.5,1,2500144243240.3438
539,0,9.0,0.0,1.0,1.0,11.0,0.0,18.0,3.0,1.0,2.0,0.05,1.0,26.0,86.0,3.0,3.0,23.0,2.0,4.45945945945946,0.0,2.8756070523648662,1.0,1.0,0.829268292682927,0.0,47.0,1.0,0.0,2.0,0.0,0.5,0.5,1,1.5202153310503466
