,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1600,1,0,1,2,1,1,2,2,0,13,14,0.32,0,80,1,0,4,5,4.0,1,1,0,1,1.0,0,2,1
757,1,0,1,1,0,0,1,1,0,6,13,0.16,0,74,1,0,2,1,7.42857142857143,2,1,0,0,0.0,0,2,2
729,0,1,1,0,0,2,1,1,0,4,17,0.34,0,65,1,0,12,2,3.55555555555556,0,0,0,0,0.0,0,2,0
816,0,0,1,1,0,2,1,1,0,8,22,0.35,1,78,1,1,14,2,6.46666666666667,2,1,0,0,0.0,0,2,2
1601,0,0,1,1,0,3,1,1,0,6,7,0.27,0,63,1,0,11,2,4.61538461538461,2,1,0,4,0.5,0,4,1
771,0,2,1,6,0,0,2,1,4,10,24,0.22,0,91,2,0,23,2,2.45161290322581,0,0,0,8,1.0,0,2,0
427,2,10,1,5,2,1,2,1,0,22,24,0.18,0,91,1,0,0,3,4.13953488372093,0,1,0,11,1.0,0,2,0
1429,1,0,1,0,0,2,1,1,5,5,8,0.29,2,68,3,3,3,1,3.35,0,1,0,3.5,0.0,0,2,0
393,0,6,1,15,0,0,2,3,3,19,16.0,0.09,0,94,1,1,12,2,4.49122807017544,0,1,0,2,0.5,0,2,0
1103,0,0,1,2,0,0,2,3,25,12,14,0.27,0,85,4,6,13,2,6.82051282051282,0,1,0,1,1.0,0,2,1
695,0,0,1,0,0,0,1,1,0,1,16,0.35,0,62,2,0,12,2,2.1875,0,0,0,0,0.641711229946524,0,3,1
1506,0,0,1,0,0,0,1,4,0,2,6,0.22,1,100,2,0,2,2,1.16666666666667,0,2,0,0,0.0,0,1,0
1134,2,0,1,3,0,4,2,1,5,13,16,0.42,2,82,3,2,0,2,3.69230769230769,0,1,0,0,0.0,0,2,2
1721,0,1,1,1,0,5,4,2,3,6,3,0.39,2,81,3,0,4,2,3.78571428571429,0,1,0,0,0.0,0,2,4
287,1,0,1,2,0,3,2,1,0,1,9,0.7,0,76,4,0,7,2,3.1,0,1,0,0,0.788888888888889,0,1,1
1366,0,0,1,0,0,0,2,1,0,0,1,0.9,3.5,0,4,0,1,1,0.0,0,7,0,0,0.0,0,1,0
832,2,3,1,1,0,0,3,1,1,32,50,3.135,0,93,1,0,16,2,2.71428571428571,0,1,0,3.5,0.76,0,3,2
1762,1,1,1,1,0,0,1,3,3,7,5,0.25,0,73,2,2,6.0,2,3.18181818181818,0,1,0,4,0.75,0,1,1
1583,0,0,1,1,1,1,2,4,0,9,28,0.36,0,86,1,0,5,3,2.44117647058824,0,1,0,0,0.7361111111111109,0,2,1
884,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1,0,1,20.0,1,0,1,1,1,7,21,0.11,0,85,1,2,13,2,2.95652173913043,0,0,0,3,0.8,0,3,1
46,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,1,0,1,0,0,4,1,1,0,2,40,1.25,0,91,1,0,2,1,1.85365853658537,0,0,0,3.5,0.0,0,2,1
1735,0,0,1,7,5,0,2,1,3,6,10.5,0.12,0,90,1,0,3,3,3.41379310344828,0,0,0,0,0.0,0,3,3
1009,0,0,1,0,2,6,3,1,0,0,11,0.25,6,0,6,3,0.5,1,0.545454545454545,0,2,0,1,1.0,0,2,1
40,0,0,2,0,0,4,2,1,1,4,5,2.86,0,41,1,0,7,3,3.83333333333333,1,1,0,0,0.0,0,3,0
1582,0,0,1,5,3,1,1,3,2,12,9,0.24,0,88,1,0,1,2,3.25,0,0,0,0,0.0,0,2,2
1105,0,0,1,1,0,15,3,1,0,0,1,0.71,0,0,5,0,2,1,2.0,2,6.5,0,1,1.0,0,3,0
913,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,1,0,1,2,1,0,2,1,4,13,48,0.15,0,94,2,0,21,3,2.9622641509434,0,0,0,2,1.0,0,2,2
1594,2,0,1,0,0,4,1,1,0,3,20,3.1,0,80,1,0,6,1,2.13636363636364,0,1,0,3.5,0.0,0,2,1
725,0,4,1,1,0,1,2,5,2,16,26,0.11,0,83,1,1,17.0,2,4.59375,0,0,0,8,0.875,0,2,0
218,0,1,2,1,0,2,3,4,8,12,30,0.24,0,89,2,2,0.5,2,3.53846153846154,0,0,0,3.5,0.764705882352941,0,3,1
154,0,0,2,2,0,1,3,1,6,11,21,0.11,0,87,2,0,0.5,2,3.22222222222222,0,1,0,2,0.666666666666667,0,2,0
737,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,1,0,1,2,0,1,1,1,0,6,17,0.41,0,87,4,0,3,2,2.83333333333333,0,1,0,0,0.7361111111111109,0,2,0
1496,1,0,2,15,0,0,1,1,1,19,5,0.07,2,85,1,0,2,2,6.83333333333333,0,2,0,0,0.0,0,1,1
991,0,0,1,0,0,1,1,1,6,4,0,0.46,0,70,5,0,3,1,1.83333333333333,1,2,0,0,0.7361111111111109,0,2,0
914,0,0,1,4,2,1,1,1,0,1,7,0.18,0,57,2,1,16,1,4.44444444444444,1,1,0,2,0.7361111111111109,0,3,1
104,0,0,1,1,0,5,1,1,4,2,21,2.86,0,89,3,0,2.5,1,3.24,0,1,0,0,0.0,0,2,1
1169,2,0,1,1,0,2,1,2,5,3,4,0.11,2,77,2,0,2,2,2.45454545454545,0,1,0,3.5,0.7361111111111109,0,1,0
773,1,0,1,1,0,0,1,1,4,4,17,0.1,0,77,2,0,18,2,4.54545454545455,0,0,0,9,1.0,0,2,0
246,0,0,1,3,0,1,2,4,13,38,14.0,0.15,0,95,1,1,1.0,4,3.09574468085106,0,1,0,3.5,0.529411764705882,0,3,1
502,0,0,1,1,0,0,1,1,5,3,1,0.41,0,62,2,1,3,1,4.16666666666667,1,1,0,0,0.0,0,3,2
225,0,0,1,2,0,0,2,1,7,19,66,3.135,0,92,1,1,43,2,3.84931506849315,0,0,0,6,0.8,0,3,1
379,2,0,2,0,0,0,1,1,0,1,2,0.32,1,25,1,0,2,2,2.0,1,2,0,0,0.0,0,3,0
505,1.5,0,2,1,0,0,1,2,3,2,11,0.16,0,66,3,0,12,2,3.28571428571429,1,1,0,3,0.666666666666667,0,3,0
39,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,0,3,1,3,0,0,2,4,5,6,4.0,0.19,0,90,2,2,3,3,1.36734693877551,0,0,0,5.5,0.641711229946524,0,2,2
65,0,0,1,2,0,0,2,1,7,1,2.5,0.13,0,86,2,0,16.0,1,5.52173913043478,1,1,0,9,0.888888888888889,0,3,1
886,0,0,1,1,0,1,2,2,5,14,14.5,0.39,0,90,4,3,0.5,2,2.37037037037037,0,0,0,2,0.5,0,3,1
41,1,0,1,1,1,2,1,2,0,30,75,0.54,0,97,2,3,18,6,7.01204819277108,0,1,0,3,1.0,0,3,2
727,0,0,1,0,0,1,1,1,0,9,19,0.62,0,88,1,0,2,2,1.63157894736842,0,1,0,0,0.0,0,2,0
1598,1,0,1,3,1,0,1,4,3,4,18,0.18,0,79,2,2,3,2,2.31818181818182,0,0,0,0,0.9375,0,3,0
726,0,1,1,5,0,1,2,4,5,37,67,0.15,0,95,1,0,39,4,2.90361445783133,0,1,0,2,0.846153846153846,0,2,1
1093,0,0,1,1,2,1,1,8,0,6,37,0.21,2,85,5,0,6,2,3.94594594594595,0,2,0,0,0.845238095238095,0,2,2
147,0,0,1,1,0,2,2,1,7,8,20,0.25,0,83,1,3,27,2,4.37037037037037,0,0,0,6,0.9,0,3,1
56,0,4,1,1,0,9,2,5,20,21,77,1.44,0,94,1,1,50,1,4.16831683168317,0,0,0,4,1.0,0,2,2
983,0,0,1,0,0,1,2,1,0,0,4,0.56,1,0,2,0,3,1,0.0,0,7,0,0,0.9375,0,2,0
92,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,
