test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
39,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,6.0,21.0,59.0,8.4765625,0.77,0.0,97.0,1.0,2.0,59.0,1.5,4.74534161490683,0.0,0.0,0.0,11.0,0.9375443892045455,0.0,3.0,1.0,0.5565760144538731,0.44342398554612694,3,7515536439328.986
40,0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,5.0,0.89,0.0,41.0,1.0,0.0,5.4998780488967896,3.0,3.83333333333333,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5283503390280826,0.47164966097191735,1,0.5059091970533873
41,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,30.0,75.0,0.54,0.0,97.0,2.0,3.0,18.0,2.499878168106079,7.01204819277108,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,0.6155322939268126,0.3844677060731873,1,3500121831893.921
46,0,5.0,2.0,1.0,1.0,0.0,4.0,3.0,5.0,10.0,21.0,35.0,0.41,0.0,89.0,1.0,3.0,27.0,1.49951171875,4.82692307692308,0.0,1.0,0.0,5.0,0.8452526092529298,0.0,3.0,2.0,0.5227867742335774,0.47721322576642256,2,2512486912804.512
56,0,0.0,4.0,1.0,1.0,0.0,9.0,2.0,5.0,20.0,21.0,77.0,1.44,0.0,94.0,1.0,1.0,50.0,1.499267578125,4.16831683168317,0.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,0.7478867266769855,0.2521132733230144,1,4500732421875.0
65,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,16.0,0.13,0.0,86.0,2.0,0.0,27.0,1.0,5.52173913043478,1.0,1.0,0.0,4.5,0.888888888888889,0.0,3.0,1.0,0.5132060005983357,0.4867939994016644,1,3.035208417642631
92,0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,5.0,33.0,64.0,143.0,0.29,0.0,98.0,1.0,2.0,0.4921875,2.0,6.19774011299435,0.0,0.0,0.0,2.4970703125,0.818181818181818,0.0,3.0,2.0,0.5045121149843635,0.49548788501563645,2,24.848105214100112
104,0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,4.0,2.0,21.0,0.84,0.0,89.0,3.0,0.0,25.0,1.0,3.24,0.0,1.0,0.0,0.0,0.707275390625,0.0,2.0,1.0,0.5793610718869435,0.42063892811305653,1,707275390625.0
147,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.25,0.0,83.0,1.0,3.0,27.0,2.0,4.37037037037037,0.0,0.0,0.0,5.499634146690369,0.9,0.0,3.0,1.0,0.5732097564172183,0.42679024358278167,1,3.0354551823193012
148,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,21.0,0.11,0.0,85.0,1.0,2.0,13.0,2.0,2.95652173913043,0.0,0.0,0.0,5.0,0.8452415704727174,0.0,3.0,1.0,0.5562971129179168,0.44370288708208316,1,45241570472.71738
1762,0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,7.0,5.0,0.25,0.0,73.0,2.0,2.0,11.0,2.0,3.18181818181818,0.0,1.0,0.0,4.0,0.7888928949832916,0.0,1.0,1.0,0.5487735700123091,0.4512264299876909,1,38892894983.291626
154,0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,6.0,11.0,21.0,0.22,0.0,87.0,2.0,0.0,13.0,2.0,3.22222222222222,0.0,1.0,0.0,6.0,0.8660808602968852,0.0,2.0,0.0,0.5215986420983612,0.47840135790163885,1,199414193630.21832
218,0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,8.0,12.0,30.0,0.24,0.0,89.0,2.0,2.0,25.0,2.0,3.53846153846154,0.0,0.0,0.0,17.0,0.9375152447644401,0.0,3.0,1.0,0.5079241490311376,0.4920758509688624,1,172809362411.49915
219,0,7.0,4.0,1.0,2.0,0.0,1.0,2.0,12.0,7.0,22.0,8.49609375,0.17,0.0,94.0,2.0,1.0,50.0,2.0,3.94736842105263,0.0,0.0,0.0,39.0,0.9375152404491718,0.0,3.0,1.0,0.5089935385275686,0.49100646147243143,2,245207548141.47983
225,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,66.0,0.06,0.0,92.0,1.0,1.0,43.0,2.0,3.84931506849315,0.0,0.0,0.0,10.0,0.9375152468681335,0.0,3.0,1.0,0.516802013424736,0.48319798657526397,1,137515246868.13345
230,0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,11.0,37.0,0.6650509840250018,1.0,88.0,2.0,1.0,45.0,2.0,3.02380952380952,0.0,0.0,0.0,18.0,0.9375152455435858,0.0,3.0,2.0,0.5501731093760335,0.4498268906239665,2,159737467765.80777
246,0,0.499267578125,0.0,1.0,3.0,0.0,1.0,2.0,4.0,13.0,38.0,24.4921875,0.15,0.0,95.0,1.0,1.0,70.0,4.0,3.09574468085106,0.0,1.0,0.0,17.0,0.9375152307398178,0.0,3.0,1.0,0.5066708247219764,0.4933291752780236,3,4519196916743.694
282,0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,6.0,17.0,0.41,0.0,87.0,4.0,0.0,3.0,2.0,2.83333333333333,0.0,1.0,0.0,0.0,0.707275390625,0.0,2.0,0.0,0.6504676691002934,0.3495323308997066,1,707275390625.0
287,0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,9.0,0.7,0.0,76.0,4.0,0.0,7.0,2.0,3.1,0.0,1.0,0.0,0.0,0.7890625,0.0,2.0,1.0,0.5434178552146137,0.4565821447853863,1,789062500000.0
359,0,2.0,0.0,2.0,1.0,18.0,1.0,2.0,7.0,7.0,1.0,24.499269008636475,0.19,0.0,100.0,2.0,5.0,6.0,2.0,2.42105263157895,0.0,0.0,0.0,0.0,0.9375151991844177,0.0,2.0,2.0,0.5114425981288002,0.4885574018711997,2,937515199184.4177
379,0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.32,1.0,25.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.7890625,0.0,3.0,0.0,0.5086317266008691,0.491368273399131,1,789062500000.0
389,0,0.0,3.0,1.0,3.0,0.0,0.0,2.0,4.0,5.0,6.0,41.0,0.19,0.0,90.0,2.0,2.0,3.0,3.0,1.36734693877551,0.0,0.0,0.0,0.0,0.7890625,0.0,2.0,2.0,0.5251447408564371,0.4748552591435628,1,789062500000.0
393,0,4.0,6.0,1.0,15.0,0.0,0.0,2.0,3.0,3.0,19.0,44.0,0.09,0.0,94.0,1.0,1.0,12.0,2.0,4.49122807017544,0.0,1.0,0.0,6.0,0.8660888671875,0.0,2.0,0.0,0.5204565508773231,0.4795434491226768,1,366088867187.5
427,0,9.0,10.0,1.0,5.0,2.0,1.0,2.0,1.0,0.0,22.0,24.0,0.18,0.0,91.0,1.0,0.0,2.5,3.0,4.13953488372093,0.0,1.0,0.0,4.5,1.0,0.0,2.0,0.0,0.5024455681612376,0.4975544318387624,2,5.06149029400876
502,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,3.0,1.0,0.41,0.0,62.0,2.0,1.0,8.0,1.0,4.16666666666667,1.0,1.0,0.0,0.0,0.707275390625,0.0,3.0,2.0,0.5426464210548375,0.4573535789451625,1,707275390625.0
503,0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,10.0,28.0,36.0,16.5,0.14,0.0,93.0,1.0,2.0,40.0,2.0,4.15942028985507,0.0,0.0,0.0,11.0,1.0,0.0,3.0,0.0,0.5220255895516845,0.4779744104483154,1,5.058680696073326
505,0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,11.0,0.16,0.0,66.0,3.0,0.0,12.0,2.0,3.28571428571429,1.0,1.0,0.0,3.0,0.7071445385615034,0.0,3.0,0.0,0.5138035562061201,0.4861964437938799,1,40477871894.836426
695,0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,16.0,0.35,0.0,62.0,2.0,0.0,12.0,2.0,2.1875,0.0,0.0,0.0,0.0,0.707275390625,0.0,3.0,1.0,0.5068384084857651,0.49316159151423483,1,707275390625.0
725,0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,16.0,26.0,0.16,0.0,83.0,1.0,1.0,21.0,2.0,4.59375,0.0,0.0,0.0,6.4998780488967896,0.875,0.0,2.0,0.0,0.5508134832795744,0.4491865167204257,1,1.0118183941064336
726,0,5.0,1.0,1.0,5.0,0.0,1.0,2.0,4.0,10.0,37.0,1.49951171875,0.15,0.0,95.0,1.0,0.0,1.49169921875,4.0,2.90361445783133,0.0,1.0,0.0,13.0,0.846153846153846,0.0,2.0,1.0,0.5287085149130266,0.4712914850869734,2,19.413382676455402
727,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,19.0,0.62,0.0,88.0,1.0,0.0,6.0,2.0,1.63157894736842,0.0,1.0,0.0,0.0,0.707275390625,0.0,2.0,0.0,0.6085757976258781,0.3914242023741219,1,707275390625.0
729,0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,17.0,0.34,0.0,65.0,1.0,0.0,12.0,2.0,3.55555555555556,0.0,0.0,0.0,0.0,0.62841796875,0.0,2.0,0.0,0.547840945486295,0.45215905451370497,1,628417968750.0
737,0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,2.0,30.0,0.14500564098358154,0.0,62.0,1.0,7.0,8.0,2.0,5.38235294117647,1.0,1.0,0.0,0.0,0.9375151991844177,0.0,3.0,1.0,0.543674240344242,0.456325759655758,2,937515199184.4177
754,0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,4.0,4.0,13.0,48.0,0.15,0.0,94.0,2.0,0.0,21.0,1.5,2.9622641509434,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.6281082028809211,0.371891797119079,1,1500000000000.0
757,0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,6.0,13.0,0.1850048637390137,0.0,74.0,1.0,0.0,2.0,1.0,7.42857142857143,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5165337607199271,0.48346623928007293,1,0.037478998964246224
771,0,1.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,4.0,10.0,24.0,0.22,0.0,91.0,2.0,0.0,23.0,2.0,2.45161290322581,0.0,0.0,0.0,6.5,1.0,0.0,2.0,0.0,0.6089783176527946,0.39102168234720536,1,1.0117361392142104
773,0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,4.0,4.0,17.0,0.1,0.0,77.0,2.0,0.0,18.0,2.0,4.54545454545455,0.0,0.0,0.0,6.5,1.0,0.0,2.0,0.0,0.5569503977449571,0.44304960225504286,1,1.6862268986903506
816,0,8.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,8.0,22.0,0.35,1.0,78.0,1.0,1.0,14.0,2.0,6.46666666666667,2.0,1.0,0.0,0.0,0.7640625,0.0,2.0,2.0,0.5629202588759745,0.43707974112402553,1,764062500000.0
832,0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,32.0,50.0,0.1,0.0,93.0,1.0,0.0,16.0,2.0,2.71428571428571,0.0,1.0,0.0,4.498779296875,0.9375390624999999,0.0,3.0,2.0,0.503134335645187,0.49686566435481305,2,177539062499.99985
884,0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,9.0,23.0,37.0,0.4,0.0,93.0,4.0,3.0,6.0,4.0,2.39130434782609,1.0,1.0,0.0,3.0,0.8166951338450116,0.0,3.0,1.0,0.5105558352359806,0.4894441647640194,1,150028467178.34464
886,0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,5.0,14.0,22.0,0.39,0.0,90.0,4.0,3.0,13.0,2.0,2.37037037037037,0.0,0.0,0.0,2.0,0.8166951239109039,0.0,3.0,1.0,0.5968106781577815,0.4031893218422184,1,316695123910.90393
913,0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,15.0,26.0,0.18,0.0,89.0,1.0,1.0,8.0,3.0,2.46428571428571,0.0,0.0,0.0,5.0,0.7639248132705688,0.0,3.0,0.0,0.6684649399699318,0.3315350600300681,1,163924813270.56882
914,0,2.0,0.0,1.0,4.0,2.0,1.0,4.0,1.0,0.0,1.0,7.0,0.18,0.0,57.0,2.0,1.0,16.0,1.0,4.44444444444444,1.0,1.0,0.0,2.0,0.763916015625,0.0,3.0,1.0,0.5652128660404854,0.4347871339595147,1,263916015625.0
983,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.56,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,6.499878823757172,0.0,0.0,0.0,0.0,2.0,0.0,0.5381488366424635,0.4618511633575365,1,500121176242.8281
991,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,4.0,0.0,0.46,0.0,70.0,5.0,0.0,3.0,1.0,1.83333333333333,1.0,2.0,0.0,0.0,0.707275390625,0.0,2.0,0.0,0.5019636033738322,0.49803639662616783,1,707275390625.0
1009,0,0.0,0.0,1.0,0.0,2.0,6.0,3.0,1.0,0.0,0.0,11.0,0.28500244140625,6.0,0.0,6.0,3.0,12.0,1.0,0.545454545454545,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.5,0.5832284155426559,0.416771584457344,2,1500000000000.0
1011,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.49,0.0,0.0,3.0,0.0,4.0,1.0,1.75,1.0,4.0,0.0,0.0,0.8452525734901428,0.0,2.0,0.0,0.5840051873274857,0.41599481267251426,1,845252573490.1428
1093,0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,8.0,0.0,6.0,37.0,0.21,2.0,85.0,5.0,0.0,6.0,2.0,3.94594594594595,0.0,2.0,0.0,0.0,0.8166950941085815,0.0,2.0,2.0,0.5035169051462676,0.4964830948537324,1,816695094108.5815
1103,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,25.0,12.0,14.0,0.1,0.0,85.0,4.0,6.0,11.499878823757172,2.0,6.82051282051282,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.5390010521839572,0.4609989478160427,1,0.5059089357353037
1105,0,0.0,0.0,1.0,1.0,0.0,5.499146282672882,3.0,1.0,0.0,0.0,1.0,0.71,10.0,0.0,5.0,0.0,2.0,1.0,2.0,2.0,18.0,1.0,1.0,1.0,0.0,3.0,0.0,0.6687453889872828,0.3312546110127173,1,9500853717327.117
1134,0,2.0,0.0,1.0,3.0,0.0,4.0,2.0,1.0,8.0,13.0,16.0,0.42,2.0,82.0,3.0,2.0,5.0,2.0,3.69230769230769,0.0,1.0,0.0,0.0,0.8452525734901428,0.0,2.0,2.0,0.5815939916877438,0.41840600831225616,1,845252573490.1428
1169,0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,5.0,3.0,4.0,0.24,2.0,77.0,2.0,0.0,4.0,2.0,2.45454545454545,0.0,1.0,0.0,0.0,0.7890625,0.0,1.0,0.0,0.6166093870380341,0.38339061296196586,1,789062500000.0
1318,0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,5.0,0.38,1.0,80.0,6.0,0.0,7.0,1.0,1.8,0.0,2.0,0.0,0.0,0.7890625,0.0,4.0,0.0,0.5392568312553495,0.4607431687446505,1,789062500000.0
1335,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,20.0,1.1250695037841798,2.0,0.0,2.0,0.0,6.0,1.0,1.875,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5478945241552615,0.4521054758447384,1,1.4914781896408538
1366,0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.9,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,6.499878823757172,1.0,0.0,0.7890625,0.0,1.0,0.0,0.5360689541791731,0.4639310458208269,2,934205983620.7216
1429,0,5.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,7.0,5.0,8.0,0.29,2.0,68.0,3.0,3.0,3.0,1.0,3.35,0.0,1.0,0.0,0.0,0.763916015625,0.0,2.0,0.0,0.5740614641861896,0.4259385358138103,1,763916015625.0
1496,0,1.0,0.0,2.0,15.0,0.0,0.0,4.0,1.0,6.0,19.0,5.0,0.07,2.0,85.0,1.0,0.0,2.0,2.0,6.83333333333333,0.0,2.0,0.0,0.0,0.8452525734901428,0.0,1.0,1.0,0.6307856740544218,0.3692143259455783,1,845252573490.1428
1506,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,6.0,0.22,1.0,100.0,2.0,0.0,2.0,2.0,1.16666666666667,0.0,2.0,0.0,0.0,0.5604100227355957,0.0,1.0,0.0,0.5090583948507206,0.4909416051492794,1,560410022735.5957
1582,0,5.0,0.0,1.0,5.0,3.0,1.0,2.0,3.0,2.0,12.0,9.0,0.24,0.0,88.0,1.0,0.0,8.0,2.0,3.25,0.0,0.0,0.0,0.0,0.7890625,0.0,2.0,0.5,0.5200172776413836,0.47998272235861644,2,1694880417287.972
1583,0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,9.0,28.0,0.36,0.0,86.0,1.0,0.0,5.0,2.5,2.44117647058824,0.0,1.0,0.0,0.0,0.9375151991844177,0.0,2.0,1.0,0.6450672054766333,0.35493279452336673,2,1062513411069.149
1594,0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,20.0,1.0,0.0,80.0,1.0,0.0,6.0,2.5,2.13636363636364,0.0,1.0,0.0,0.0,0.763916015625,0.0,2.0,1.0,0.5422538189279089,0.45774618107209103,2,2614109347163.652
1595,0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,1.494140625,1.25,0.0,91.0,1.0,0.0,2.0,4.0,1.85365853658537,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.510252119201247,0.4897478807987529,1,8.657282111378962
1598,0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.5000001192092896,3.0,4.0,18.0,0.18,0.0,79.0,2.0,2.0,3.0,3.0,2.31818181818182,0.0,0.0,0.0,0.0,0.8166950941085815,0.0,3.0,0.0,0.5796513770040232,0.4203486229959768,2,957596343733.4906
1600,0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,13.0,14.0,0.32,0.0,80.0,1.0,0.0,4.0,2.5,4.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.6563617199365073,0.3436382800634928,1,2500000000000.0
1601,0,6.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,6.0,7.0,0.27,0.0,63.0,1.0,0.0,11.0,2.0,4.61538461538461,2.0,1.0,0.0,4.0,0.8452526032924652,0.0,4.0,1.0,0.5649450818559067,0.4350549181440933,1,345252603292.4652
1721,0,0.0,1.0,1.0,1.0,0.0,5.0,4.0,2.0,10.0,6.0,3.0,0.39,2.0,81.0,3.0,0.0,4.0,2.0,3.78571428571429,0.0,1.0,0.0,0.0,0.763916015625,0.0,2.0,4.0,0.610938867732167,0.38906113226783307,1,763916015625.0
