test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2,dist_mahal_num
39,0,0.0,1.0,1.0,5.0,0.0,4.0,2.0,4.0,0.0,59.0,25.0,0.77,1.0,80.0,1.0,1.0,15.0,9.0,3.59259259259259,0.0,0.0,0.0,7.0,0.714285714285714,0.0,3.0,1.0,0.51,0.49,12,22182593739293.203,19.35137232774404
46,0,0.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,10.0,21.0,10.0,0.82,0.0,78.0,1.0,3.0,27.0,4.0,3.47058823529412,1.0,1.0,0.0,5.0,0.6,0.0,3.0,2.0,0.55,0.45,8,6557438524302.001,7.70412702059596
65,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,16.0,0.27,0.0,86.0,2.0,0.0,27.0,1.0,5.52173913043478,1.0,1.0,0.0,9.0,1.0,0.0,3.0,1.0,0.53,0.47,2,111111111111.11105,0.9199134478988601
92,0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,33.0,14.0,19.0,0.24,0.0,83.0,1.0,2.0,63.0,3.0,6.19774011299435,0.0,0.0,0.0,6.0,0.818181818181818,0.0,3.0,0.0,0.5,0.5,9,4690415759823.43,21.124617920384566
104,0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,4.0,2.0,3.0,0.84,0.0,89.0,3.0,0.0,25.0,1.0,3.24,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.61,0.39,2,1000000000000.0,2.787247612268866
147,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,14.0,20.0,0.25,0.0,83.0,1.0,3.0,27.0,3.0,3.125,0.0,0.0,0.0,10.0,0.9,0.0,3.0,1.0,0.5,0.5,3,1000000000000.0,1.9012481660203295
154,0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,6.0,11.0,21.0,0.22,0.0,87.0,2.0,2.0,13.0,2.0,3.22222222222222,0.0,1.0,0.0,3.0,0.666666666666667,0.0,2.0,0.0,0.55,0.45,3,2828427124746.19,2.8610274790309487
157,0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,8.0,27.0,0.25,0.0,82.0,2.0,0.0,14.0,1.0,2.35714285714286,0.0,1.0,0.0,10.0,1.0,0.0,2.0,0.0,0.62,0.38,1,99999999999.99998,0.8220025538301596
203,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,23.0,50.0,0.36,0.0,95.0,2.0,0.0,24.0,1.0,2.6,1.0,1.0,0.0,5.0,0.909090909090909,0.0,3.0,1.0,0.71,0.29,1,6.0,4.69420792432085
218,0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,0.0,11.0,25.0,0.24,1.0,80.0,1.0,1.0,15.0,2.0,3.53846153846154,0.0,0.0,0.0,17.0,0.764705882352941,0.0,3.0,1.0,0.51,0.49,10,8246211251235.321,3.772291599132037
219,0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,11.0,25.0,0.23,1.0,80.0,1.0,1.0,15.0,2.0,3.59259259259259,0.0,0.0,0.0,39.0,0.714285714285714,0.0,3.0,1.0,0.52,0.48,13,12806267334139.564,12.761337003759019
225,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,19.0,66.0,0.35,0.0,95.0,1.0,1.0,43.0,2.0,5.27906976744186,0.0,0.0,0.0,5.0,0.8,0.0,3.0,1.0,0.5,0.5,5,2000000000000.0,4.294215080749956
230,0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,11.0,25.0,0.23,1.0,80.0,1.0,1.0,15.0,2.0,3.02380952380952,0.0,0.0,0.0,7.0,0.714285714285714,0.0,3.0,2.0,0.56,0.44,11,3873503742366.3965,8.498107542007963
246,0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,38.0,23.0,0.18,0.0,88.0,1.0,1.0,8.0,4.0,2.68,0.0,1.0,0.0,17.0,0.833333333333333,0.0,3.0,0.0,0.6,0.4,11,13080228144794.61,15.276983648563139
359,0,0.0,0.0,2.0,1.0,18.0,0.0,2.0,7.0,5.0,3.0,8.0,0.19,0.0,100.0,2.0,5.0,1.0,2.0,2.38461538461538,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.56,0.44,10,3464101615137.7544,4.302399219779677
427,0,1.0,10.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,15.0,24.0,0.18,0.0,88.0,1.0,1.0,8.0,3.0,2.68,0.0,1.0,0.0,11.0,1.0,0.0,2.0,0.0,0.57,0.43,10,8660254037844.387,8.606061315198362
503,0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,10.0,28.0,36.0,39.0,0.14,0.0,93.0,1.0,2.0,40.0,2.0,4.15942028985507,0.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.57,0.43,4,2449489742783.178,7.185742281411335
