,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1349,3,0,1,8,2,2,55,31.0,0,0,0.19,4,94,1,0,13,2,4.44444444444444,1,1.641025641025645,2,1,0.916666666666667,0,0.0,0,5,1
956,4.5,0,2,5,0,2,297,3,0,13,0.27,1,89,2,0,18,0,3.93333333333333,0,5.18888888888889,0,1,1.24468085106383,0,0.342857142857143,0,3,2
578,9,1,1,9,2,0,45,2,7,3,0.11,2,94,5,1,2.5,1,4.25641025641026,1,3.87179487179487,1,1,0.666666666666667,0,0.428571428571429,0,2,1
782,14,0,1,5,7.0,0,61.0,2,1,0,0.1,0,99,4,5,5.5,2,3.46478873239437,1,4.72769953051643,1,1,0.442982456140351,0,0.614654002713704,0,4,8.0
816,9,0,1,19,2,0,103,5,2,2,0.11,1,95,3,0,4.0,2,3.33707865168539,0,5.86516853932584,1,1,0.568421052631579,0,0.66403162055336,0,3,1
905,9,0,2,7,2,1,66.0,2,4.5,23,0.25,1,100,2,6,5.5,2,4.41176470588235,0,5.48235294117647,0,0,1.08910891089109,0,0.41839762611276,0,4,8.0
575,1,0,1,4,7.0,0,55,4,1,4,0.13,0,94,2,0,15,2,3.16666666666667,1,3.433797909407665,1,1,0.73469387755102,0,0.888888888888889,3,3,1
750,13.0,0,2,6,4.0,1,518,2,1,6,0.16,1,87,3,1,9.5,3,6.62099125364431,0,5.21865889212828,1,1,0.896067415730337,0,0.401880141010576,0,6,0.5
780,13.0,0,2,7,4.0,1,498,2,17,14,0.15,2,97,3,3,9.5,2,4.69918699186992,0,7.72357723577236,0,1,1.12252964426877,0,0.87823275862069,2,3,0.5
658,25.5,40,1,18,1,0,198,1,0,47,0.12,0,98,4,4,1.5,2,3.2817679558011,0,5.27624309392265,0,0,0.760975609756098,0,0.699822380106572,0,4,11.0
806,156,8.5,2,12,4.0,0,469,2,3,18,0.07,0,100,3,0,9.5,2,5.80628272251309,0,6.14485165794066,1,0,0.835334476843911,0,0.478550295857988,4,2,0.5
748,26,21.0,1,8,1,1,747,1,0,206,0.25,0,100,2,3,1.5,2,15.0836431226766,0,2.90520446096654,0,1,0.254545454545455,0,0.821696252465483,5,4,11.0
793,10,1,1,6,12.5,2,17.5,1,9,0,0.45,0,100,3,5,7.0,2,8.43564356435644,0,3.58415841584158,1,1,0.381818181818182,0,0.8,0,5,3
788,32,5,1,10,1,1,654,1,23,24.5,0.26,0,100,4,20,1.5,2,7.16666666666667,0,4.2953216374269,1,1,0.633053221288515,0,0.737628384687208,0,5,11.0
476,6,0,1,0,53.0,8,66.0,50.0,0,5,2.15,0,83,1,1,21.5,2,9.36283185840708,0,2.99115044247788,1,1,0.216,0,0.504424778761062,0,1,1
988,25.5,4,2,12,1.0,1,168,1,0,19.0,0.14,0,100,2,5,19,2,4.51960784313725,0,4.83333333333333,0,0,1.02542372881356,0,0.66798418972332,0,3,2
678,10.5,0,1,2,7.0,0,99,2,0,2,0.05,0,100,2,0,5.5,1,5.8,0,3.8625,1,1,0.507739938080495,0,0.763048016701461,0,1,8.0
769,8.5,1,2,15,7.0,2,282,1,5,2,0.2,1,96,4,1,13.5,2,4.67708333333333,0,7.90625,0,1,1.11881188118812,0,0.445103857566766,0,4,2.5
1367,4.5,15,1,11,17.0,0,125,2,10.5,4.0,0.07,0,95,4,7,26,2,3.2020725388601,0,4.9740932642487,0,1,0.617117117117117,0,0.416296296296296,0,6,3
633,4.5,0,2,9,12.5,0,33,2,0,0,0.09,0,95,1,4,20,2,4.57894736842105,1,3.63157894736842,1,1,0.941176470588235,0,0.342857142857143,0,1,9.0
775,3,0,1,0,2,0,91,4,2,3,0.14,0,80,5,2,31.0,1,2.98648648648649,0,4.67567567567568,2,1,0.346534653465347,0,0.539617486338798,0,3,12
