,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
476,6,0,1,0,0,8,1130,1,0,5,2.15,0,14.5,1,1,21.5,2,9.36283185840708,0,1.14285714285714,1,1,0.0810810810810811,0,0.0,0,1,4
578,9,1,1,9,15,0,45,2,7,3,0.11,2,100,5,1,4.0,2,4.25641025641026,1,0.785714285714286,1,1,0.0,0,0.69375,0,2,8
633,21,0,2,9,28,0,33,11,0,0,0.09,0,100,1,4,4.0,2,4.57894736842105,1,1.98421052631579,1,1,0.111111111111111,0,0.714285714285714,0,1,0
788,32,5,1,10,9,1,654,14,23,36,0.26,0,100,4,20,34.0,2,7.16666666666667,0,2.6833333333333353,1,1,0.111111111111111,0,0.0,0,5,15
678,20,0,1,2,317,0,99,2,0,2,0.05,0,100,2,0,89,1,5.8,0,2.5319865319865347,1,1,0.111111111111111,0,0.0,0,1,13
956,27,0,2,5,6,2,297,3,0,13,0.27,1,58.5,2,0,2.5,3,3.93333333333333,0,2.04166666666667,0,1,0.0,0,0.714285714285714,0,3,5
775,3,0,1,0,2,0,91,26,2,3,0.14,0,6.5,5,2,25.0,2,2.98648648648649,0,2.5319865319865347,2,1,0.0810810810810811,0,0.539617486338798,0,3,12
905,9,0,2,7,2,1,264,15,32,23,0.25,1,100,2,6,34.0,2,4.41176470588235,0,2.47368421052632,0,0,0.111111111111111,0,0.41839762611276,0,4,14
1349,3,0,1,8,8,2,55,1,0,0,0.19,4,100,1,0,13,2,4.44444444444444,1,8.0,2,1,0.916666666666667,0,0.8,0,5,10
575,1,0,1,4,37,0,55,6,1,4,0.13,0,94,2,0,15,2,3.16666666666667,1,6.52380952380952,1,1,0.111111111111111,0,0.0,0,3,6
1367,27,15,1,11,37,0,125,27,25,29,0.07,0,95,4,7,26,2,3.2020725388601,0,4.9740932642487,0,1,0.111111111111111,0,0.416296296296296,0,6,3
816,9,0,1,19,19,0,103,5,2,2,0.11,1,95,3,0,26,2,3.33707865168539,0,2.195238095238095,1,1,0.568421052631579,0,0.0,0,7,10
782,14,0,1,5,197,0,156,14,1,0,0.1,0,99,4,5,65,2,3.46478873239437,1,2.6833333333333353,1,1,0.111111111111111,0,0.0,0,4,14
793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,37,4,2,12,47,1,168,15,0,54,0.14,0,100,2,5,4.0,2,4.51960784313725,0,2.5319865319865347,0,0,0.111111111111111,0,0.0,0,3,6
658,32,40,1,18,22,0,198,23,0,47,0.12,0,98,4,4,13.5,2,3.2817679558011,0,2.47368421052632,0,0,0.111111111111111,0,0.0,0,4,13
769,24,1,2,15,55,2,282,4,5,2,0.2,1,96,4,1,5.5,2,4.67708333333333,0,7.90625,0,1,0.111111111111111,0,0.0,0,4,15
780,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
