test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
476,0,6.0,0.0,1.0,0.0,0.0,8.0,395.91650390625,1.0,0.0,5.0,2.15,0.0,83.0,1.0,1.0,41.0,2.0,9.36283185840708,0.0,2.99115044247788,1.0,1.0,0.216,0.0,0.504424778761062,0.0,1.0,4.0,0.6339170633892739,0.3660829366107261,1,21.52750151302144
1349,0,3.0,0.0,1.0,8.0,6.5,2.0,55.0,1.0,0.0,0.0,0.19,4.0,94.0,1.0,0.0,13.0,2.0,4.44444444444444,1.0,8.0,2.0,1.0,0.916666666666667,0.0,0.8,0.0,5.0,10.0,0.5344075832228902,0.46559241677710983,1,1500000000000.0
575,0,1.0,0.0,1.0,4.0,37.0,0.0,55.0,6.0,1.0,4.0,0.13,0.0,94.0,2.0,0.0,15.0,2.0,3.16666666666667,1.0,6.52380952380952,1.0,1.0,0.73469387755102,0.0,0.888888888888889,0.0,3.0,0.49951171875,0.517659409997802,0.48234059000219803,1,5500488281250.0
578,0,9.0,1.0,1.0,9.0,15.0,0.0,45.0,2.0,7.0,3.0,0.11,2.0,94.0,5.0,1.0,14.0,2.0,4.25641025641026,1.0,3.87179487179487,1.0,1.0,0.666666666666667,0.0,0.933333333333333,0.0,2.0,5.5,0.5002246020482478,0.4997753979517522,1,2500000000000.0
1367,0,27.0,15.0,1.0,19.00158604979515,37.0,0.0,125.0,27.0,25.0,29.0,0.07,0.0,95.0,4.0,7.0,26.0,2.0,3.2020725388601,0.0,4.9740932642487,0.0,1.0,0.617117117117117,0.0,0.416296296296296,0.0,6.0,3.0,0.5593855514095283,0.44061444859047166,1,8001586049795.152
633,0,21.0,0.0,2.0,9.0,28.0,0.0,33.0,2.4990234375,0.0,0.0,0.09,0.0,95.0,1.0,4.0,20.0,2.0,4.57894736842105,1.0,3.63157894736842,1.0,1.0,0.941176470588235,0.0,1.0,0.0,1.0,0.0,0.5884655738967693,0.41153442610323065,1,8500976562500.0
658,0,32.0,40.0,1.0,18.0,22.0,0.0,198.0,23.0,0.0,29.9990234375,0.12,0.0,98.0,4.0,14.001953125,53.0,2.0,3.2817679558011,0.0,5.27624309392265,0.0,0.0,0.760975609756098,0.0,0.699822380106572,0.0,4.0,13.0,0.5528492259776494,0.44715077402235054,2,10001953125000.0
678,0,20.0,0.0,1.0,2.0,0.46435546875,0.0,99.0,2.0,0.0,2.0,0.05,0.0,100.0,2.0,0.0,89.0,1.0,5.8,0.0,3.8625,1.0,1.0,0.507739938080495,0.0,0.763048016701461,0.0,1.0,13.0,0.5272001326123406,0.47279986738765944,1,316535644531250.0
748,0,26.0,53.0,1.0,8.0,6.499390244483948,1.0,105.9169921875,2.5,0.0,206.0,0.25,0.0,100.0,2.0,3.0,159.0,2.0,15.0836431226766,0.0,2.90520446096654,0.0,1.0,0.254545454545455,0.0,0.821696252465483,5.0,4.0,21.0,0.5196204017278647,0.4803795982721352,3,9925177414260.29
750,0,78.0,0.0,2.0,6.0,3.49462890625,1.0,66.9990234375,2.49853515625,1.0,6.0,0.16,1.0,87.0,3.0,1.0,40.0,3.0,6.62099125364431,0.0,5.21865889212828,1.0,1.0,0.896067415730337,0.0,0.401880141010576,0.0,6.0,19.0,0.5104047572029757,0.48959524279702427,3,31950829406205.02
