test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
80,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,60.31072759628296,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.5,0.5,1,20.108426548312515
104,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,18.174560546875,1.0,5.16666666666667,1.0,1.0,0.0,2.0,0.470715835140998,2.0,0.5,0.5,1,3.6508294392018588
147,0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,155.0,1.0,4.0,3.0,0.73,0.0,90.0,3.0,0.0,16.3994140625,1.0,3.32142857142857,0.0,1.0,0.0,1.0,0.659147869674185,1.0,0.5,0.5,1,3.9122440096776225
166,0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,24.0,2.0,23.0,16.0,0.05,0.0,88.0,3.0,0.0,40.0,2.0,17.36443848435009,0.0,1.0,0.0,37.0,0.547058823529412,3.0,0.5,0.5,1,7.64109646686547
172,0,4.0,0.0,1.0,2.0,4.0,2.0,2.0,121.0,2.0,3.0,16.0,0.38,0.0,92.0,1.0,0.0,1.0,2.0,3.92307692307692,1.0,1.0,0.0,4.385160386562347,0.495867768595041,2.0,0.5,0.5,1,8614839613437.652
192,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,83.0,1.0,8.0,12.0,0.23,0.0,82.0,1.0,3.0,11.78515625,2.0,4.48275862068965,0.0,0.0,0.0,0.003173828125,0.326653306613226,2.0,0.5,0.5,2,12996826171875.0
195,0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,164.0,1.0,2.0,29.0,0.56,0.0,96.0,1.0,2.0,1.9492323398590088,2.0,2.75,0.0,0.0,0.0,7.0,0.796190476190476,2.0,0.5,0.5,1,6.762028753586344
251,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,170.0,1.0,0.0,39.0,0.41,0.0,97.0,2.0,0.0,19.349928855895996,1.0,11.75,1.0,1.0,0.0,10.0,0.642647058823529,3.0,0.5,0.5,2,6.332755076103716
267,0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,132.0,4.0,9.0,14.0,0.24,0.0,89.0,2.0,2.0,11.632414817810059,2.0,4.025,0.0,0.0,0.0,0.0,0.531208499335989,2.0,0.5,0.5,2,39000000000000.0
275,0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,37.0,1.0,7.0,19.0,0.06,0.0,92.0,2.0,1.0,15.18603515625,1.0,4.33802816901408,0.0,0.0,0.0,0.0,0.328063241106719,3.0,0.5,0.5,2,18000000000000.0
282,0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,70.0,6.0,2.0,9.0,0.15,1.0,85.0,2.0,1.0,18.618502616882324,2.0,3.23076923076923,0.0,0.0,0.0,0.0,0.416531604538088,3.0,0.5,0.5,2,40000000000000.0
283,0,3.0,0.0,2.0,1.0,0.0,1.0,4.0,34.0,1.0,4.0,4.0,0.14,1.0,81.0,2.0,1.0,17.41162109375,1.0,3.92857142857143,0.0,1.0,0.0,0.0,0.586538461538462,2.0,0.5,0.5,1,2.8963911055736897
284,0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,96.0,3.0,1.0,13.0,0.28,0.0,90.0,2.0,0.0,15.5009765625,2.0,2.91891891891892,0.0,1.0,0.0,0.0,0.459016393442623,2.0,0.5,0.5,2,17000000000000.0
302,0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,60.0,3.0,3.0,16.0,0.2,0.0,92.0,1.0,2.0,11.505736351013184,3.0,5.15909090909091,1.0,1.0,0.0,0.0,0.439320388349515,2.0,0.5,0.5,2,15000000000000.0
567,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,48.0,2.0,9.0,10.0,0.25,0.0,90.0,2.0,3.0,15.0,2.0,2.84848484848485,0.0,1.0,0.0,1.651611328125,0.55,2.0,0.5,0.5,1,53348388671875.0
755,0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,55.0,3.0,5.0,11.0,0.13,0.0,86.0,2.0,0.0,18.59765625,2.0,2.83333333333333,1.0,1.0,0.0,0.0,0.443181818181818,2.0,0.5,0.5,1,1.4846700897067704
762,0,5.0,1.0,1.0,6.0,0.0,1.0,2.0,127.0,4.0,10.0,44.0,0.15,0.0,96.0,1.0,0.0,8.37744140625,4.0,11.74785868326823,0.0,1.0,0.0,19.0,0.633272058823529,4.0,0.5,0.5,2,12.562430523495145
773,0,2.0,0.0,2.0,1.0,2.0,1.0,3.0,95.0,1.0,2.0,3.0,0.14,0.0,71.0,1.0,7.0,8.0,2.0,5.41176470588235,1.0,1.0,0.0,4.0,0.457861635220126,0.50390625,0.5,0.5,1,2496093750000.0
790,0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,74.0,4.0,4.0,16.0,0.17,0.0,95.0,2.0,0.0,11.593361616134644,3.0,3.26666666666667,0.0,0.0,0.0,0.0,0.558260869565217,2.0,0.5,0.5,2,40000000000000.0
792,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,95.0,1.0,0.0,32.24896311759949,0.21,0.0,97.0,1.0,0.0,0.0,1.0,2.61904761904762,1.0,1.0,0.0,1.0,0.814465408805031,1.0,0.5,0.5,1,5.228002753537897
795,0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,108.0,7.0,4.0,19.0,0.2,0.0,92.0,1.0,0.0,16.733642578125,1.0,3.42592592592593,0.0,0.0,0.0,0.0,0.556005398110661,5.0,0.5,0.5,2,4000000000000.0
805,0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,41.0,1.0,7.0,12.0,0.15,0.0,92.0,1.0,1.0,17.86063015460968,2.0,2.7027027027027,0.0,0.0,0.0,1.0,0.658469945355191,2.0,0.5,0.5,1,2.4077194945999976
1940,0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,182.0,1.0,0.0,1.0,1.3,0.0,0.0,1.0,0.0,9.0,2.0,1.53658536585366,1.0,1.0,0.0,4.552978515625,0.809264305177112,1.0,0.5,0.5,1,12447021484375.0
