"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'-0.18 < CountClassDerived <= 0.235 & 0.948 < AvgCyclomaticModified <= 1.052'","b'target = 0'",0.17042,356,0.16994,355,0.99719,0.01592,1.10335,4.88471e-11,0.90378,1888
"b'000001'","b'0.285 < CountDeclMethodProtected <= 0.82'","b'target = 0'",0.13212,276,0.12973,271,0.98188,0.01032,1.08642,3.78436e-08,0.90378,1888
"b'000002'","b'0.725 < RatioCommentToCode <= 1.15'","b'target = 0'",0.18813,393,0.18334,383,0.97455,0.01331,1.07831,2.31508e-09,0.90378,1888
"b'000003'","b'1.15 < RatioCommentToCode <= 2.085'","b'target = 0'",0.19531,408,0.18956,396,0.97059,0.01305,1.07392,1.13711e-08,0.90378,1888
"b'000004'","b'0.38 < CountClassCoupled <= 1.58'","b'target = 0'",0.19052,398,0.18478,386,0.96985,0.01259,1.0731,2.78625e-08,0.90378,1888
"b'000005'","b'ADEV <= 1.26'","b'target = 0'",0.19004,397,0.1843,385,0.96977,0.01254,1.07302,3.04504e-08,0.90378,1888
"b'000006'","b'1.26 < ADEV <= 2.06'","b'target = 0'",0.24844,519,0.23887,499,0.96146,0.01433,1.06382,2.13428e-08,0.90378,1888
"b'000007'","b'0.88 < CountClassBase <= 1.024'","b'target = 0'",0.35519,742,0.33988,710,0.95687,0.01886,1.05874,9.14023e-11,0.90378,1888
"b'000008'","b'0.9982 < OWN_COMMIT <= 1.009'","b'target = 0'",0.60316,1260,0.57683,1205,0.95635,0.03171,1.05816,2.23332e-23,0.90378,1888
"b'000009'","b'0.948 < AvgCyclomaticModified <= 1.052'","b'target = 0'",0.44758,935,0.42125,880,0.94118,0.01674,1.04138,7.67917e-08,0.90378,1888
