test_idx,candidate_id,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
42,0,1.0,2.0,0.0,1.0,0.0,0.92,0.0,78.0,1.0,0.0,14.0,2.0,6.8125,0.0,3.875,0.0,1.0,1.15,6.0,258.0,0.666666666666667,0.0,2.0,5.0,0.5854154,0.41458458
52,0,0.0,2.0,0.0,6.0,5.0,118.11,0.0,80.0,0.0,0.0,20.0,1.0,5.23076923076923,1.0,7.0,1.0,1.0,1.73333333333333,0.0,0.0,1.0,0.0,2.0,2.0,0.52277374,0.47722626
63,0,13.0,1.0,0.0,6.0,0.0,3.03,0.0,0.0,2.0,1.0,14.0,2.0,3.05263157894737,0.0,0.842105263157895,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,5.0,0.62110305,0.37889698
64,0,16.0,2.0,12.0,2.0,7.0,0.29,0.0,95.0,3.0,12.0,5.0,3.0,4.72222222222222,0.0,5.05555555555556,13.0,1.0,1.0,0.0,199.0,0.3,0.0,3.0,15.0,0.7906548,0.20934522
65,0,1.0,1.0,8.0,4.0,0.0,0.53,0.0,88.0,2.0,1.0,33.0,2.0,17.8736842105263,0.0,3.95789473684211,13.0,1.0,0.5,0.0,48.0,0.2,0.0,5.0,7.0,0.61258006,0.3874199
73,0,0.0,2.0,84.0,5.0,0.0,0.63,0.0,77.0,3.0,38.0,13.0,2.0,4.78947368421053,0.0,3.84210526315789,0.0,1.0,0.785714285714286,0.0,93.0,0.5,0.0,1.0,8.0,0.55546945,0.44453055
79,0,4.0,1.0,2.0,10.0,1.0,0.73,0.0,84.0,3.0,4.0,9.0,4.0,11.5714285714286,1.0,3.19047619047619,1.0,1.0,0.739130434782609,0.0,24.0,0.1,0.0,1.0,6.0,0.5952023,0.40479764
95,0,0.0,1.0,0.0,4.0,2.0,0.33,0.0,80.0,2.0,0.0,18.0,1.0,5.53846153846154,7.0,5.38461538461539,1.0,1.0,1.86666666666667,0.0,4.0,0.5,0.0,5.0,2.0,0.6185655,0.3814345
247,0,9.0,1.0,8.0,4.0,21.0,0.4,13.0,92.0,2.0,14.0,11.0,2.0,5.32835820895522,0.0,6.41791044776119,13.0,1.0,0.987179487179487,0.0,330.0,0.25,0.0,3.0,6.0,0.6663657,0.33363432
1125,0,1.0,1.0,64.0,7.0,0.0,0.4,0.0,97.0,2.0,0.0,123.0,4.0,9.41538461538462,0.0,12.5692307692308,1.0,1.0,1.78571428571429,0.0,283.0,0.2,0.0,2.0,10.0,0.637712,0.36228803
