test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
1,0,1.0,1.0,1.0,0.0,28.0,4.0,15.0,0.1450080907344819,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.52,0.48,1,0.08928688618244707
4,0,5.0,2.0,5.0,3.0,112.0,6.0,4.0,0.18,2.0,88.0,1.0,0.0,27.0,2.0,4.54166666666667,1.0,1.0,1.0,0.5014495849609375,0.0,1.0,0.0,7.0,8.0,0.5,0.5,1,1.52046740308834
24,0,6.0,1.0,22.0,0.0,112.48719257116318,8.0,318.0,0.29,0.0,38.9892578125,2.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,0.368421052631579,0.0,0.37037037037037,1.0,4.0,14.0,0.5,0.5,2,8.643424553285884
94,0,0.0,1.0,0.0,0.0,26.0,1.0,5.0,0.05000240802764892,0.0,99.0,1.0,2.0,1.0,2.0,0.382978723404255,0.0,0.0,1.0,0.135416666666667,0.0,1.0,0.0,1.0,2.0,0.5,0.5,1,0.019842740550441995
101,0,2.0,1.0,0.0,1.0,99.443115234375,1.0,8.0,1.62,0.0,96.0,1.0,0.0,4.0,2.0,0.623762376237624,0.0,0.0,1.0,0.144230769230769,0.0,1.0,0.0,5.0,1.0,0.51,0.49,1,41.335558011120376
102,0,2.0,2.0,1.0,2.0,41.0,1.0,7.0,0.29,1.0,75.0,2.0,0.0,8.499757289886475,1.0,4.375,0.0,1.0,1.0,1.5,0.0,1.0,0.0,3.0,1.0,0.5,0.5,1,1.8549314414244136
108,0,2.4998779892921448,1.0,1.0,2.0,96.0,2.0,6.0,0.6351926219463353,4.0,88.0,2.0,0.0,4.0,2.0,3.75,1.0,1.0,1.0,1.09677419354839,0.0,1.0,0.0,7.0,2.0,0.5,0.5,2,500122010707.855
173,0,6.496337890625,1.0,10.0,1.0,274.0,10.0,14.0,0.08,1.0,96.0,2.0,1.0,89.0,2.0,5.8622754491018,0.0,1.0,1.0,0.25340699613764006,0.0,0.307692307692308,0.0,1.499267578125,9.0,0.5,0.5,3,34503662109375.0
174,0,1.5,1.0,1.0,3.0,354.0,2.0,11.0,0.42,0.0,90.0,1.0,0.0,38.0,2.0,5.61386138613861,1.0,1.0,1.0,0.23071523813100975,0.0,0.333333333333333,0.0,6.0,8.0,0.51,0.49,2,10500000000000.0
183,0,2.0,2.0,42.0,4.0,111.49280655384064,2.0,0.0,0.3,0.0,96.0,1.0,0.0,1.499267578125,2.0,5.18604651162791,1.0,1.0,1.0,1.35416666666667,0.0,0.833333333333333,0.0,4.0,9.0,0.5,0.5,2,11.349691675094435
184,0,1.485107421875,1.0,2.0,1.0,296.0,6.0,20.0,0.3050316667556763,1.0,100.0,1.0,0.0,74.0,3.0,6.05291005291005,0.0,1.0,0.0,0.14815349968112207,0.0,0.5,0.0,5.0,9.0,0.5,0.5,3,77514892578125.0
