test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2,dist_mahal_num
1,0,1.0,1.0,1.0,0.0,28.0,4.0,15.0,0.19,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.59,0.41,1,0.2647058823529411,0.049461347781796144
4,0,5.0,2.0,5.0,3.0,112.0,6.0,4.0,0.2,2.0,88.0,1.0,0.0,27.0,2.0,4.54166666666667,1.0,1.0,1.0,1.84375,0.0,1.0,0.0,7.0,8.0,0.5,0.5,1,0.05882352941176472,0.010991410618176932
24,0,6.0,1.0,22.0,0.0,48.0,8.0,318.0,0.16,0.0,100.0,2.0,5.0,3.0,1.0,8.8030303030303,0.0,1.0,0.0,0.368421052631579,0.0,0.37037037037037,1.0,4.0,14.0,0.55,0.45,3,1000000000000.0,2.678765194488618
101,0,0.0,1.0,0.0,1.0,651.0,1.0,8.0,1.62,0.0,96.0,1.0,0.0,4.0,2.0,0.623762376237624,0.0,0.0,1.0,0.144230769230769,0.0,1.0,0.0,5.0,1.0,0.59,0.41,1,2000000000000.0,0.49947511216453166
108,0,0.0,1.0,1.0,2.0,96.0,2.0,6.0,0.39,4.0,88.0,2.0,0.0,4.0,2.0,3.75,1.0,1.0,1.0,1.09677419354839,0.0,1.0,0.0,7.0,2.0,0.67,0.33,2,3000000000000.0,0.7665925130362838
173,0,0.0,1.0,0.0,1.0,274.0,10.0,38.0,0.66,1.0,96.0,2.0,1.0,89.0,2.0,5.8622754491018,0.0,1.0,1.0,1.3876404494382,0.0,0.307692307692308,0.0,6.0,9.0,0.5,0.5,4,42201895692018.38,9.766003587783786
174,0,0.0,1.0,0.0,3.0,354.0,1.0,11.0,0.66,0.0,90.0,1.0,0.0,38.0,2.0,5.61386138613861,1.0,1.0,1.0,0.557692307692308,0.0,0.333333333333333,0.0,6.0,8.0,0.5,0.5,4,12083045973594.572,2.9381224246315654
183,0,1.0,2.0,42.0,4.0,110.0,1.0,6.0,0.37,0.0,96.0,1.0,0.0,11.0,2.0,5.18604651162791,1.0,1.0,1.0,1.35416666666667,0.0,0.833333333333333,0.0,4.0,9.0,0.62,0.38,6,1414213562373.095,2.196251261538702
184,0,0.0,1.0,0.0,2.0,296.0,1.0,38.0,0.66,1.0,100.0,1.0,0.0,74.0,3.0,2.80530973451327,0.0,1.0,0.0,1.5969387755102,0.0,0.5,0.0,5.0,9.0,0.59,0.41,7,79189645787817.48,19.79261922319866
220,0,5.0,1.0,6.0,4.0,110.0,4.0,4.0,0.2,8.0,77.0,2.0,2.0,27.0,2.0,4.52380952380952,1.0,1.0,1.0,2.03703703703704,0.0,0.333333333333333,0.0,7.0,6.0,0.54,0.46,9,11224972160321.824,3.1852437941883536
269,0,1.0,1.0,2.0,2.0,110.0,1.0,22.0,0.44,0.0,93.0,1.0,0.0,6.0,1.0,5.17021276595745,1.0,1.0,1.0,0.63265306122449,0.0,0.333333333333333,0.0,6.0,6.0,0.52,0.48,2,5000000000000.0,1.1897243445197931
270,0,5.0,2.0,5.0,4.0,110.0,4.0,4.0,0.2,3.0,84.0,1.0,0.0,82.0,2.0,4.52380952380952,1.0,1.0,1.0,2.03703703703704,0.0,0.571428571428571,0.0,5.0,6.0,0.54,0.46,9,6164414002968.977,3.141189850384993
285,0,1.0,3.0,10.0,8.0,49.0,1.0,0.0,0.12,0.0,90.0,2.0,0.0,121.0,2.0,7.90909090909091,0.0,1.0,1.0,2.16176470588235,0.0,0.454545454545455,0.0,4.0,12.0,0.62,0.38,10,53768020235080.266,13.65221268332552
298,0,5.0,1.0,7.0,4.0,110.0,4.0,4.0,0.2,3.0,86.0,1.0,1.0,27.0,3.0,4.52380952380952,1.0,1.0,1.0,1.6,0.0,0.428571428571429,0.0,7.0,9.0,0.52,0.48,8,3162277660168.3794,2.421938401549878
311,0,13.0,1.0,0.0,0.0,26.0,3.0,3.0,0.14,0.0,100.0,3.0,0.0,27.0,2.0,4.25,0.0,1.0,1.0,1.23076923076923,0.0,0.5,0.0,3.0,4.0,0.51,0.49,6,1732050807568.8772,1.4702973217708755
313,0,10.0,1.0,0.0,2.0,134.0,4.0,62.0,0.2,1.0,100.0,3.0,8.0,39.0,2.0,6.71428571428571,0.0,0.0,0.0,1.5,0.0,0.428571428571429,0.0,5.0,5.0,0.55,0.45,1,1000000000000.0,0.19121077758172528
327,0,2.0,1.0,0.0,2.0,67.0,4.0,60.0,0.2,1.0,100.0,3.0,0.0,13.0,2.0,4.63636363636364,0.0,1.0,0.0,1.46153846153846,0.0,0.666666666666667,0.0,3.0,5.0,0.5,0.5,6,2449489742783.178,2.353257206068
336,0,0.0,2.0,2.0,2.0,34.0,4.0,27.0,0.22,0.0,100.0,2.0,0.0,25.0,3.0,3.92307692307692,0.0,1.0,0.0,1.16129032258065,0.0,0.6,0.0,5.0,4.0,0.52,0.48,2,2000000000000.0,0.9655647390244176
338,0,5.0,2.0,5.0,6.0,110.0,4.0,4.0,0.2,4.0,86.0,3.0,0.0,27.0,2.0,4.52380952380952,1.0,1.0,1.0,1.4,0.0,0.5,0.0,7.0,6.0,0.53,0.47,10,4795831523312.72,1.808717622163562
344,0,5.0,1.0,5.0,2.0,326.0,4.0,1036.0,0.37,0.0,100.0,1.0,18.0,16.0,3.0,7.81632653061224,0.0,0.0,0.0,0.682692307692308,0.0,1.0,0.0,4.0,7.0,0.66,0.34,4,1166190378969.06,2.059265522216205
360,0,0.0,1.0,1.0,5.0,42.0,1.0,4.0,0.21,0.0,76.0,3.0,0.0,18.0,2.0,4.58823529411765,0.0,1.0,1.0,2.5,0.0,0.5,0.0,4.0,5.0,0.52,0.48,6,2236067977499.7896,2.4734033559914064
362,0,0.0,1.0,3.0,1.0,94.0,8.0,25.0,0.2,1.0,100.0,2.0,2.0,18.0,2.0,4.32142857142857,0.0,0.0,0.0,1.05128205128205,0.0,0.5,0.0,5.0,4.0,0.51,0.49,4,1000000000000.0,0.3422489795484611
389,0,3.0,1.0,103.0,3.0,120.0,14.0,28.0,0.23,0.0,100.0,2.0,6.0,16.0,2.0,6.7012987012987,0.0,1.0,0.0,0.482352941176471,0.0,0.666666666666667,0.0,6.0,8.0,0.55,0.45,8,8002811718929.277,7.988781876488639
429,0,1.0,2.0,0.0,2.0,21.0,1.0,3.0,0.24,1.0,60.0,2.0,0.0,14.0,2.0,2.5,0.0,1.0,1.0,0.974358974358974,0.0,0.5,0.0,6.0,1.0,0.63,0.37,5,3162277660168.3794,1.199203509556175
453,0,3.0,1.0,10.0,0.0,423.0,7.0,83.0,0.23,0.0,100.0,1.0,3.0,11.0,2.0,6.7012987012987,0.0,1.0,0.0,0.482352941176471,0.0,0.5,0.0,6.0,2.0,0.52,0.48,9,13114877048604.002,3.8616362665563946
454,0,2.0,1.0,2.0,1.0,33.0,1.0,3.0,0.26,3.0,90.0,2.0,0.0,20.0,3.0,3.58333333333333,0.0,0.0,1.0,1.33333333333333,0.0,1.0,0.0,1.0,6.0,0.58,0.42,1,0.4411764705882355,0.08243557963632693
505,0,1.0,3.0,10.0,6.0,49.0,1.0,0.0,0.12,0.0,92.0,1.0,0.0,45.0,2.0,7.90909090909091,0.0,1.0,1.0,1.32323232323232,0.0,0.444444444444444,0.0,4.0,13.0,0.58,0.42,7,8485281374238.57,8.940960299988243
512,0,1.0,1.0,11.0,2.0,110.0,1.0,6.0,0.37,0.0,84.0,1.0,1.0,11.0,2.0,6.46808510638298,0.0,1.0,1.0,0.816326530612245,0.0,0.666666666666667,0.0,5.0,7.0,0.62,0.38,4,11000000000000.0,2.398768468687347
515,0,3.0,1.0,10.0,1.0,120.0,7.0,6.0,0.23,0.0,89.0,1.0,3.0,16.0,2.0,7.83870967741935,0.0,1.0,1.0,0.482352941176471,0.0,0.714285714285714,0.0,4.0,10.0,0.52,0.48,7,11224972160321.824,2.350214708695992
520,0,7.0,2.0,15.0,4.0,98.0,11.0,0.0,0.24,1.0,100.0,2.0,1.0,28.0,2.0,2.44444444444444,0.0,1.0,1.0,1.74358974358974,0.0,1.0,0.0,2.0,5.0,0.55,0.45,1,5.111111111111112,0.6773665793444019
522,0,4.0,2.0,20.0,13.0,229.0,1.0,0.0,0.25,5.0,86.0,1.0,0.0,56.0,2.0,5.66666666666667,1.0,1.0,1.0,2.26086956521739,0.0,0.4,0.0,3.0,3.0,0.5,0.5,5,21931712199461.31,5.672299086099323
585,0,1.0,1.0,11.0,2.0,110.0,1.0,6.0,0.37,0.0,100.0,1.0,7.0,11.0,1.0,9.33333333333333,0.0,0.0,0.0,1.11475409836066,0.0,0.571428571428571,0.0,5.0,10.0,0.54,0.46,7,5744562646538.028,1.8981536654816418
586,0,76.0,3.0,10.0,3.0,49.0,1.0,0.0,0.12,0.0,97.0,2.0,0.0,97.0,1.0,7.90909090909091,0.0,1.0,1.0,2.15384615384615,0.0,0.5,0.0,6.0,10.0,0.5,0.5,9,3605551275463.9893,5.459474549923402
588,0,3.0,2.0,4.0,2.0,18.0,1.0,3.0,0.21,0.0,86.0,1.0,0.0,9.0,1.0,5.8,0.0,1.0,1.0,2.16666666666667,0.0,0.0,0.0,1.0,3.0,0.54,0.46,4,5099019513592.785,1.2250932889101003
601,0,1.0,1.0,2.0,5.0,49.0,1.0,2.0,0.25,6.0,70.0,2.0,0.0,8.0,1.0,9.4,2.0,2.0,1.0,2.71428571428571,0.0,0.333333333333333,0.0,5.0,4.0,0.54,0.46,4,1414213562373.095,1.4307735016892207
616,0,5.0,2.0,5.0,7.0,110.0,4.0,4.0,0.2,3.0,96.0,1.0,0.0,186.0,2.0,4.52380952380952,1.0,1.0,1.0,2.03703703703704,0.0,0.542857142857143,1.0,7.0,12.0,0.52,0.48,12,127499019604073.83,28.906041564718933
694,0,0.0,1.0,32.0,4.0,204.0,1.0,38.0,0.66,0.0,100.0,1.0,0.0,34.0,2.0,2.80530973451327,0.0,1.0,0.0,0.675,0.0,0.5,0.0,5.0,6.0,0.6,0.4,5,2828427124746.19,1.9979840567881342
723,0,6.0,2.0,11.0,6.0,95.0,1.0,0.0,0.65,0.0,91.0,2.0,7.0,0.0,2.0,3.74074074074074,0.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,4.0,0.66,0.34,4,8000000000000.0,3.8140067238158633
965,0,2.0,1.0,0.0,3.0,61.0,1.0,1.0,0.4,2.0,40.0,2.0,1.0,19.0,1.0,6.0,0.0,3.0,1.0,1.30769230769231,0.0,0.666666666666667,0.0,4.0,5.0,0.5,0.5,3,1000000000000.0,0.22455278722741573
970,0,5.0,1.0,7.0,2.0,110.0,4.0,4.0,0.2,2.0,91.0,1.0,0.0,27.0,2.0,4.43396226415094,1.0,1.0,1.0,2.03703703703704,0.0,0.5,0.0,6.0,6.0,0.55,0.45,8,7348469228349.534,2.341070656863907
1059,0,1.0,1.0,8.0,6.0,29.0,1.0,0.0,0.39,0.0,0.0,1.0,0.0,50.0,1.0,9.88888888888889,0.0,1.0,1.0,1.18181818181818,0.0,0.0,0.0,3.0,3.0,0.5,0.5,1,5.666666666666667,0.7509933814470543
1284,0,1.0,2.0,11.0,5.0,110.0,1.0,6.0,0.37,2.0,100.0,3.0,0.0,11.0,2.0,4.14285714285714,1.0,1.0,1.0,1.42307692307692,0.0,0.5,0.0,5.0,7.0,0.58,0.42,7,10630145812734.65,2.4280959039309753
1287,0,3.0,1.0,1.0,0.0,83.0,7.0,15.0,0.23,0.0,96.0,2.0,1.0,16.0,2.0,1.796875,0.0,0.0,1.0,0.320512820512821,0.0,0.5,0.0,6.0,5.0,0.53,0.47,4,1414213562373.095,1.2492381034072055
1312,0,0.0,1.0,0.0,2.0,190.0,3.0,2.0,1.84,0.0,100.0,2.0,0.0,3.0,1.0,1.81481481481481,0.0,0.0,0.0,0.0,0.0,0.6,0.0,4.0,4.0,0.55,0.45,2,3605551275463.9893,0.6892789092510564
