Antecedent,Antecedent Coverage %,Confidence,Lift
CountDeclMethodPrivate <= 0.72,0.19236,1.0,1.12332
0.72 < CountDeclMethodPrivate <= 2.7,0.21098,0.99548,1.11824
6.45 < CountClassCoupled <= 9.85,0.20239,0.99528,1.11803
0.06 < CountDeclMethodProtected <= 0.95,0.13699,0.98955,1.11158
CountOutput_Mean <= 2.77,0.19809,0.98554,1.10708
CountInput_Mean <= 2.4,0.20621,0.9838,1.10512
AvgCyclomaticStrict <= 1.675,0.20191,0.98345,1.10474
CountDeclMethodProtected <= 0.06,0.23819,0.97996,1.10081
CountClassCoupled <= 3.45,0.1957,0.97561,1.09593
3.45 < CountClassCoupled <= 6.45,0.20239,0.97406,1.09418
