test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
16,0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,0.51,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.999755859375,0.734375,1.0,0.9606207609176636,0.039379239082336426,1,2000244140625.0
78,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,849.0,7.0,21.0,62.0,0.75,0.0,97.0,1.0,2.0,60.0,9.0,5.14705882352941,0.0,0.0,0.0,0.9999999850988388,0.9479132902468448,4.0,0.7981967329978943,0.2018032670021057,1,14901.16119806758
80,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.9478837114006093,4.0,0.5577013492584229,0.44229865074157715,1,1.353708924759872
85,0,8.0,4.0,1.0,2.0,0.0,3.0,3.0,279.0,7.0,8.0,24.0,0.35,0.0,91.0,1.0,3.0,32.0,4.0,4.80952380952381,0.0,1.0,0.0,0.9931640625,0.9478735359164434,4.0,0.6697804927825928,0.3302195072174072,2,35006835937500.0
86,0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,116.0,1.0,7.0,7.0,0.79,0.0,78.0,2.0,2.0,13.0,3.0,3.64705882352941,1.0,0.0,0.0,0.0,0.7852502952699099,3.0,0.5005668997764587,0.49943310022354126,1,0.7253549458768395
95,0,1.0,4.0,1.0,4.0,0.0,8.0,2.0,1049.0,6.0,22.0,23.0,1.37,0.0,95.0,1.0,1.0,53.0,6.0,4.21296296296296,0.0,0.0,0.0,0.0,0.7916756226917148,5.0,0.6167517900466919,0.3832482099533081,1,0.4949106415458311
96,0,0.0,12.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,1.0,5.0,0.2,0.0,75.0,1.0,0.0,8.999759197235107,2.0,3.05882352941176,1.0,1.0,0.0,0.0,0.533980582524272,2.0,0.6196316480636597,0.3803683817386627,1,0.33732658935807214
104,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,21.99951171875,1.0,5.16666666666667,1.0,1.0,0.0,0.9997559785842896,0.470715835140998,2.0,0.647962212562561,0.35203781723976135,2,1000244021415.7104
134,0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,419.0,6.0,35.0,74.0,0.28,0.0,98.0,1.0,2.0,65.0,2.0,8.11940298507463,0.0,0.0,0.0,378.0,0.9478265768708194,5.0,0.7710584402084351,0.22894152998924255,1,1.7903572710992628
147,0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,65.99755859375,1.0,4.0,3.0,0.73,0.0,90.0,3.0,0.0,28.0,1.0,3.32142857142857,0.0,1.0,0.0,0.9999999701976776,0.659147869674185,1.0,0.570197582244873,0.42980238795280457,1,29802.323621594434
166,0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,24.0,2.0,23.0,16.0,0.05,0.0,88.0,3.0,0.0,40.0,2.0,4.97368421052632,0.0,1.0,0.0,2.9990234375,0.9062682617941447,3.0,0.5716420412063599,0.42835792899131775,2,34000976562500.0
172,0,4.0,0.0,1.0,2.0,4.0,2.0,2.0,79.990234375,2.0,3.0,16.0,0.38,0.0,92.0,1.0,0.0,1.0,2.0,3.92307692307692,1.0,1.0,0.0,0.999755859375,0.495867768595041,2.0,0.5006886124610901,0.4993113875389099,2,12000244140625.0
192,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,83.0,1.0,8.0,12.0,0.23,0.0,82.0,1.0,3.0,28.0,2.0,4.48275862068965,0.0,0.0,0.0,0.999755859375,0.7917019220923716,2.0,0.6623071432113647,0.33769282698631287,2,12000244140625.0
195,0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,164.0,1.0,2.0,29.0,0.56,0.0,96.0,1.0,2.0,22.0,2.0,2.75,0.0,0.0,0.0,0.999755859375,0.796190476190476,2.0,0.6413899660110474,0.358610063791275,1,6000244140625.0
202,0,0.0,32.0,1.0,0.0,0.0,4.0,1.0,139.99659538269043,1.0,0.0,0.0,3.5,0.0,0.0,1.0,1.0,6.0,1.0,4.17073170731707,0.0,0.0,0.0,0.0,0.715277777777778,0.0,0.5261729955673218,0.47382697463035583,1,4.721763371037834
207,0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,61.0,1.0,0.0,3.0,0.65,0.0,61.0,2.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,0.9997559785842896,0.566473988439306,0.0,0.9841446876525879,0.01585528440773487,1,1000244021415.7104
213,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,10.0,0.17,0.0,69.0,3.0,0.0,3.0,1.0,9.93333333333333,1.0,1.0,0.0,0.9999999850988388,0.44578313253012,0.0,0.9837492108345032,0.016250766813755035,0,14901.1611328125
251,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,170.0,1.0,0.0,39.0,0.41,0.0,97.0,2.0,0.0,28.0,1.0,2.63529411764706,1.0,1.0,0.0,0.99853515625,0.8179515243373049,3.0,0.5568182468414307,0.44318175315856934,2,9001464843750.0
263,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,29.0,3.0,0.0,6.0,0.3700427283048629,0.0,72.0,1.0,0.0,9.0,2.0,2.63636363636364,0.0,1.0,0.0,0.0,0.547445255474453,2.0,0.5426974296569824,0.4573025405406952,1,0.07849618097808131
267,0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,132.0,4.0,9.0,14.0,0.24,0.0,89.0,2.0,2.0,26.0,2.0,4.025,0.0,0.0,0.0,39.0,0.9478364915594408,2.0,0.7376430034637451,0.26235702633857727,1,1.381832535279599
268,0,14.0,5.0,1.0,3.0,0.0,1.0,3.0,200.0,15.0,7.0,29.0,0.16,0.0,94.0,2.0,1.0,7.99609375,3.0,4.28712871287129,0.0,0.0,0.0,186.0,0.9478837453076951,3.0,0.5112366676330566,0.48876333236694336,2,13.955089355251577
275,0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,37.0,1.0,7.0,19.0,0.06,0.0,92.0,2.0,1.0,42.0,1.0,4.33802816901408,0.0,0.0,0.0,0.99755859375,0.7916898731998225,3.0,0.6472364068031311,0.3527635931968689,2,17002441406250.0
282,0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,70.0,6.0,2.0,9.0,0.15,1.0,85.0,2.0,1.0,5.9951171875,2.0,3.23076923076923,0.0,0.0,0.0,40.0,0.416531604538088,3.0,0.5945800542831421,0.4054199755191803,1,11.467989617054005
283,0,3.0,0.0,2.0,1.0,0.0,1.0,4.0,34.0,1.0,4.0,4.0,0.6900709004402157,1.0,81.0,2.0,1.0,26.0,1.0,3.92857142857143,0.0,1.0,0.0,0.0,0.586538461538462,2.0,0.5341039299964905,0.4658960700035095,1,0.8628319521007295
284,0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,96.0,3.0,1.0,13.0,0.28,0.0,90.0,2.0,0.0,26.0,2.0,2.91891891891892,0.0,1.0,0.0,0.99609375,0.7917086891726387,2.0,0.6714235544204712,0.3285764157772064,2,16003906250000.0
299,0,5.0,0.0,1.0,3.0,0.0,1.0,2.0,173.0,4.0,13.0,38.0,0.16,0.0,95.0,1.0,1.0,7.98974609375,4.0,3.15957446808511,0.0,1.0,0.0,162.0,0.9479020242797398,3.0,0.6462286114692688,0.3537713885307312,2,21.275615298617364
302,0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,60.0,3.0,3.0,16.0,0.2,0.0,92.0,1.0,2.0,19.0,3.0,5.15909090909091,1.0,1.0,0.0,2.999267578125,0.9479074259719891,2.0,0.6047924160957336,0.39520758390426636,2,12000732421875.0
432,0,4.0,6.0,1.0,18.0,0.0,0.0,2.0,56.0,3.0,3.0,19.0,0.09,0.0,94.0,1.0,1.0,13.0,2.0,4.96491228070175,0.0,1.0,0.0,0.9997559785842896,0.749670619235837,3.0,0.7275192141532898,0.2724807858467102,1,1000244021415.7104
455,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,127.0,1.0,3.0,9.0,0.29,0.0,89.0,2.0,0.0,18.0,2.0,4.22222222222222,0.0,1.0,0.0,0.0,0.5925930839775809,0.0,0.6409742832183838,0.3590256869792938,1,0.016024363774118644
543,0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,34.0,1.0,4.0,0.0,0.44,0.0,60.0,3.0,1.0,7.0,1.0,4.4,1.0,2.0,0.0,2.9997560381889343,0.40495867768595,0.0,0.5915085077285767,0.40849149227142334,1,2000243961811.0654
546,0,8.0,0.0,1.0,2.0,1.0,1.0,3.0,119.0,11.0,30.0,10.998537182807922,0.12,0.0,93.0,1.0,2.0,4.997314453125,3.0,4.63291139240506,0.0,0.0,0.0,71.0,0.313213703099511,1.0,0.6467807292938232,0.35321924090385437,2,23.6085093203484
548,0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,28.0,2.0,3.0,3.0,0.15,0.0,70.0,3.0,0.0,5.997314453125,2.0,3.6,0.0,1.0,0.0,0.9997560977935791,0.430327868852459,0.0,0.5782819986343384,0.4217180013656616,2,3000243902206.421
567,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,48.0,2.0,9.0,10.0,0.25,0.0,90.0,2.0,3.0,15.0,2.0,2.84848484848485,0.0,1.0,0.0,0.99365234375,0.55,2.0,0.8195189237594604,0.18048106133937836,1,54006347656250.0
729,0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,44.0,1.0,0.0,1.0,0.32,1.0,62.0,2.0,0.0,12.0,2.0,2.1875,0.0,0.0,0.0,0.9997560977935791,0.506787330316742,2.0,0.8741223216056824,0.12587766349315643,1,3000243902206.421
755,0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,55.0,3.0,5.0,11.0,0.13,0.0,86.0,2.0,0.0,21.999780893325806,2.0,2.83333333333333,1.0,1.0,0.0,0.0,0.443181818181818,2.0,0.683621883392334,0.3163781464099884,1,0.337319272451726
762,0,5.0,1.0,1.0,6.0,0.0,1.0,2.0,127.0,4.0,10.0,44.0,0.15,0.0,96.0,1.0,0.0,42.0,4.0,2.97916666666667,0.0,1.0,0.0,0.997314453125,0.9062587513643152,4.0,0.5400445461273193,0.4599554240703583,2,18002685546875.0
773,0,2.0,0.0,2.0,1.0,2.0,1.0,3.0,95.0,1.0,2.0,3.0,0.33001394253969185,0.0,71.0,1.0,7.0,8.0,2.0,5.41176470588235,1.0,1.0,0.0,0.9997560977935791,0.457861635220126,3.0,0.5515015125274658,0.4484984874725342,2,3000243902206.421
778,0,0.0,0.0,1.0,7.0,0.0,1.0,3.0,27.0,1.0,0.0,1.0,0.57,2.0,79.0,2.0,0.0,1.0,1.0,2.33333333333333,1.0,1.0,0.0,2.9992679357528687,0.674157303370786,0.0,0.6600027084350586,0.3399972915649414,1,3000732064247.1313
786,0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,26.0,1.0,0.0,6.0,0.22000287759304038,0.0,76.0,1.0,1.0,3.0,2.0,3.1,1.0,1.0,0.0,54.0,0.282051282051282,1.0,0.5824714303016663,0.41752856969833374,1,0.06274784020682955
790,0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,74.0,4.0,4.0,16.0,0.17,0.0,95.0,2.0,0.0,22.0,3.0,3.26666666666667,0.0,0.0,0.0,0.99609375,0.5926006360844075,2.0,0.6408149003982544,0.3591850996017456,2,39003906250000.0
792,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,36.997562646865845,1.0,0.0,40.0,0.21,0.0,97.0,1.0,0.0,0.0,1.0,2.61904761904762,1.0,1.0,0.0,1.0,0.814465408805031,1.0,0.8015941977500916,0.19840578734874725,1,5.5888725745436165
793,0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,27.0,1.0,0.0,6.0,0.16,0.0,74.0,1.0,0.0,2.0,1.0,7.5,2.0,1.0,0.0,2.9997565746307373,0.691629955947137,3.0,0.8020387291908264,0.19796128571033478,1,1000243425369.2627
795,0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,108.0,7.0,4.0,19.0,0.2,0.0,92.0,1.0,0.0,31.0,5.0,3.42592592592593,0.0,0.0,0.0,0.0,0.9479004066122485,5.0,0.5443922281265259,0.4556078016757965,1,1.2998005013324354
805,0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,41.0,1.0,7.0,12.0,0.15,0.0,92.0,1.0,1.0,7.999756932258606,2.0,2.7027027027027,0.0,0.0,0.0,1.0,0.8179350592749433,2.0,0.5130276083946228,0.4869723916053772,2,5.757597495249343
1940,0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,182.0,1.0,0.0,1.0,1.3,0.0,0.0,1.0,0.0,9.0,2.0,1.53658536585366,1.0,1.0,0.0,0.99609375,0.809264305177112,1.0,0.5954373478889465,0.40456265211105347,1,16003906250000.0
1941,0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,50.0,16.0,0.0,3.0,0.1,0.0,95.0,3.0,1.0,23.0,2.0,2.93650793650794,0.0,0.0,0.0,0.9999999403953552,0.956591639871383,3.0,0.8578788042068481,0.14212122559547424,0,59604.644775390625
1942,0,20.0,1.0,1.0,9.0,0.0,0.0,2.0,155.0,30.0,11.0,53.0,0.13,0.0,100.0,2.0,2.0,22.9970703125,2.0,3.98387096774194,0.0,0.0,0.0,140.0,0.969341161121983,2.0,0.5242664813995361,0.47573354840278625,1,4.047932580431658
854,0,9.0,0.0,1.0,2.0,0.0,2.0,3.0,151.0,1.0,0.0,7.0,0.34,1.0,78.0,1.0,1.0,16.0,2.0,6.625,2.0,1.0,0.0,1.9995121955871582,0.606104651162791,3.0,0.5083715915679932,0.49162837862968445,1,6000487804412.842
861,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,23.0,1.0,0.0,4.0,0.35,0.0,65.0,2.0,0.0,5.0,2.0,2.75,1.0,1.0,0.0,2.9992685317993164,0.682692307692308,0.0,0.5154830813407898,0.4845169186592102,1,13000731468200.684
863,0,10.0,0.0,1.0,12.0,0.0,1.0,2.0,79.0,5.0,0.0,29.0,0.19,0.0,94.0,1.0,0.0,3.0,3.0,3.1875,1.0,1.0,0.0,24.0,0.9478917138501742,2.0,0.812847912311554,0.18715210258960724,1,1.2601740061667894
871,0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,65.0,4.0,1.0,35.0,0.09,0.0,93.0,1.0,0.0,16.0,2.0,2.73333333333333,0.0,1.0,0.0,0.9990234375,0.454649827784156,4.0,0.6334571242332458,0.36654287576675415,1,11000976562500.0
877,0,3.0,2.0,1.0,5.0,0.0,0.0,3.0,34.0,6.0,0.0,19.0,0.14,0.0,83.0,2.0,0.0,6.0,2.0,4.625,1.0,1.0,0.0,0.999755859375,0.515723270440252,3.0,0.5034085512161255,0.4965914189815521,1,4000244140625.0
893,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,4.0,0.43,0.0,57.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,0.0,2.9997560381889343,0.752941176470588,0.0,0.8243730068206787,0.17562700808048248,1,2000243961811.0654
909,0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,53.0,4.0,16.0,20.0,0.11,3.0,90.0,1.0,0.0,49.0,2.0,7.03571428571429,3.0,1.0,0.0,0.9990234375,0.846645367412141,3.0,0.9245932102203369,0.07540678232908249,1,5000976562500.0
