test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed
20,0,3.0,2.0,1.0,0.0,0.0,5.0,175.0,1.0,3.0,3.0,19.0,0.35,70.0,2.0,0.0,11.0,2.0,6.77777777777778,1.0,1.0,1.41379310344828,0.0,2.0,0.9,1.0,0.0,3.0,0.691319417910093,0.30868058208990706,2
30,0,4.0,3.0,1.0,0.0,0.0,4.0,231.0,1.0,2.0,6.0,30.0,0.33,84.0,2.0,0.0,16.0,2.0,7.1025641025641,1.0,1.0,1.21951219512195,0.0,27.0,0.8,0.666666666666667,0.0,3.0,0.5019781888683073,0.4980218111316928,2
41,0,12.0,9.0,1.0,9.0,0.0,2.0,248.333,1.0,35.0,36.0,94.0,0.28,96.0,1.0,1.0,36.0,3.0,5.4,0.0,0.0,0.907894736842105,0.0,10.0,1.0,1.0,0.0,8.0,0.5065574794544796,0.49344252054552046,2
44,0,25.0,19.0,2.0,13.0,0.0,1.0,239.0,1.0,6.0,28.0,35.0,0.24,94.0,1.0,1.0,29.0,1.0,8.36470588235294,0.0,0.0,0.632183908045977,0.0,0.0,0.592727272727273,0.0,0.0,2.0,0.5412805046337661,0.45871949536623385,1
60,0,0.0,2.0,1.0,0.0,0.0,1.0,87.0,1.0,3.0,3.0,41.0,0.2,64.0,1.0,2.0,14.0,2.0,5.65217391304348,0.0,1.0,1.10416666666667,0.0,0.0,0.8,0.0,0.0,4.0,0.5705039387923941,0.42949606120760586,1
61,0,0.0,0.0,1.0,0.0,0.0,3.0,86.0,1.0,1.0,0.0,15.0,0.43,0.0,2.0,1.0,15.0,1.0,2.8125,1.0,2.0,1.05263157894737,0.0,0.0,0.5,0.0,0.0,3.0,0.5180084259210168,0.4819915740789832,1
67,0,25.0,24.0,1.0,22.0,2.0,3.0,557.0,2.0,4.0,12.0,77.0,0.25,93.0,2.0,2.0,37.0,3.0,7.99230769230769,0.0,1.0,1.11278195488722,0.0,0.0,0.9,0.0,0.0,3.0,0.6405005502008119,0.35949944979918813,2
71,0,76.0,12.0,1.0,29.0,0.0,2.0,15.0,1.0,16.0,53.0,206.0,0.23,96.0,1.0,1.0,40.0,3.0,7.35161290322581,0.0,0.0,1.38461538461538,0.0,0.0,0.384935231089077,0.0,0.0,3.0,0.5026708922639616,0.4973291077360384,2
80,0,2.0,4.0,1.0,4.0,3.0,2.0,198.0,3.0,2.0,11.0,28.0,0.72,92.0,3.0,4.0,11.0,2.0,29.3055555555556,1.0,1.0,0.45,0.0,0.0,0.9,0.0,0.0,3.0,0.541049377481304,0.458950622518696,1
85,0,21.0,32.0,1.0,16.0,1.0,2.0,248.333,1.0,12.0,43.0,82.0,0.28,95.0,1.0,2.0,23.0,3.0,6.39455782312925,0.0,0.0,1.24832214765101,0.0,0.0,0.530458590006845,0.0,0.0,2.0,0.6147683465340557,0.38523165346594435,2
88,0,1.0,0.0,8.0,18.0,2.0,4.0,31.0,1.0,0.0,0.0,2.0,0.52,37.0,1.0,0.0,5.0,1.0,27.6666666666667,0.0,1.0,1.4,0.0,0.0,0.5,0.0,0.0,1.0,0.6571337191210735,0.3428662808789264,1
98,0,2.0,0.0,1.0,0.0,0.0,9.0,195.0,1.0,2.0,10.0,12.0,0.83,79.0,1.0,2.0,21.0,2.0,4.5625,1.0,0.0,1.38888888888889,0.0,0.0,0.9,0.0,0.0,3.0,0.5094100380445633,0.4905899619554367,1
120,0,40.0,7.0,1.0,1.0,0.0,2.0,425.0,1.0,32.0,34.0,53.0,0.34,96.0,2.0,1.0,40.0,1.0,5.20454545454545,0.0,0.0,0.477611940298507,0.0,14.0,1.0,1.0,0.0,3.0,0.5076118917073349,0.49238810829266516,2
124,0,30.0,13.0,1.0,0.0,0.0,4.0,248.333,1.0,9.0,13.0,5.0,0.54,93.0,2.0,1.0,23.0,1.0,5.17543859649123,1.0,1.0,1.11864406779661,0.0,0.0,0.630637079455977,0.0,0.0,3.0,0.6956515836470598,0.30434841635294013,2
139,0,31.0,14.0,1.0,0.0,0.0,3.0,248.333,1.0,28.0,0.0,9.0,0.38,0.0,4.0,1.0,30.0,2.0,5.69512195121951,1.0,1.0,1.01190476190476,0.0,0.0,0.897834082550061,0.0,0.0,3.0,0.8614202490174407,0.13857975098255929,2
140,0,25.0,12.0,1.0,0.0,0.0,4.0,248.333,1.0,5.0,3.0,10.0,0.43,94.0,4.0,1.0,33.0,2.0,7.38461538461539,1.0,1.0,1.27777777777778,0.0,0.0,0.470005503577325,0.0,0.0,3.0,0.6068687461790361,0.3931312538209639,2
148,0,14.0,46.0,1.0,1.0,1.0,1.0,368.0,1.0,25.0,12.0,2.0,0.33,85.0,1.0,1.0,21.0,1.0,7.73563218390805,1.0,1.0,0.775280898876405,0.0,60.0,0.605780346820809,1.0,0.0,3.0,0.571459577855753,0.4285404221442471,1
156,0,8.0,7.0,1.0,33.0,23.0,3.0,248.333,2.0,0.0,20.0,54.0,0.85,98.0,1.0,1.0,12.0,3.0,4.39130434782609,0.0,1.0,0.602739726027397,0.0,36.0,1.0,0.666666666666667,0.0,2.0,0.5668963356120014,0.4331036643879987,4
194,0,1.0,1.0,2.0,6.0,0.0,6.0,122.0,1.0,11.0,11.0,0.0,0.78,84.0,1.0,0.0,5.0,1.0,5.69230769230769,3.0,1.0,1.6875,0.0,0.0,0.830564784053156,0.0,0.0,1.0,0.6146271618081244,0.3853728381918756,1
197,0,0.0,1.0,3.0,0.0,0.0,13.0,54.0,2.0,0.0,4.0,2.0,0.37,37.0,2.0,0.0,1.0,2.0,3.66666666666667,1.0,2.0,1.5,0.0,0.0,0.601307189542484,0.0,0.0,2.0,0.5112991901470834,0.4887008098529166,1
203,0,17.0,7.0,1.0,2.0,4.0,8.0,15.0,1.0,55.0,17.0,1.0,0.89,91.0,1.0,0.0,14.0,1.0,7.7875,1.0,1.0,0.634146341463415,0.0,0.0,0.816781731279873,0.0,0.0,1.0,0.581468689896541,0.418531310103459,2
205,0,155.0,6.0,2.0,26.0,6.0,13.0,248.333,2.0,26.0,37.0,4.0,0.52,96.0,2.0,0.0,73.0,1.0,9.35078534031414,0.0,1.0,1.52061855670103,0.0,0.0,0.82404181184669,1.0,0.0,2.0,0.6466558423201547,0.3533441576798453,3
209,0,10.0,6.0,1.0,1.0,2.0,4.0,248.333,2.0,89.0,50.0,6.0,0.69,95.0,1.0,0.0,22.0,1.0,4.17117117117117,1.0,1.0,0.464912280701754,0.0,0.0,0.674705882352941,0.0,0.0,4.0,0.6276156789537228,0.37238432104627717,1
214,0,4.0,0.0,1.0,13.0,3.0,9.0,194.0,3.0,4.0,3.0,2.0,29.08,80.0,1.0,0.0,1.0,2.0,5.4,0.0,1.0,2.28571428571429,0.0,49.0,0.84394250513347,1.0,0.0,2.0,0.7346170182567602,0.26538298174323977,1
218,0,0.0,0.0,10.0,39.0,2.0,9.0,76.0,1.0,2.0,0.0,0.0,29.08,97.0,1.0,0.0,4.0,1.0,28.0,4.0,1.0,0.75,0.0,0.0,0.958847736625514,0.0,0.0,3.0,0.692665865613517,0.307334134386483,1
221,0,68.0,11.0,1.0,78.0,3.0,7.0,248.333,8.0,23.0,61.0,43.0,0.51,98.0,1.0,0.0,48.0,2.0,5.77241379310345,0.0,0.0,1.01298701298701,0.0,2.0,1.0,1.0,0.0,2.0,0.5314494600193476,0.4685505399806525,4
224,0,1.0,1.0,1.0,9.0,0.0,5.0,126.0,1.0,12.0,16.0,0.0,0.37,88.0,1.0,0.0,7.0,1.0,5.07142857142857,1.0,1.0,1.125,0.0,0.0,0.713310580204778,0.0,0.0,1.0,0.5026404293458018,0.49735957065419817,1
