test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
0,0,45.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,4.0,9.0,0.79,0.0,55.0,2.0,0.0,9.0,1.0,2.11111111111111,1.0,3.0,1.0,0.461538461538462,0.75,0.0,4.0,2.0,0.7608633398123776,0.2391366601876225
0,1,36.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,4.0,28.0,0.79,0.0,55.0,2.0,0.0,9.0,1.0,2.11111111111111,1.0,3.0,1.0,0.461538461538462,0.75,0.0,4.0,2.0,0.7243956624053293,0.2756043375946705
0,2,0.0,0.0,53.0,1.0,0.0,4.0,11.0,0.0,4.0,9.0,0.79,0.0,55.0,2.0,0.0,9.0,1.0,2.11111111111111,1.0,3.0,1.0,0.461538461538462,0.75,0.0,4.0,2.0,0.6482837763239813,0.3517162236760187
0,3,0.0,0.0,1.0,32.0,0.0,4.0,2.0,0.0,4.0,9.0,0.79,0.0,55.0,2.0,0.0,9.0,1.0,34.1,1.0,3.0,1.0,0.461538461538462,0.75,0.0,4.0,2.0,0.6488505657540984,0.3511494342459016
0,4,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,4.0,9.0,0.79,0.0,55.0,2.0,153.0,9.0,1.0,2.11111111111111,1.0,3.0,1.0,0.461538461538462,0.75,0.0,4.0,2.0,0.6302185038245552,0.3697814961754448
0,5,0.0,55.0,1.0,1.0,0.0,4.0,2.0,0.0,4.0,9.0,0.79,0.0,55.0,2.0,0.0,9.0,1.0,36.1,1.0,3.0,1.0,0.461538461538462,0.75,0.0,4.0,2.0,0.6480632532540571,0.351936746745943
0,6,0.0,27.0,1.0,1.0,0.0,4.0,2.0,0.0,4.0,9.0,0.79,0.0,55.0,2.0,0.0,9.0,7.0,2.11111111111111,1.0,3.0,1.0,0.461538461538462,0.75,0.0,4.0,2.0,0.6451892452298325,0.35481075477016755
0,7,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,4.0,9.0,0.79,29.0,55.0,2.0,0.0,9.0,1.0,2.11111111111111,1.0,3.0,1.0,0.461538461538462,0.75,0.0,4.0,2.0,0.7012518562632948,0.29874814373670516
0,8,0.0,0.0,1.0,24.0,0.0,4.0,2.0,0.0,4.0,9.0,0.79,0.0,55.0,2.0,0.0,9.0,1.0,2.11111111111111,1.0,3.0,1.0,0.461538461538462,0.75,0.0,4.0,2.0,0.7467631433519986,0.25323685664800155
0,9,0.0,0.0,1.0,1.0,0.0,113.0,2.0,0.0,4.0,9.0,0.79,0.0,55.0,2.0,73.0,9.0,1.0,2.11111111111111,1.0,3.0,1.0,0.461538461538462,0.75,0.0,4.0,2.0,0.6482741108557066,0.35172588914429337
4,0,1.0,0.0,4.0,6.0,0.0,97.0,1.0,0.0,10.0,7.0,0.63,2.0,80.0,4.0,0.0,4.0,1.0,4.125,25.0,1.0,1.0,2.1,0.375,0.0,4.0,3.0,0.648274112689725,0.3517258873102749
4,1,39.0,0.0,37.0,6.0,0.0,5.0,1.0,0.0,10.0,7.0,0.63,2.0,80.0,4.0,0.0,4.0,1.0,4.125,1.0,1.0,1.0,2.1,0.375,0.0,4.0,3.0,0.6492341313155743,0.35076586868442566
4,2,1.0,0.0,4.0,6.0,0.0,5.0,1.0,0.0,10.0,7.0,14.84,2.0,80.0,4.0,40.0,4.0,1.0,4.125,1.0,1.0,1.0,2.1,0.375,0.0,4.0,3.0,0.6559205234694343,0.3440794765305658
4,3,1.0,0.0,4.0,52.0,0.0,5.0,1.0,0.0,10.0,7.0,0.63,2.0,80.0,4.0,0.0,4.0,1.0,4.125,1.0,1.0,144.0,2.1,0.375,0.0,4.0,3.0,0.6578745947869539,0.3421254052130462
4,4,1.0,0.0,4.0,6.0,0.0,5.0,1.0,24.0,2.0,7.0,0.63,2.0,80.0,4.0,0.0,4.0,1.0,4.125,1.0,1.0,1.0,2.1,0.375,0.0,4.0,3.0,0.6871215376646249,0.3128784623353751
4,5,1.0,0.0,4.0,6.0,0.0,5.0,1.0,0.0,54.0,7.0,0.63,2.0,80.0,4.0,75.0,4.0,1.0,4.125,1.0,1.0,1.0,2.1,0.375,0.0,4.0,3.0,0.6457045952954075,0.35429540470459253
4,6,1.0,0.0,4.0,6.0,0.0,5.0,1.0,0.0,10.0,24.0,0.63,2.0,80.0,4.0,0.0,4.0,1.0,4.125,1.0,1.0,1.0,2.1,0.375,0.0,4.0,3.0,0.5122441106626455,0.48775588933735453
4,7,1.0,0.0,4.0,6.0,0.0,5.0,1.0,0.0,10.0,142.0,0.63,2.0,80.0,4.0,0.0,4.0,1.0,4.125,1.0,1.0,1.0,2.1,0.375,0.0,4.0,3.0,0.6471497956563982,0.35285020434360187
4,8,1.0,0.0,4.0,6.0,0.0,5.0,1.0,0.0,10.0,7.0,0.63,2.0,80.0,4.0,0.0,4.0,1.0,4.125,1.0,1.0,66.0,2.1,0.375,0.0,4.0,3.0,0.5293924686711188,0.4706075313288814
4,9,13.0,0.0,4.0,6.0,0.0,5.0,17.0,0.0,10.0,7.0,0.63,2.0,80.0,4.0,0.0,4.0,1.0,4.125,1.0,1.0,1.0,2.1,0.375,0.0,4.0,3.0,0.6835386174642374,0.3164613825357625
7,0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,9.0,7.0,0.51,1.0,79.0,4.0,0.0,3.0,1.0,3.5,1.0,1.0,1.0,5.5,0.375,0.0,4.0,4.0,0.5785857839789522,0.42141421602104756
