,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
3867,1,0,1,1,0,1,3,20.5,1,2,3,13,0,1,4,10.5,2,0,8.1578947368421,1,1,0,0.6,0,2,0
2994,1,0,1,1,0,0,2,18.5,3,1,1,20,0,3,0,9,1,0,4.0,0,1,0,0.5,0,1,3
141,0,0,3,0,1,6,2,18.5,1,1,1,3,3,6,1,1,1,1,4.514332514332515,2,1,0,1.0,0,3,3
946,2,36.0,1,1,9.0,4,0,30.5,1,0,0,17,0,1,0,5,1,0,2.63157894736842,1,1,0,1.0,0,2,2
2825,4,15.0,1,1,0,5,0,24.5,1,0,12,11,7,2,0,11,2,2,2.2,1,1,0,0.571428571428571,0,1,3
115,4,0,2,1,0,4,0,24.5,4,3,13,25,1,3,0,4.5,2,0,5.02631578947368,1,1,0,0.333333333333333,0,3,2
897,1,0,1,0,9.0,6,3,30.5,1,0,0,17,0,1,0,4,2,0,3.61111111111111,1,1,0,1.0,0,2,0
3926,1,0,2,1,3,5,2,24.5,1,2,4,5,2,3,0,19,1,1,2.2,1,1,0,0.666666666666667,0,3,1
4304,2,0,1,0,2,0,1,48.0,1,4,10,15.5,0,3,2,32,3,0,2.59659090909091,1,1,0,0.625,0,2,2
589,4,0,1,0,0,2,1,30.5,1,1,17,33.5,0,3,0,2.5,1,0,2.52577319587629,1,1,0,0.666666666666667,0,3,2
599,1,2,1,0,0,8,1,54.0,1,11,7,9.5,0,3,27,18.0,2,0,3.57435897435897,0,1,0,0.545454545454545,0,3,4
4704,1,36.0,1,3,0,2,4,26.5,2,3,3,6,2,5,0,1,2,0,9.06666666666667,1,1,0,0.666666666666667,0,2,0
3877,0,15.0,1,1,0,0,1,42,1,0,0,25.5,0,5,2,4.5,2,0,1.85106382978723,1,1,0,0.5,0,1,0
3919,0,15.0,1,1,0,0,1,18.5,1,1,16,25.5,0,5,0,4.5,2,0,1.72340425531915,1,1,0,0.5,0,1,3
637,0,0,1,0,0,1,1,48.0,1,1,1,7.0,0,4,0,4,2,0,1.95833333333333,1,1,3,0.666666666666667,0,1,3
104,9.0,0,3,3,4,5,1,24.5,2,5,10,13,2,1,0,4.5,2,2,8.06060606060606,1,1,0,0.5,0,2,4
152,1,1,1,2,0,0,1,24.5,2,0,7.0,33.5,0,4,2,28,2,0,1.88181818181818,1,1,0,1.0,0,1,2
4147,1,0,1,1,1,2,0,20.5,1,3,2,6,1,3,0,10.5,2,1,7.81818181818182,1,1,0,0.75,0,1,2
655,7,0,1,2,0,2,2,24.5,7,0,13.5,12.0,1,3,0,31,5,0,4.33333333333333,1,1,0,1.0,0,1,2
4555,0,36.0,1,0,0,0,0,20,1,0,1,1,1,1,0,1,1,2,2.281746031746035,3,1,0,1.0,0,1,1
57,9.0,1,1,1,0,2,1,101.0,6.5,2,32,9.5,0,3,19,14,2,0,2.08474576271186,0,0,0,1.0,0,1,1
310,0,0,1,0,0,0,2,26.5,1,0,0,36.0,0,1,0,4.5,2,1,2.83333333333333,1,1,0,1.0,0,3,0
195,1,15.0,1,1,0,2,2,24.5,3,0,8,13,0,2,0,9.0,5,0,4.36363636363636,0,1,0,1.0,0,2,5
202,0,0,1,0,0,0,1,22,1,1,0,25,0,3,0,0,2,0,1.55555555555556,1,1.0,0,1.0,0,2,1
491,2,0,1,0,0,1,1,24.5,1,4,7.0,33.5,0,3,0,9.0,2,0,2.03092783505155,1,1,0,0.5,0,3,4
4145,6,0,1,6,0,1,3,18.5,3,10,13.5,29.5,0,5,0,22,2,0,4.12676056338028,0,1,0,0.428571428571429,0,4,3
731,5,0,1,1,1,5,3,63.0,6,4,1.0,27,1,2,3,31,4,0,5.19607843137255,0,1,0,0.6833333333333335,0,1,4
601,1,0.0,1,0,0,1,1,68.0,2,0,2,17.0,0,5,0,10,2,0,1.88679245283019,1,1,0,0.8,0,3,4
939,3,0,2,2,70,5,0,54.0,4,0,4,9.5,0,2,0,11,2,0,3.39506172839506,0,1,0,0.75,0,3,2
2936,0,0.0,1,1,0,0,1,24.5,1,8,9.5,65.0,0,3,0,5.5,1,0,1.63095238095238,0,1,0,0.714285714285714,0,3,1
755,0,2,1,0,0,3,2,30.5,5,2,7,14,2,2,2,2.5,0,0,4.0,1,1,0,1.0,0,3,4
6733,0,0,1,1,1,1,2,26.5,2,0,4,6,1,3,0,2.5,1,1,7.52631578947368,1,1,0,0.4,0,1,2
3912,1,0,1,1,0,1,0,26.5,1,4,3,13,0,1,3,4.5,2,0,8.0,1,1,0,0.5,0,2,0
331,0,0,1,1,0,1,1,26.5,2,0,1,4.0,0,1,0,0,2,1,2.25,1,1,0,0.666666666666667,0,1,1
6734,0,0,1,1,1,1,0,18.5,2,3,14,12,0,3,0,4.5,2,0,6.96428571428571,1,1,0,0.4,0,1,2
770,3,0,1,1,0,1,2,18.5,0,0,6,18,1,3,1,10,1,0,3.73333333333333,1,1,0,0.5,0,2,0
148,2,0,2,0,0,6,2,24.5,2,0,9,9,2,5,2,10.5,2,1,5.78260869565217,0,1,0,0.75,0,1,2
216,1,0,1,1,51,1,1,102,5,1,2,56,0,2,0,5,2,0,2.48275862068966,1,1,0,1.0,0,3,1
196,0,4,1,0,0,0,1,50,1,5,13,35,0,3,0,2.5,3,0,2.75,1,1,0,1.0,0,2,5
