test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
57,0,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,26.0,2.0,32.0,13.4833984375,0.0,3.0,19.0,14.0,2.0,0.0,2.08474576271186,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.528465904767498,0.47153409523250206,1,46.37683851424984
104,0,15.0,0.0,3.0,3.0,4.0,5.0,5.0,197.0,2.0,5.0,10.0,13.0,2.0,1.0,0.0,18.5,2.0,2.0,8.06060606060606,1.0,1.0,0.0,0.5,0.0,2.0,3.5,0.5035181964647418,0.49648180353525817,2,3500000000000.0
115,0,4.0,0.0,2.0,1.0,0.0,4.0,3.0,132.0,4.0,9.0,13.0,25.0,1.0,3.0,0.0,9.49853515625,2.0,0.0,5.02631578947368,1.0,1.0,0.0,0.333333333333333,0.0,3.0,7.0,0.6220038752573677,0.37799612474263233,1,3.2043251192994724
141,0,0.0,0.0,3.0,0.0,1.0,6.0,2.5,44.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,10.0,1.0,1.0,14.25,2.0,1.0,0.0,1.0,0.0,3.0,3.0,0.8317365612834496,0.16826343871655036,1,2500000000000.0
148,0,2.0,0.0,2.0,0.0,0.0,6.0,3.0,178.0,2.0,12.0,9.0,9.0,2.0,5.0,2.0,8.498046875,2.0,1.0,5.78260869565217,0.0,1.0,0.0,0.75,0.0,1.0,5.0,0.8245677798623038,0.1754322201376962,1,3.8789805493714162
152,0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,115.0,2.0,7.0,40.0,101.0,0.0,4.0,2.0,8.4970703125,2.0,0.0,1.88181818181818,1.0,1.0,0.0,1.0,0.0,1.0,5.0,0.6124422184452398,0.38755778155476023,1,6.577272928468037
195,0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,76.0,3.0,8.0,8.0,13.0,0.0,2.0,0.0,14.499878168106079,5.0,0.0,4.36363636363636,0.0,1.0,0.0,1.0,0.0,2.0,5.0,0.5097430235038383,0.4902569764961617,1,1.1803999163269725
196,0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,50.0,1.0,5.0,1.498046875,35.0,0.0,3.0,0.0,19.0,3.0,0.0,2.75,1.0,1.0,0.0,1.0,0.0,2.0,5.0,0.6165938911324993,0.38340610886750065,1,11501953125000.0
202,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,2.0,8.0,25.0,0.0,3.0,0.0,9.0,2.0,0.0,1.55555555555556,1.0,1.0,0.0,1.0,0.0,4.5,1.0,0.7945848101897186,0.20541518981028145,1,500000000000.0
216,0,1.0,0.0,1.0,1.0,51.0,1.0,1.0,78.49585723876953,5.0,1.0,2.0,56.0,0.0,2.0,0.0,5.0,2.0,0.0,2.48275862068966,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.6613302537769712,0.33866974622302876,1,7.926663550931654
