,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
196,0,1,1,0,0,0,1,20.5,1,4,13,35,0,3,0,10.5,3,0,2.75,1,1,0,1.0,0,2,1
770,3,26.0,1,1,0,1,2,18.5,0,9,6,18,1,3,1,10,1,0,3.73333333333333,1,1,0,0.5,0,2,1
3912,1,6.0,1,1,0,1,3,28.5,1,1,3,13,0,1,3,0.5,2,0,8.0,1,1,0,0.5,0,2,1
6733,4,15.0,1,1,1,1,0,20.5,2,3,4,6,1,3,0,2.5,1,1,7.52631578947368,1,1,0,0.4,0,1,2
6734,6,26.0,1,1,1,1,0,18.5,2,3,14,12,0,3,0,10.5,2,0,6.96428571428571,1,1,0,0.4,0,1,2
637,0,0.0,1,0,0,1,1,97.0,1,1,12,41.5,0,4,0,2,2,0,1.95833333333333,1,1,0,0.666666666666667,0,1,2
897,1,36.0,2,0,9.0,6,0,30.5,1,0,0,17,0,1,0,4,2,0,3.61111111111111,1,1,0,1.0,0,2,3
216,1,36.0,1,1,4.5,1,1,48.0,5,1,2,25.5,0,2,0,5,2,0,2.48275862068966,1,1,0,1.0,0,3,0
202,0,15.0,1,0,0,0,1,22,1,2,6,0.5,0,3,0,5,2,0,1.55555555555556,1,1,0,1.0,0,1,1
3919,0,26.0,1,1,0,0,1,26.5,1,1,16,25.5,0,5,0,2.5,2,0,1.72340425531915,1,1,0,0.5,0,1,3
152,1,1,1,2,0,0,1,24.5,2,4,7.0,33.5,0,4,2,28,2,0,1.88181818181818,1,1,0,1.0,0,1,0
104,12.0,6.0,3,3,4,5,1,18.5,2,5,10,13,2,1,0,32,2,2,8.06060606060606,1,1,0,0.5,0,2,4
148,2,36.0,2,0,0,6,0,48.0,2,12,9,9,2,5,2,4.5,2,1,5.78260869565217,0,1,0,0.75,0,1,2
141,0,36.0,0,0,1,6,0,26.5,1,1,1,3,3,6,1,10,1,1,2.281746031746035,2,1,0,1.0,0,3,3
755,3,1,1,0,0,3,2,48.0,5,4,7,7.0,2,2,2,4.5,3,0,4.0,1,1,0,1.0,0,3,4
331,0,15.0,1,1,0,1,1,20.5,2,0,4,7.0,0,1,0,0,2,1,2.25,1,1,0,0.666666666666667,0,1,2
655,7,15.0,1,2,0,2,2,42.5,7,3,19.5,49,1,3,0,31,4,0,4.33333333333333,1,1,0,1.0,0,1,5
601,1,36.0,1,0,0,1,1,48.0,2,0,13,12.0,0,5,0,4,2,0,1.88679245283019,1,1,0,0.8,0,3,2
57,13.0,0,1,1,0,2,1,69.0,26.0,2,11.5,151,0,3,19,14,2,0,2.08474576271186,0,0,0,1.0,0,1,1
4304,2,15.0,1,0,2,0,1,24.5,1,4,10,15.5,0,3,2,32,4,0,2.59659090909091,1,1,0,0.625,0,2,2
310,0,26.0,1,0,0,0,2,26.5,1,0,18,36.0,0,1,0,2.5,2,1,2.83333333333333,1,1,0,1.0,0,3,0
4145,0,0.0,1,6,0,1,3,48.0,3,10,4.0,51,0,5,0,22,2,0,4.12676056338028,0,1,0,0.428571428571429,0,4,2
491,2,0.0,1,0,0,1,1,48.0,1,4,4.0,15.5,0,3,0,17,2,0,2.03092783505155,1,1,0,0.5,0,3,2
939,3,15.0,2,2,2.5,5,3,101.0,4,0,4,15.5,0,2,0,11,2,0,3.39506172839506,0,1,0,0.75,0,4,4
589,4,15.0,1,0,0,2,1,63.0,1,4,17,9.5,0,3,0,16.5,1,0,2.52577319587629,1,1,0,0.666666666666667,0,3,1
3877,0,15.0,1,1,0,0,1,26.5,1,0,17,7.0,0,5,2,4.5,2,0,1.85106382978723,1,1,0,0.5,0,1,4
946,2,36.0,1,1,9.0,4,2,30.5,1,0,0,17,0,1,0,5,1,0,2.63157894736842,1,1,0,1.0,0,2,2
731,5,22.0,1,1,1,5,3,24.5,6,19,4.0,27,1,2,3,31,4,0,5.19607843137255,0,1,0,0.888888888888889,0,1,1
2936,0,0.0,1,1,0,0,1,24.5,1,8,9.5,65.0,0,3,0,5.5,1,0,1.63095238095238,0,1,0,0.714285714285714,0,3,1
2825,4,15.0,1,1,0,5,0,30.5,1,0,12,11,7,2,0,11,2,2,1.54545454545455,1,1,0,0.571428571428571,0,1,3
3867,1,26.0,1,1,0,1,0,18.5,1,2,3,13,0,1,4,10.5,2,0,8.1578947368421,1,1,0,0.6,0,2,3
4147,1,36.0,1,1,1,2,0,26.5,1,4,2,6,1,3,0,4.5,2,1,7.81818181818182,1,1,0,0.75,0,1,0
2994,1,15.0,1,1,0,0,2,20.5,3,5,11,20,0,3,0,4,1,0,4.0,0,1,0,0.5,0,1,3
3926,1,0,2,1,3,5,0,30.5,1,0,4,5,2,3,0,19,1,1,1.54545454545455,1,1,0,0.666666666666667,0,3,2
4555,4,36.0,1,0,0,0,0,92.0,1,0,1,1,1,1,0,1,1,2,2.281746031746035,3,1,0,1.0,0,1,1
115,4,15.0,2,1,0,4,0,30.5,4,9,13,25,1,3,0,2.5,2,0,5.02631578947368,1,1,0,0.333333333333333,0,3,2
