"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'MAJOR_COMMIT <= 0.04'","b'target = 0'",0.25769,536,0.25769,536,1,0.02304,1.0982,3.8637e-26,0.91058,1894
"b'000001'","b'0.04 < MAJOR_COMMIT <= 0.615'","b'target = 0'",0.14327,298,0.14327,298,1,0.01281,1.0982,7.35468e-14,0.91058,1894
"b'000002'","b'0.615 < MAJOR_COMMIT <= 1.055'","b'target = 0'",0.24712,514,0.24663,513,0.99805,0.02162,1.09607,4.47005e-23,0.91058,1894
"b'000003'","b'-0.14 < CountDeclInstanceVariable <= 0.45'","b'target = 0'",0.30673,638,0.30288,630,0.98746,0.02358,1.08443,6.79352e-21,0.91058,1894
"b'000004'","b'0.42 < CountDeclMethodPublic <= 2.06'","b'target = 0'",0.22644,471,0.22067,459,0.97452,0.01448,1.07023,6.04349e-10,0.91058,1894
"b'000005'","b'0.45 < CountDeclInstanceVariable <= 1.56'","b'target = 0'",0.18269,380,0.17788,370,0.97368,0.01153,1.0693,8.15696e-08,0.91058,1894
"b'000006'","b'CountDeclMethodPublic <= 0.42'","b'target = 0'",0.19952,415,0.19423,404,0.97349,0.01255,1.0691,1.80761e-08,0.91058,1894
"b'000007'","b'OWN_COMMIT <= 0.02'","b'target = 0'",0.25144,523,0.24471,509,0.97323,0.01575,1.06881,1.14692e-10,0.91058,1894
"b'000008'","b'-0.08 < CountDeclMethodProtected <= 0.46'","b'target = 0'",0.31827,662,0.30337,631,0.95317,0.01356,1.04678,7.89343e-07,0.91058,1894
"b'000009'","b'0.875 < AvgCyclomaticModified <= 1'","b'target = 0'",0.55481,1154,0.5274,1097,0.95061,0.02221,1.04396,7.10555e-13,0.91058,1894
