"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'0.05 < MAJOR_COMMIT <= 0.725'","b'target = 0'",0.14738,321,0.14692,320,0.99688,0.02086,1.16544,1.2693e-22,0.85537,1863
"b'000001'","b'0.725 < MAJOR_COMMIT <= 1.185'","b'target = 0'",0.21258,463,0.21166,461,0.99568,0.02983,1.16403,1.12203e-32,0.85537,1863
"b'000002'","b'MAJOR_COMMIT <= 0.05'","b'target = 0'",0.25482,555,0.25344,552,0.99459,0.03548,1.16276,3.5868e-39,0.85537,1863
"b'000003'","b'OWN_COMMIT <= 0.02'","b'target = 0'",0.24564,535,0.23783,518,0.96822,0.02772,1.13193,5.47391e-22,0.85537,1863
"b'000004'","b'0.74 < CountClassCoupled <= 2.08'","b'target = 0'",0.2259,492,0.21855,476,0.96748,0.02532,1.13106,1.03803e-19,0.85537,1863
"b'000005'","b'0.5 < CountDeclMethodPublic <= 2.55'","b'target = 0'",0.26309,573,0.25115,547,0.95462,0.02611,1.11603,5.24379e-18,0.85537,1863
"b'000006'","b'19.05 < CountLineComment <= 21.25'","b'target = 0'",0.18457,402,0.17401,379,0.94279,0.01613,1.10219,1.50668e-09,0.85537,1863
"b'000007'","b'CountClassCoupled <= 0.74'","b'target = 0'",0.2011,438,0.18871,411,0.93836,0.01669,1.09702,1.90995e-09,0.85537,1863
"b'000008'","b'-0.25 < CountDeclInstanceVariable <= 0.58'","b'target = 0'",0.30395,662,0.28375,618,0.93353,0.02376,1.09138,2.96437e-13,0.85537,1863
"b'000009'","b'-0.255 < CountDeclClassVariable <= 0.025 & -1.44 < CountClassDerived <= 0.86'","b'target = 0'",0.43618,950,0.40588,884,0.93053,0.03278,1.08786,1.48277e-12,0.85537,1863
