test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
49,0,39.0,1.0,1.0,52.0,2.0,21.0,0.0,1.0,28.8,1.0,13.0,4.0,4.0,0.0,94.0,2.0,5.93258426966292,1.0,7.8876404494382,0.0,1.0,0.454545454545455,0.0,1.0,6.0,0.52,0.48
252,0,4.0,0.0,1.0,3.0,1.0,2.0,3.0,29.0,0.31,0.0,99.0,2.0,3.0,4.0,1.0,2.0,8.7979797979798,1.0,3.91919191919192,1.0,1.0,0.333333333333333,0.0,3.0,6.0,0.53,0.47
252,1,21.0,1.0,2.0,1.0,2.0,8.0,9.0,20.0,0.44,1.0,70.0,3.0,2.0,27.0,20.0,2.0,3.68055555555556,0.0,4.31944444444444,0.0,1.0,0.1,0.0,1.0,4.0,0.51,0.49
340,0,39.0,1.0,1.0,0.0,2.0,21.0,55.0,1.0,0.16,3.0,10.0,6.0,4.0,0.0,94.0,2.0,5.93258426966292,0.0,0.9,11.0,1.0,0.454545454545455,0.0,3.0,6.0,0.52,0.48
358,0,12.0,1.0,2.0,0.0,1.0,2.0,2.0,11.0,0.21,1.0,29.0,4.0,3.0,0.0,2.0,1.0,3.75862068965517,1.0,6.51724137931035,1.0,1.0,1.0,0.0,3.0,2.0,0.61,0.39
359,0,2.0,0.0,3.0,3.0,2.0,3.0,10.0,13.0,0.24,0.0,53.0,5.0,4.0,1.0,86.0,1.0,3.9811320754717,0.0,8.0188679245283,1.0,1.0,0.5,0.0,3.0,4.0,0.51,0.49
359,1,0.0,3.0,2.0,6.0,0.0,10.0,1.0,9.0,0.14,0.0,46.0,3.0,3.0,7.0,19.0,2.0,3.31914893617021,0.0,3.40425531914894,0.0,1.0,0.666666666666667,0.0,3.0,1.0,0.61,0.39
359,2,12.0,1.0,2.0,0.0,1.0,2.0,2.0,11.0,0.21,1.0,29.0,4.0,3.0,0.0,1.0,1.0,3.75862068965517,22.0,6.51724137931035,1.0,1.0,1.0,0.0,3.0,2.0,0.59,0.41
390,0,6.0,0.0,4.0,0.0,0.0,1.0,7.0,10.0,0.1,0.0,16.0,6.0,4.0,0.0,1.0,1.0,3.8125,1.0,7.6875,1.0,1.0,0.9,0.0,1.0,1.0,0.58,0.42
390,1,11.0,0.0,1.0,2.0,0.0,1.0,7.0,7.0,0.15,0.0,20.0,3.0,1.0,0.0,4.0,1.0,5.95,1.0,5.8,2.0,1.0,1.0,0.0,2.0,1.0,0.51,0.49
439,0,0.0,0.0,1.0,8.0,7.0,18.0,12.0,17.0,25.3,0.0,11.0,2.0,2.0,0.0,52.0,2.0,2.51327433628319,0.0,3.37463126843658,0.0,14.0,0.802325581395349,6.0,5.0,21.0,0.52,0.48
439,1,0.0,168.0,3.0,3.0,2.0,3.0,10.0,13.0,0.24,0.0,53.0,5.0,4.0,1.0,46.0,1.0,3.9811320754717,0.0,8.0188679245283,1.0,1.0,0.5,0.0,3.0,4.0,0.51,0.49
439,2,15.0,1.0,1.0,6.0,0.0,3.0,14.0,4.0,0.09,9.0,48.0,4.0,1.0,2.0,2.0,3.0,3.94,0.0,10.5,0.0,1.0,0.407407407407407,1.0,3.0,7.0,0.54,0.46
