test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
30,0,21.0,103.0,5.0,14.0,2.0,0.0,7.0,1.0,37.1,0.0,15.0,3.0,2.0,4.0,24.0,2.0,54.4,0.0,4.27848101265823,1.0,1.0,0.777777777777778,0.0,2.0,2.0,0.52,0.48
30,1,21.0,137.0,2.0,14.0,2.0,7.0,7.0,17.0,0.41,9.0,77.0,3.0,2.0,4.0,9.0,2.0,3.72151898734177,0.0,4.27848101265823,0.0,1.0,0.777777777777778,0.0,2.0,9.0,0.51,0.49
30,2,43.0,1.0,8.0,14.0,2.0,4.0,7.0,17.0,70.6,7.0,28.0,3.0,1.0,4.0,5.0,2.0,3.72151898734177,15.0,4.27848101265823,0.0,1.0,0.777777777777778,0.0,2.0,2.0,0.56,0.44
30,3,15.0,1.0,2.0,14.0,1.0,8.0,44.0,20.0,0.41,5.0,77.0,3.0,5.0,4.0,1.0,5.0,5.5,0.0,1.1,0.0,1.0,0.0,0.0,6.0,2.0,0.51,0.49
30,4,1.0,1.0,2.0,14.0,7.0,8.0,5.0,17.0,17.8,0.0,77.0,3.0,2.0,4.0,24.0,2.0,3.72151898734177,0.0,4.27848101265823,0.0,1.0,0.2,2.0,2.0,8.0,0.55,0.45
30,5,21.0,1.0,2.0,14.0,2.0,8.0,7.0,17.0,0.41,5.0,77.0,6.0,2.0,4.0,0.0,2.0,3.72151898734177,10.0,4.27848101265823,0.0,1.0,0.1,2.0,2.0,2.0,0.53,0.47
30,6,1.0,5.0,2.0,14.0,7.0,8.0,5.0,17.0,17.8,0.0,77.0,3.0,2.0,4.0,24.0,2.0,3.72151898734177,0.0,4.27848101265823,0.0,1.0,0.2,2.0,2.0,8.0,0.54,0.46
30,7,21.0,1.0,3.0,42.0,2.0,8.0,7.0,64.0,0.41,0.0,77.0,0.0,2.0,55.0,1.0,2.0,47.9,18.0,4.27848101265823,1.0,0.0,0.777777777777778,2.0,2.0,2.0,0.53,0.47
30,8,2.0,103.0,2.0,14.0,0.0,8.0,7.0,18.0,0.41,0.0,77.0,3.0,3.0,4.0,24.0,3.0,13.4,0.0,4.27848101265823,15.0,14.0,0.1,0.0,4.0,2.0,0.54,0.46
30,9,21.0,160.0,2.0,14.0,2.0,8.0,7.0,5.0,0.41,12.0,77.0,3.0,2.0,4.0,6.0,0.0,119.2,8.0,4.27848101265823,9.0,1.0,0.777777777777778,0.0,1.0,2.0,0.52,0.48
