test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
11,0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,13.000732421875,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,3.0,3.0,0.7951443195343018,0.20485569536685944,1,1.3492285248460982
1516,0,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,6.999755859375,2.0,32.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,2.0,1.0,0.5432202816009521,0.45677971839904785,1,19000244140625.0
38,0,0.0,114.0,1.0,0.0,0.0,6.0,1.0,768.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,1.999755859375,9.0,0.5246463418006897,0.4753536581993103,1,1.3491461895478558
76,0,0.0,0.0,3.0,0.0,1.0,6.0,5.0,44.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,9.999999463558197,1.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,3.0,0.6764786839485168,0.32352131605148315,0,1.8091251963170407e-07
1537,0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,115.0,2.0,7.0,38.0,96.0,0.0,4.0,2.0,27.0,2.0,0.0,1.0,0.0,0.428571428571429,0.0,1.0,2.9997565746307373,5.0,0.7231993079185486,0.2768006920814514,1,0.6746549476383299
106,0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,71.0,3.0,8.0,7.0,13.0,0.0,2.0,0.0,17.0,5.0,0.0,0.0,0.0,0.5,0.0,2.0,2.9999998807907104,5.0,0.7095217704772949,0.29047825932502747,0,8.04055642067425e-08
107,0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,39.0,1.0,2.0,12.0,19.998539447784424,0.0,3.0,0.0,14.0,3.0,0.0,1.0,0.0,0.666666666666667,0.0,2.0,3.0,5.0,0.5219947099685669,0.4780052602291107,1,2.0239648429156727
110,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,8.0,25.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.333333333333333,0.0,5.0,1.9997559785842896,1.0,0.900934100151062,0.0990658849477768,1,0.6746553496661513
123,0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,246.0,1.0,0.0,3.0,84.0,0.0,1.0,1.0,10.0,1.0,0.0,1.0,0.0,0.571428571428571,0.0,4.0,3.9999998807907104,4.0,0.5664132833480835,0.4335867464542389,0,8.04055644287871e-08
153,0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,172.0,1.0,10.0,1.0,12.0,0.0,2.0,91.0,12.0,2.0,1.0,0.0,0.0,0.625,0.0,4.0,1.999511957168579,5.0,0.6968768239021301,0.3031231760978699,1,1.3493106993323023
1620,0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,60.0,1.0,7.0,9.0,10.0,1.0,3.0,0.0,11.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,1.9997559785842896,3.0,0.9254885911941528,0.07451139390468597,1,0.6746553496661513
204,0,0.0,0.0,1.0,0.9999998807907104,4.0,3.0,1.0,116.0,1.0,0.0,1.0,11.0,0.0,1.0,0.0,7.0,3.0,0.0,1.0,0.0,0.833333333333333,0.0,2.0,2.0,5.0,0.954938530921936,0.04506148025393486,1,119209.28955078125
1641,0,5.0,0.0,2.0,0.0,0.0,6.0,5.0,165.0,1.0,13.0,0.0,2.0,1.0,2.0,0.0,25.0,1.0,2.0,2.0,0.0,0.6,0.0,1.0,1.999999925494194,1.0,0.8295229077339172,0.17047710716724396,0,5.025347771248079e-08
1682,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,26.001217126846313,1.0,0.0,4.0,25.0,0.0,3.0,1.0,15.0,3.0,1.0,1.0,0.0,0.5,0.0,3.0,3.0,3.0,0.6506078243255615,0.34939220547676086,1,1.1244249127310555
