,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
32,0,0,1,0,18,0,4,1,0,0,0.08,0,0,1,0,2,1,0.0,0,1.68,0,1,0.01,0,0.15000000000000002,0,3,2
575,1,0,1,4,37,0,55,6,1,4,0.13,0,100,2,0,11,2,3.16666666666667,1,5.8500000000000005,1,1,0.15000000000000002,0,0.15000000000000002,0,3,6
578,9,1,1,9,15,0,45,2,7,3,0.11,2,100,5,1,11,2,4.25641025641026,1,2.8000000000000003,1,1,0.15000000000000002,0,0.9500000000000001,0,2,8
678,20,0,1,2,317,0,99,2,0,2,0.05,0,100,2,0,35,1,5.8,0,2.8000000000000003,1,1,0.15000000000000002,0,0.15000000000000002,0,1,13
775,3,0,1,0,2,0,91,26,2,3,0.14,0,78,5,2,35,2,2.98648648648649,0,2.8000000000000003,2,1,0.15000000000000002,0,0.15000000000000002,0,3,12
788,32,5,1,10,9,1,654,14,23,36,0.26,0,91,4,20,35,2,7.16666666666667,0,2.8000000000000003,1,1,0.15000000000000002,0,0.15000000000000002,0,5,15
816,9,0,1,19,19,0,103,5,2,2,0.11,1,91,3,0,23,2,3.33707865168539,0,5.8500000000000005,1,1,0.15000000000000002,0,0.15000000000000002,0,7,10
956,27,0,2,5,6,2,297,3,0,13,0.27,1,92,2,0,11,3,3.93333333333333,0,5.2,0,1,0.15000000000000002,0,0.9500000000000001,0,3,5
988,37,4,2,12,47,1,168,15,0,54,0.14,0,100,2,5,11,2,4.51960784313725,0,2.8000000000000003,0,0,0.15000000000000002,0,0.15000000000000002,0,3,6
1016,1,0,1,3,2,3,471,1,0,3,0.24,1,35,1,0,23,1,4.47572815533981,0,5.8500000000000005,0,1,0.1,0,0.15000000000000002,0,1,3
