,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,effort
32,0.0,0.0,1.0,0.0,205.0,0.0,4.0,1.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.565217391304348,0.0,1.0,0.7,0.0,0.664705882352941,0.0,3.0,2.0,0.041137007056642805
575,1.0,0.0,1.0,4.0,37.0,0.0,55.0,6.0,1.0,4.0,7.9,0.0,94.0,2.0,0.0,15.0,2.0,3.16666666666667,1.0,6.52380952380952,1.0,1.0,0.73469387755102,0.0,0.888888888888889,0.0,3.0,6.0,0.002206090177171105
578,9.0,3.0,1.0,9.0,15.0,0.0,45.0,2.0,7.0,3.0,0.11,2.0,94.0,5.0,1.0,14.0,2.0,15.5,1.0,3.87179487179487,1.0,1.0,0.666666666666667,0.0,0.933333333333333,0.0,2.0,8.0,0.005496230080674014
633,21.0,0.0,2.0,9.0,28.0,0.0,33.0,11.0,0.0,0.0,5.6,0.0,95.0,1.0,4.0,20.0,2.0,4.57894736842105,1.0,3.63157894736842,1.0,1.0,0.1,0.0,1.0,0.0,1.0,0.0,0.0012913919705441756
658,32.0,40.0,1.0,18.0,22.0,0.0,198.0,23.0,0.0,47.0,8.5,0.0,98.0,4.0,4.0,53.0,2.0,3.2817679558011,0.0,5.27624309392265,0.0,0.0,0.760975609756098,0.0,0.699822380106572,0.0,4.0,1.0,0.001846396153393548
678,20.0,0.0,1.0,2.0,317.0,0.0,99.0,2.0,0.0,2.0,8.0,0.0,100.0,2.0,0.0,89.0,1.0,5.8,0.0,3.8625,1.0,1.0,0.507739938080495,0.0,0.763048016701461,0.0,1.0,13.0,0.0002451636423729253
748,26.0,53.0,1.0,8.0,14.0,1.0,747.0,9.0,0.0,206.0,7.9,0.0,100.0,2.0,3.0,159.0,0.0,15.0836431226766,0.0,2.90520446096654,0.0,1.0,0.254545454545455,0.0,0.821696252465483,5.0,4.0,21.0,4.882025974661808e-05
750,78.0,0.0,2.0,6.0,34.0,1.0,518.0,12.0,1.0,6.0,1.3,1.0,87.0,3.0,1.0,40.0,3.0,6.62099125364431,0.0,1.9,1.0,1.0,0.896067415730337,0.0,0.401880141010576,0.0,6.0,3.0,0.00047008248081659154
769,24.0,1.0,2.0,15.0,55.0,2.0,282.0,4.0,5.0,2.0,1.1,1.0,96.0,4.0,1.0,40.0,2.0,4.67708333333333,0.0,1.4,0.0,1.0,1.11881188118812,0.0,0.445103857566766,0.0,4.0,15.0,0.00022811446701198612
775,3.0,0.0,1.0,0.0,2.0,0.0,91.0,26.0,2.0,3.0,3.1,0.0,80.0,5.0,2.0,48.0,2.0,2.98648648648649,0.0,4.67567567567568,2.0,1.0,0.346534653465347,0.0,0.539617486338798,0.0,3.0,12.0,0.00024449660428282893
