,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
32,0,0,1,0,18,0,4,1,0,0,1.22,0,0,1,0,0,1,0.0,0,0.565217391304348,0,1,0.0,0,0.664705882352941,0,3,2
578,9,1,1,9,15,0,45,2,7,3,0.11,2,94,5,1,14,0,4.25641025641026,1,3.87179487179487,1,1,0.666666666666667,0,0.933333333333333,0,2,8
575,1,0,1,4,37,0,55,6,1,4,0.13,0,94,2,0,15,2,3.16666666666667,1,6.52380952380952,1,1,0.73469387755102,0,0.1,0,3,6
633,21,0,2,9,0,0,33,11,0,0,0.09,0,95,1,4,20,2,4.57894736842105,1,3.63157894736842,1,1,0.941176470588235,0,1.0,0,1,0
658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,20,0,1,2,317,0,99,2,0,2,0.05,0,100,2,0,89,1,5.8,0,3.8625,1,1,0.507739938080495,0,0.763048016701461,0,1,0
750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,9,0,1,19,19,0,103,5,2,2,0.11,1,95,3,0,26,2,3.33707865168539,0,5.86516853932584,1,1,0.568421052631579,0,0.1,0,7,10
956,27,0,2,5,6,2,297,3,0,13,0.27,1,89,2,0,1,3,3.93333333333333,0,5.18888888888889,0,1,1.24468085106383,0,1.0,0,3,5
988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,1,0,1,3,2,3,471,1,0,3,0.24,1,52,1,0,4,1,4.47572815533981,0,9.68932038834951,0,1,0.123809523809524,0,0.337278106508876,0,1,3
905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
