"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'-0.018 < OWN_COMMIT <= 0.051'","b'target = 0'",0.32567,680,0.32519,679,0.99853,0.01886,1.06157,6.28012e-21,0.94061,1964
"b'000001'","b'CountClassCoupled <= 0.36'","b'target = 0'",0.20833,435,0.20785,434,0.9977,0.01189,1.06069,3.48006e-12,0.94061,1964
"b'000002'","b'0.36 < CountClassCoupled <= 1.62'","b'target = 0'",0.20163,421,0.20115,420,0.99762,0.0115,1.06061,9.90437e-12,0.94061,1964
"b'000003'","b'0.76 < CountInput_Mean <= 2.02'","b'target = 0'",0.20594,430,0.20498,428,0.99535,0.01127,1.05819,8.95806e-11,0.94061,1964
"b'000004'","b'1.62 < CountClassCoupled <= 3.06'","b'target = 0'",0.25335,529,0.25192,526,0.99433,0.01361,1.05711,8.28746e-13,0.94061,1964
"b'000005'","b'1.3 < CountOutput_Mean <= 2.64'","b'target = 0'",0.21025,439,0.20881,436,0.99317,0.01105,1.05587,5.60907e-10,0.94061,1964
"b'000006'","b'CountOutput_Mean <= 1.3'","b'target = 0'",0.1954,408,0.19397,405,0.99265,0.01017,1.05532,4.70782e-09,0.94061,1964
"b'000007'","b'CountInput_Mean <= 0.76'","b'target = 0'",0.2045,427,0.20211,422,0.98829,0.00975,1.05069,7.55194e-08,0.94061,1964
"b'000008'","b'2.02 < CountInput_Mean <= 3.14'","b'target = 0'",0.18966,396,0.18726,391,0.98737,0.00887,1.04971,5.15012e-07,0.94061,1964
"b'000009'","b'1.56 < MINOR_LINE <= 2.14'","b'target = 0'",0.21504,449,0.21216,443,0.98664,0.0099,1.04893,1.11107e-07,0.94061,1964
