"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'-0.345 < CountDeclMethodPrivate <= 0.06'","b'target = 0'",0.5652,1179,0.5652,1179,1,0.01599,1.02911,1.51848e-22,0.97172,2027
"b'000001'","b'0.775 < AvgCyclomaticModified <= 1.115'","b'target = 0'",0.3931,820,0.3931,820,1,0.01112,1.02911,9.27767e-14,0.97172,2027
"b'000002'","b'-0.015 < OWN_COMMIT <= 0.051'","b'target = 0'",0.32838,685,0.32838,685,1,0.00929,1.02911,4.18768e-11,0.97172,2027
"b'000003'","b'1.75 < CountDeclInstanceMethod <= 4.45'","b'target = 0'",0.22627,472,0.22627,472,1,0.0064,1.02911,2.09075e-07,0.97172,2027
"b'000004'","b'0.72 < CountInput_Mean <= 1.94'","b'target = 0'",0.21141,441,0.21141,441,1,0.00598,1.02911,6.5565e-07,0.97172,2027
"b'000005'","b'1.44 < CountClassCoupled <= 3.04'","b'target = 0'",0.20853,435,0.20853,435,1,0.0059,1.02911,8.15911e-07,0.97172,2027
"b'000006'","b'0.14 < CountClassCoupled <= 1.44'","b'target = 0'",0.20566,429,0.20566,429,1,0.00582,1.02911,1.01452e-06,0.97172,2027
"b'000007'","b'CountClassCoupled <= 0.14'","b'target = 0'",0.20518,428,0.20518,428,1,0.0058,1.02911,1.05196e-06,0.97172,2027
"b'000008'","b'0.74 < CountDeclClass <= 1.045'","b'target = 0'",0.59684,1245,0.59396,1239,0.99518,0.014,1.02415,1.14354e-15,0.97172,2027
"b'000009'","b'-0.25 < CountDeclMethodProtected <= 0.085'","b'target = 0'",0.51103,1066,0.50767,1059,0.99343,0.0111,1.02235,1.46616e-10,0.97172,2027
