"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'19.6 < CountLineComment <= 28.5 & -0.24 < CountDeclClassMethod <= 0.055'","b'target = 0'",0.18655,391,0.18368,385,0.98465,0.02927,1.18953,6.76318e-15,0.82777,1735
"b'000001'","b'0.945 < RatioCommentToCode <= 1.685'","b'target = 0'",0.18702,392,0.18368,385,0.98214,0.02887,1.1865,2.55066e-26,0.82777,1735
"b'000002'","b'RatioCommentToCode > 1.685'","b'target = 0'",0.20181,423,0.198,415,0.98109,0.03094,1.18522,4.15692e-28,0.82777,1735
"b'000003'","b'-0.155 < MAJOR_LINE <= 0.145 & 0.735 < AvgEssential <= 1.005'","b'target = 0'",0.16603,348,0.16031,336,0.96552,0.02287,1.16641,1.89487e-11,0.82777,1735
"b'000004'","b'1.04 < MINOR_LINE <= 1.69'","b'target = 0'",0.14838,311,0.14265,299,0.96141,0.01983,1.16146,1.23699e-14,0.82777,1735
"b'000005'","b'0.54 < RatioCommentToCode <= 0.945'","b'target = 0'",0.20849,437,0.20038,420,0.9611,0.0278,1.16107,7.27868e-21,0.82777,1735
"b'000006'","b'MINOR_LINE <= 1.04'","b'target = 0'",0.25382,532,0.24046,504,0.94737,0.03036,1.14449,1.46961e-20,0.82777,1735
"b'000007'","b'1.08 < CountInput_Mean <= 2.16'","b'target = 0'",0.19179,402,0.1813,380,0.94527,0.02254,1.14196,1.56054e-14,0.82777,1735
"b'000008'","b'0.665 < CountDeclClass <= 1.055 & -0.24 < CountDeclClassMethod <= 0.055'","b'target = 0'",0.375,786,0.35401,742,0.94402,0.04359,1.14044,1.2032e-11,0.82777,1735
"b'000009'","b'19.6 < CountLineComment <= 28.5'","b'target = 0'",0.2438,511,0.22996,482,0.94325,0.02815,1.13951,3.07883e-18,0.82777,1735
