"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'OWN_COMMIT <= 0.135'","b'target = 0'",0.20134,451,0.19821,444,0.98448,0.0224,1.12742,7.62604e-21,0.87321,1956
"b'000001'","b'MAJOR_LINE <= 0.56'","b'target = 0'",0.20223,453,0.19777,443,0.97792,0.02118,1.11991,4.36276e-18,0.87321,1956
"b'000002'","b'CountLineComment <= 22.8'","b'target = 0'",0.19866,445,0.1942,435,0.97753,0.02072,1.11946,1.37947e-17,0.87321,1956
"b'000003'","b'CountOutput_Min > 1.092'","b'target = 0'",0.13705,307,0.13393,300,0.9772,0.01425,1.11908,6.45716e-12,0.87321,1956
"b'000004'","b'CountClassCoupled <= 4.7'","b'target = 0'",0.20536,460,0.19911,446,0.96957,0.01979,1.11034,3.01334e-15,0.87321,1956
"b'000005'","b'CountDeclInstanceVariable <= 2.4'","b'target = 0'",0.20759,465,0.20089,450,0.96774,0.01962,1.10825,8.42156e-15,0.87321,1956
"b'000006'","b'AvgLineComment <= -0.1'","b'target = 0'",0.09777,219,0.0942,211,0.96347,0.00882,1.10336,1.63402e-06,0.87321,1956
"b'000007'","b'0.56 < MAJOR_LINE <= 1.68'","b'target = 0'",0.19955,447,0.19152,429,0.95973,0.01726,1.09908,8.27146e-12,0.87321,1956
"b'000008'","b'4.7 < CountClassCoupled <= 7.75'","b'target = 0'",0.18438,413,0.17634,395,0.95642,0.01534,1.09528,4.4415e-10,0.87321,1956
"b'000009'","b'0.16 < CountDeclMethodProtected <= 1.34'","b'target = 0'",0.17411,390,0.16607,372,0.95385,0.01404,1.09234,5.7817e-09,0.87321,1956
