"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'CountLineComment <= 35.5 & 5.44 < Added_lines <= 7.36'","b'target = 0'",0.11275,230,0.11176,228,0.9913,0.03384,1.43423,1.46858e-17,0.69118,1410
"b'000001'","b'CountClassCoupled <= 1.3 & 5.44 < Added_lines <= 7.36'","b'target = 0'",0.12451,254,0.12304,251,0.98819,0.03698,1.42972,1.78648e-18,0.69118,1410
"b'000002'","b'CountDeclMethodPublic <= 1.2 & PercentLackOfCohesion <= 6'","b'target = 0'",0.07794,159,0.07598,155,0.97484,0.02211,1.41041,3.74852e-09,0.69118,1410
"b'000003'","b'RatioCommentToCode > 3.555 & PercentLackOfCohesion <= 6'","b'target = 0'",0.08235,168,0.0799,163,0.97024,0.02298,1.40375,4.83308e-09,0.69118,1410
"b'000004'","b'0.48 < CountDeclMethodProtected <= 1.15 & 5.44 < Added_lines <= 7.36'","b'target = 0'",0.08676,177,0.08382,171,0.9661,0.02385,1.39776,6.5442e-09,0.69118,1410
"b'000005'","b'MAJOR_LINE <= 0.085'","b'target = 0'",0.22157,452,0.21324,435,0.96239,0.06009,1.39239,6.4425e-58,0.69118,1410
"b'000006'","b'CountInput_Mean <= 1.96 & 5.44 < Added_lines <= 7.36'","b'target = 0'",0.12647,258,0.12157,248,0.96124,0.03416,1.39073,5.60041e-12,0.69118,1410
"b'000007'","b'35.5 < CountLineComment <= 72.5 & 5.44 < Added_lines <= 7.36'","b'target = 0'",0.16275,332,0.15637,319,0.96084,0.04389,1.39016,1.26367e-15,0.69118,1410
"b'000008'","b'0.085 < MAJOR_LINE <= 0.785 & 5.44 < Added_lines <= 7.36'","b'target = 0'",0.14167,289,0.13578,277,0.95848,0.03787,1.38673,6.8505e-13,0.69118,1410
"b'000009'","b'Added_lines <= -0.34'","b'target = 0'",0.04853,99,0.04608,94,0.94949,0.01254,1.37374,8.70369e-11,0.69118,1410
